,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,1.4574955463409425,0.2666824292305191,0.08578305244445801,0.008662442760835687,True,80,sqrt,4,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 500)])",0.5017748478701824,0.5436950642325895,0.449616368286445,0.5394714407502132,0.5259164535379369,0.5120948349354735,0.03449391571335285,1
38,1.7208225727081299,0.23216128427725452,0.08185396194458008,0.007633252899144132,True,80,auto,4,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 500)])",0.4934922244759972,0.5376098715348208,0.44092071611253203,0.5406649616368286,0.5223358908780904,0.5070047329276537,0.03702543739943252,2
9,1.562684965133667,0.23384060253576394,0.07507128715515136,0.015758325629441447,True,120,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.4870689655172413,0.5332150101419879,0.4390451832907076,0.5468030690537085,0.5276214833759592,0.5067507422759209,0.03927225290697021,3
62,1.3110835552215576,0.08034788311034162,0.08020162582397461,0.0038539379433563813,True,60,auto,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.5024509803921569,0.5387931034482759,0.43324808184143226,0.5382779198635976,0.5196078431372548,0.5064755857365435,0.039004439148133035,4
118,3.424292039871216,0.453239379000937,0.1461240291595459,0.024072619193540517,True,60,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.48537863421230565,0.5414976335361731,0.43751065643648757,0.5505541346973573,0.5153452685421995,0.5060572654849046,0.04110596419367011,5
70,2.842238187789917,0.3528834991265281,0.11548552513122559,0.02000893877260752,True,80,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.49230899256254224,0.5413286004056795,0.4373401534526854,0.5428815004262575,0.5153452685421995,0.5058409030778729,0.038979945556252886,6
93,3.216646337509155,0.29796023174937275,0.12069740295410156,0.0018288855979475705,True,80,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.4933231913455038,0.5371027721433401,0.43648763853367434,0.5411764705882353,0.5202898550724636,0.5056759855366434,0.038473657022599334,7
24,3.2335315227508543,0.344663628383314,0.12131500244140625,0.0016255304308961836,True,80,sqrt,4,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1500)])",0.49247802569303584,0.5333840432724813,0.43989769820971864,0.540153452685422,0.5201193520886616,0.5052065143898639,0.03651002671527988,8
78,2.9560986518859864,0.25784715457190266,0.11016597747802734,0.01553010304890757,True,100,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.49247802569303584,0.5354124408384043,0.4376811594202898,0.5379369138959932,0.5211423699914748,0.5049301819678396,0.03730666087560186,9
119,3.5532233715057373,0.35753342435516783,0.12237110137939453,0.0024190077366818435,True,60,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.5065077755240027,0.5384550371872886,0.4392156862745098,0.5350383631713556,0.5049445865302643,0.5048322897374842,0.03564057948904163,10
105,2.545488119125366,0.4861508491580915,0.10195460319519042,0.0021648777084715956,True,,sqrt,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.48960446247464506,0.5342292089249493,0.4446717817561807,0.5413469735720375,0.514151747655584,0.5048008348766794,0.035030049345705985,11
41,3.106328344345093,0.20350604980910522,0.11793398857116699,0.0275842640905731,True,80,auto,4,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1250)])",0.4956896551724138,0.5372718052738337,0.43069053708439897,0.5387894288150042,0.5214833759590793,0.504784960460946,0.04015779921231166,12
16,1.6790211200714111,0.3118130079564311,0.10179262161254883,0.026633447002477988,True,100,sqrt,4,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 750)])",0.4938302907369845,0.5416666666666666,0.4373401534526854,0.5367433930093777,0.5138107416879796,0.5046782491107388,0.037767224507335204,13
145,2.7585786819458007,0.4841715567984234,0.11746091842651367,0.0023608947477267005,True,20,sqrt,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.49501352265043946,0.5330459770114943,0.44416027280477405,0.5404944586530265,0.5102301790281331,0.5045888820295734,0.034275779318293426,14
