,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.6351560115814209,0.005684334468235561,0.044436311721801756,0.0009045508464166079,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.657258064516129,0.760655737704918,0.5508196721311476,0.5770491803278689,0.9467213114754098,0.6985007932310946,0.14404015639953252,1
70,3.3425235748291016,0.744392614703322,0.08861579895019531,0.02219462178713377,True,60,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6693548387096775,0.7475409836065574,0.5409836065573771,0.5868852459016394,0.9426229508196722,0.6974775251189846,0.14150230660864774,2
54,1.5199690818786622,0.6311833661551374,0.11123557090759277,0.06963755107807482,True,,sqrt,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.657258064516129,0.7540983606557378,0.5540983606557377,0.5704918032786885,0.9467213114754098,0.6965335801163406,0.14396144779627065,3
6,1.952289867401123,0.36385186317782386,0.09331092834472657,0.020315699091306403,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6653225806451613,0.7475409836065574,0.5311475409836066,0.6,0.9385245901639344,0.6965071390798518,0.14057510531890666,4
90,1.3978641033172607,0.5510503233687278,0.05072355270385742,0.013895440490883279,True,120,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6451612903225806,0.7442622950819673,0.5344262295081967,0.6032786885245902,0.9549180327868853,0.6964093072448441,0.14605126393224324,5
82,3.183608388900757,0.7304755835159519,0.18193068504333496,0.07120384021212323,True,80,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6532258064516129,0.7508196721311475,0.5409836065573771,0.5901639344262295,0.9467213114754098,0.6963828662083553,0.14347586988316668,6
145,0.7088793754577637,0.2508542164503158,0.04851846694946289,0.012251685758352232,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.657258064516129,0.7508196721311475,0.5311475409836066,0.5967213114754099,0.9426229508196722,0.6957139079851931,0.143081232790548,7
27,0.8915756225585938,0.31381365250463916,0.06425867080688477,0.019025554669468786,True,120,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6451612903225806,0.7409836065573769,0.5377049180327869,0.6032786885245902,0.9508196721311475,0.6955896351136964,0.14366272804428185,8
100,2.5595767498016357,0.671429072725726,0.35239381790161134,0.17279333111234707,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6532258064516129,0.7475409836065574,0.5344262295081967,0.5868852459016394,0.9549180327868853,0.6953992596509784,0.14801010827313504,9
32,1.7886778354644775,0.034891248263157475,0.05279030799865723,0.013051828546045339,True,,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6612903225806451,0.7475409836065574,0.5245901639344263,0.5967213114754099,0.9467213114754098,0.6953728186144896,0.1455733724541507,10
19,1.839593267440796,0.6492893093690554,0.12929320335388184,0.10816648493320738,True,100,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6532258064516129,0.7508196721311475,0.5409836065573771,0.5836065573770493,0.9467213114754098,0.6950713907985193,0.1444673393674723,11
94,1.1195582389831542,0.22926135542985426,0.09759459495544434,0.053274399464653135,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.657258064516129,0.7508196721311475,0.5475409836065575,0.5770491803278689,0.9426229508196722,0.6950581702802751,0.14248786314748418,12
