,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
135,0.5753687858581543,0.00313329643173457,0.0358069896697998,0.0003809785840209841,True,60,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5138888888888888,0.4305555555555556,0.6111111111111112,0.4513888888888889,0.75,0.5513888888888889,0.11749047768087001,1
29,0.8436166286468506,0.010637579581483937,0.051206541061401364,0.00035434427911033823,True,100,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5069444444444444,0.4375,0.6180555555555556,0.4513888888888889,0.7348484848484849,0.5497474747474748,0.11228034934618386,2
128,0.5577071666717529,0.014756229701141045,0.035216140747070315,0.0003441145957725851,True,60,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5069444444444444,0.4166666666666667,0.6041666666666667,0.4583333333333333,0.7424242424242424,0.5457070707070708,0.11653609488952686,3
51,0.832965087890625,0.011223463475327848,0.05877537727355957,0.013984323292400297,True,60,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.4652777777777778,0.4305555555555556,0.625,0.41666666666666663,0.7803030303030303,0.5435606060606061,0.13977107341643788,4
58,0.8942049980163574,0.0997632842275972,0.048485088348388675,0.0006276485884903022,True,100,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.48611111111111116,0.4305555555555556,0.6111111111111112,0.41666666666666663,0.7727272727272727,0.5434343434343434,0.13360614499112627,5
134,0.5801286220550537,0.003733400713855337,0.03794255256652832,0.0004909032082426053,True,60,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4791666666666667,0.4305555555555556,0.6319444444444444,0.4375,0.7348484848484849,0.5428030303030302,0.1204702941656131,6
127,0.5671210765838623,0.0051806308738315794,0.0352330207824707,0.00013824569270690977,True,60,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5069444444444444,0.4097222222222222,0.6041666666666667,0.4375,0.75,0.5416666666666667,0.12391504457330813,7
18,0.8053940773010254,0.007329258629244054,0.04940776824951172,0.0005895373153739729,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.4652777777777778,0.4305555555555556,0.625,0.4375,0.75,0.5416666666666667,0.12599909366713027,7
67,0.8097904682159424,0.01004859176171012,0.05285491943359375,0.00045100683164365796,True,20,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.5069444444444444,0.4375,0.625,0.4305555555555556,0.7045454545454546,0.5409090909090909,0.10758538985662022,9
89,0.6966495513916016,0.18399209574094627,0.03504018783569336,0.0020133737768346077,True,60,sqrt,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.4930555555555556,0.4375,0.6041666666666667,0.4236111111111111,0.7424242424242424,0.5401515151515153,0.11945645614107389,10
