,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
122,1.2341954708099365,0.010185018123537401,0.07626996040344239,0.0003463598400004108,True,100,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4027777777777778,0.48611111111111116,0.6180555555555556,0.579861111111111,0.3846153846153847,0.49428418803418805,0.09285497286536695,1
128,0.9370032787322998,0.009414054479676503,0.05891451835632324,0.0004888884114757856,True,100,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.3958333333333333,0.4375,0.6180555555555556,0.6180555555555556,0.39160839160839167,0.4922105672105673,0.10399667042104811,2
55,1.2723399162292481,0.04640072861595057,0.077449369430542,0.0009338516814017651,True,80,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.4027777777777778,0.5,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.49082167832167833,0.08538491509398505,3
93,1.3726006031036377,0.18811112415574607,0.0770456314086914,0.0005084131921910186,True,,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.3819444444444445,0.4652777777777778,0.6180555555555556,0.579861111111111,0.39160839160839167,0.4873494560994561,0.09633921075432803,4
108,1.2447400093078613,0.016874617538904468,0.07667193412780762,0.0006903235717857708,True,40,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.4305555555555556,0.4861111111111111,0.49305555555555564,0.6180555555555556,0.39160839160839167,0.48387723387723386,0.0767460675701511,5
27,1.8018489837646485,0.00505533065506943,0.11397991180419922,0.0013268604170277273,True,40,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.4097222222222222,0.45138888888888895,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.48248834498834503,0.0853250174990621,6
32,1.900516891479492,0.12899125494047028,0.11448206901550292,0.0024403299887466407,True,40,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.37500000000000006,0.4444444444444444,0.6180555555555556,0.579861111111111,0.39160839160839167,0.4817939005439006,0.09911383505970431,7
127,1.556525707244873,0.4127577362925496,0.0937239646911621,0.024700702579178092,True,100,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.3958333333333333,0.45833333333333337,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.4810994560994562,0.08743296727806439,8
102,1.3280796527862548,0.08574834299400222,0.08532319068908692,0.01611867808978882,True,40,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4097222222222222,0.4444444444444444,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.4810994560994562,0.0858746879974071,8
63,1.2433179855346679,0.016706110863882143,0.0761721134185791,0.0006363479864484777,True,40,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.42361111111111105,0.4652777777777778,0.5416666666666667,0.579861111111111,0.39160839160839167,0.48040501165501165,0.07068765969992127,10
91,1.2237686157226562,0.009789464361772995,0.07652301788330078,0.0005069324297205307,True,,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.3958333333333333,0.4652777777777778,0.5625,0.579861111111111,0.39160839160839167,0.4790161227661228,0.07985925053402727,11
28,1.4345906257629395,0.2776642031064573,0.07508368492126465,0.001423855774707405,True,40,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.3680555555555555,0.4722222222222222,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.4783216783216783,0.09300877300818726,12
118,0.9449989318847656,0.011308765297778234,0.05855860710144043,0.0004257054255849491,True,100,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.40277777777777773,0.48611111111111105,0.49305555555555564,0.6180555555555556,0.39160839160839167,0.4783216783216783,0.08127655732170715,12
149,1.2633094310760498,0.03135429600334319,0.07599563598632812,0.0005665632633536728,True,100,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.3819444444444444,0.4513888888888889,0.6180555555555556,0.5416666666666666,0.39160839160839167,0.4769327894327894,0.09062189512760066,14
134,1.296335220336914,0.07583119985930253,0.07565975189208984,0.0005869026922150146,True,100,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4097222222222222,0.45138888888888895,0.5416666666666667,0.579861111111111,0.39160839160839167,0.4748494560994561,0.07377400211485996,15
141,1.2024237632751464,0.007337359458412473,0.08315272331237793,0.01421048230984143,True,100,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4097222222222222,0.4583333333333333,0.49305555555555564,0.6180555555555556,0.39160839160839167,0.4741550116550117,0.08034979954515711,16
64,1.4974608421325684,0.30047270076795063,0.07632293701171874,0.000564342580539012,True,40,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.3680555555555555,0.45138888888888884,0.5416666666666667,0.6180555555555556,0.39160839160839167,0.4741550116550117,0.09365311047563636,16
