,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,0.9266564846038818,0.18689216681112286,0.05608558654785156,0.011170800038253033,True,80,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.45138888888888895,0.4722222222222222,0.5902777777777778,0.5972222222222222,0.5034965034965035,0.5229215229215229,0.06020320122309266,1
114,0.9581357955932617,0.210088466635135,0.05721368789672852,0.012445435458755967,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.4513888888888889,0.5,0.5902777777777778,0.5833333333333334,0.4825174825174825,0.5215034965034965,0.055589924152749416,2
144,0.92266845703125,0.06573391747114542,0.06877007484436035,0.002515661928155685,True,20,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4930555555555556,0.4652777777777778,0.5763888888888888,0.5833333333333333,0.4825174825174825,0.5201146076146076,0.04963107098359489,3
7,0.8421549320220947,0.18334405970952247,0.04736943244934082,0.004333854539475293,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.42361111111111116,0.4652777777777778,0.6041666666666667,0.6180555555555556,0.4825174825174825,0.5187257187257188,0.07795008583992268,4
117,0.905531358718872,0.17529816789942723,0.05515832901000976,0.009401855142818532,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.47222222222222227,0.4861111111111111,0.5902777777777778,0.5625,0.4825174825174825,0.5187257187257187,0.048110724463234174,5
120,0.9698925495147706,0.2112684500528077,0.06000242233276367,0.0137677707860417,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.47916666666666674,0.48611111111111116,0.5833333333333334,0.5694444444444444,0.46853146853146854,0.5173174048174047,0.048753892656328936,6
148,0.9090143203735351,0.007303526092284827,0.06576566696166992,0.0025749079536195405,True,20,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4791666666666667,0.45138888888888895,0.5833333333333333,0.5902777777777778,0.4755244755244755,0.5159382284382283,0.058686463815396224,7
23,0.9115731716156006,0.006698316772291706,0.06632170677185059,0.0032710999045344343,True,80,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.47916666666666674,0.5347222222222222,0.5694444444444444,0.5555555555555556,0.4405594405594406,0.5158896658896659,0.048619715768999976,8
143,0.8982692718505859,0.04856302989323968,0.06678705215454102,0.0023330148266668743,True,20,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4375,0.4722222222222222,0.6041666666666666,0.5763888888888888,0.4825174825174825,0.5145590520590521,0.06420221205165853,9
77,1.7821339607238769,0.3430677605379159,0.08887624740600586,0.010934302715347663,True,40,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.4444444444444445,0.48611111111111116,0.6111111111111112,0.5555555555555556,0.4755244755244755,0.5145493395493396,0.06041863064457609,10
50,0.9093025684356689,0.17491744758416697,0.05527653694152832,0.009325107695350849,True,,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.4652777777777778,0.45833333333333337,0.6111111111111112,0.5694444444444444,0.4685314685314685,0.5145396270396271,0.0633138506240655,11
133,0.908960485458374,0.17180240244658537,0.05546121597290039,0.0091612341512855,True,40,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.4652777777777778,0.4722222222222222,0.5763888888888888,0.5555555555555556,0.49650349650349646,0.5131895881895883,0.04481365663887038,12
110,0.9247799396514893,0.18941099075283122,0.05808215141296387,0.01264996896495482,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.4652777777777778,0.45833333333333337,0.5902777777777778,0.5763888888888888,0.4755244755244755,0.5131604506604506,0.057723733981360804,13
105,0.8994614601135253,0.05770913493952967,0.06796584129333497,0.002622390654265732,True,40,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.44444444444444453,0.48611111111111105,0.5833333333333333,0.5486111111111112,0.4965034965034965,0.5118006993006994,0.04879087736929717,14
103,0.925016212463379,0.19904145544538926,0.05852031707763672,0.013206065948774498,True,40,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.4305555555555556,0.4444444444444444,0.6111111111111112,0.5972222222222222,0.4755244755244755,0.5117715617715618,0.07695842135738015,15
147,0.8760598659515381,0.007362228196161668,0.06486921310424805,0.0019335427111089529,True,20,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.45138888888888895,0.4861111111111111,0.5902777777777778,0.5625,0.46153846153846156,0.5103632478632478,0.05577557517044778,16
58,0.9791169166564941,0.2010565353998291,0.05925517082214356,0.013831048260703858,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.4305555555555556,0.4444444444444444,0.6388888888888888,0.5555555555555556,0.4755244755244755,0.508993783993784,0.07807701886327148,17
