,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
135,1.6126477718353271,0.09661769990764006,0.07287921905517578,0.03134671074973745,True,100,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.7307692307692307,0.782051282051282,0.7863247863247863,0.5555555555555556,0.48749999999999993,0.6684401709401708,0.12342727466961691,1
115,1.594032096862793,0.20187998280210057,0.08326640129089355,0.018426808225472928,True,100,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.7136752136752137,0.782051282051282,0.7948717948717949,0.5555555555555556,0.48749999999999993,0.6667307692307691,0.12361741039877862,2
14,4.084132337570191,0.29063220841892556,0.195015287399292,0.05026023015914811,True,60,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7393162393162394,0.7692307692307692,0.7777777777777778,0.5299145299145299,0.5166666666666666,0.6665811965811965,0.11776599248839925,3
19,3.129661512374878,0.3059018214186484,0.16204404830932617,0.049546168741556006,True,120,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7350427350427351,0.7735042735042735,0.7777777777777778,0.5555555555555556,0.48749999999999993,0.6658760683760683,0.12072985397341139,4
130,4.860253620147705,0.3425789046341758,0.2577846050262451,0.0941801245334096,True,20,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7564102564102565,0.7820512820512819,0.7777777777777778,0.5213675213675213,0.48749999999999993,0.6650213675213674,0.13184248283659258,5
43,4.151642084121704,0.3252038692332495,0.21145706176757811,0.08616992348871892,True,,auto,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7393162393162394,0.7820512820512822,0.7863247863247864,0.5213675213675213,0.48749999999999993,0.6633119658119658,0.1311990102506281,6
47,1.628534984588623,0.1424530365028498,0.07989659309387206,0.01896623183438618,True,,sqrt,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.747863247863248,0.7393162393162394,0.7777777777777778,0.5641025641025642,0.48749999999999993,0.6633119658119658,0.11556845911114831,6
84,1.8972879886627196,0.3065148988297581,0.15018730163574218,0.046309145255819674,True,60,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7393162393162394,0.7564102564102564,0.7777777777777778,0.5555555555555556,0.48749999999999993,0.6633119658119657,0.11837876049887028,8
4,4.151568794250489,0.2510650184241784,0.18483200073242187,0.06501046894204593,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7307692307692308,0.7777777777777779,0.7692307692307693,0.5213675213675213,0.5166666666666666,0.6631623931623932,0.1187641821698337,9
131,1.6524590969085693,0.11341988294851925,0.07556533813476562,0.01723598160263787,True,100,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.717948717948718,0.7649572649572649,0.7777777777777778,0.5641025641025642,0.48749999999999993,0.662457264957265,0.11590346308357917,10
