,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
78,0.5447586059570313,0.0010403375769294486,0.03388271331787109,0.00013463289224806673,True,120,sqrt,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.4464285714285714,0.5625,0.3660714285714286,0.6298076923076923,0.6346153846153846,0.5278846153846154,0.10563767328537525,1
98,1.2687004566192628,0.24510719868717143,0.07035980224609376,0.011434719079744552,True,60,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.4910714285714286,0.5089285714285714,0.40625,0.6778846153846154,0.5384615384615385,0.5245192307692308,0.08839090928290895,2
137,0.5382342338562012,0.003323744087094056,0.03539609909057617,0.0002505449632691634,True,60,sqrt,4,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 500)])",0.5803571428571428,0.59375,0.21428571428571427,0.6586538461538461,0.5576923076923077,0.5209478021978022,0.15696138324509548,3
134,1.596879243850708,0.011676655395969928,0.1050142765045166,0.010824864977945527,True,,sqrt,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.4910714285714286,0.6026785714285714,0.24107142857142855,0.7067307692307693,0.5576923076923077,0.5198489010989011,0.15605302461653722,4
148,1.6131167888641358,0.010329232078952817,0.10044569969177246,0.0002311928820231612,True,120,sqrt,4,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1500)])",0.4821428571428572,0.5848214285714286,0.25,0.7259615384615384,0.5480769230769231,0.5182005494505495,0.15603029173263672,5
20,0.8372644424438477,0.007849434606008421,0.052262163162231444,0.000872802734375,True,40,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.48214285714285715,0.6205357142857143,0.25,0.6778846153846154,0.5576923076923077,0.517651098901099,0.14883633176392272,6
87,1.325551652908325,0.011179143300505817,0.08379979133605957,0.0006830561954526376,True,60,sqrt,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.53125,0.5,0.4419642857142857,0.5625,0.5480769230769231,0.5167582417582418,0.04279755561024264,7
135,1.613577175140381,0.013850595258580574,0.0988243579864502,0.0006141291371671139,True,,sqrt,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.48214285714285715,0.5848214285714285,0.25,0.6875,0.576923076923077,0.5162774725274726,0.1481635457862823,8
50,1.6764715194702149,0.021783612528958766,0.09946060180664062,0.002262370206183343,True,80,auto,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5178571428571428,0.6026785714285714,0.26785714285714285,0.6490384615384616,0.5288461538461539,0.5132554945054945,0.13184695342754274,9
113,0.8672996520996094,0.003961995645422989,0.05714850425720215,0.010547975083372817,True,60,auto,2,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 750)])",0.49107142857142855,0.5089285714285714,0.35714285714285715,0.5048076923076923,0.7019230769230769,0.5127747252747252,0.11004333411070483,10
26,0.8689254760742188,0.056842048692010545,0.04965476989746094,0.0020617676880971547,True,,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.5267857142857143,0.6473214285714286,0.2589285714285714,0.639423076923077,0.4903846153846154,0.5125686813186813,0.1409098312603766,11
143,1.3696281433105468,0.011340058906638603,0.0890718936920166,0.0102422995634333,True,120,auto,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.5089285714285714,0.5491071428571429,0.2589285714285714,0.6875,0.5576923076923077,0.5124313186813186,0.1402274070835639,12
0,1.0745007514953613,0.010904120788793733,0.07279343605041504,0.010452496183353727,True,100,sqrt,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.5357142857142857,0.5848214285714286,0.2232142857142857,0.6682692307692308,0.5480769230769231,0.5120192307692308,0.1516470452045971,13
89,1.3601849555969239,0.03383641112828651,0.08268284797668457,0.0011380562779961028,True,,sqrt,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.4553571428571429,0.6383928571428571,0.2589285714285714,0.6682692307692307,0.5384615384615384,0.5118818681318681,0.14720661078123612,14
