,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
89,1.3044667720794678,0.15648185357298858,0.07713637351989747,0.0018438402999837909,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7281818181818183,0.7335353535353536,0.6985750636132316,0.7374554707379134,0.7110941475826973,0.7217683707302027,0.014680244098979753,1
123,1.1753314971923827,0.2632734900125143,0.06589913368225098,0.015076493977955175,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.728080808080808,0.7313131313131314,0.6968447837150127,0.7401017811704834,0.7110941475826972,0.7214869303724266,0.015503492796103108,2
130,1.1289141178131104,0.25552408805443516,0.06357593536376953,0.014576104274333805,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7245454545454546,0.7308080808080809,0.7001017811704835,0.74,0.7112977099236641,0.7213506052895365,0.014142305750465146,3
57,1.1447616577148438,0.26894406754254474,0.07007198333740235,0.014236442439998647,True,80,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.7269696969696969,0.7308080808080808,0.7005089058524173,0.7382697201017812,0.7097709923664123,0.7212654792196778,0.0139692671186543,4
90,1.6649115085601807,0.23919008256351804,0.07374153137207032,0.0046849502936502484,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7292929292929293,0.7305050505050505,0.6954198473282442,0.738676844783715,0.7119083969465649,0.7211606137713007,0.015546459247960893,5
120,1.188088607788086,0.26598326330766786,0.07231178283691406,0.023608625378147122,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7257575757575758,0.7282828282828284,0.6977608142493639,0.7403053435114504,0.712824427480916,0.7209861978564269,0.014527692114392244,6
147,1.1461568832397462,0.2913291672689958,0.064857816696167,0.01857622642936534,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7291919191919192,0.7303030303030303,0.6958269720101781,0.7375572519083969,0.7118066157760814,0.7209371578379212,0.015139196871713034,7
100,1.1261220455169678,0.245049436746131,0.06479949951171875,0.014913051020027985,True,,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7277777777777779,0.7341414141414142,0.6909414758269721,0.7376590330788803,0.714147582697201,0.7209334567044492,0.017009449013213898,8
1,0.9212590217590332,0.18610471596272563,0.045375728607177736,0.003999743550719502,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7301010101010101,0.7313131313131315,0.6956234096692111,0.7385750636132316,0.7089567430025445,0.7209138715398258,0.016043978363952667,9
118,1.13964900970459,0.256472973076488,0.06417546272277833,0.015085261464439708,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7270707070707071,0.7302020202020203,0.6944020356234096,0.7366412213740458,0.7161832061068703,0.7208998380754107,0.014810682067617301,10
37,2.0197714805603026,0.40759864856032196,0.10418744087219238,0.02569346497000908,True,40,sqrt,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7274747474747474,0.7312121212121213,0.6950127226463105,0.7379643765903309,0.7127226463104326,0.7208773228467885,0.015347819177665263,11
20,2.393221855163574,0.40773880028985426,0.1051203727722168,0.0008515968481371397,True,20,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7258585858585859,0.7297979797979799,0.6963358778625954,0.7401017811704835,0.7113994910941476,0.7206987431567585,0.01527038481891085,12
108,1.7369353771209717,0.35421336971347384,0.08155403137207032,0.013742721512020951,True,120,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.7235353535353535,0.73010101010101,0.6955216284987277,0.7416284987277354,0.7125190839694657,0.7206611149664586,0.01571808193077084,13
68,3.4208159923553465,0.5260007539546447,0.15294618606567384,0.0342329151491734,True,40,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7272727272727273,0.7302020202020203,0.6971501272264631,0.7380661577608143,0.7104834605597964,0.7206348986043644,0.014792062479040498,14
135,2.5626245975494384,0.4687104451822351,0.11103653907775879,0.00108247379767589,True,,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7266666666666667,0.7338383838383838,0.6970483460559798,0.7354198473282443,0.7100763358778626,0.7206099159534274,0.014812930461951689,15
64,3.6455344200134276,0.37115616257039674,0.12969412803649902,0.010804577342164253,True,,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.727878787878788,0.7317171717171719,0.695114503816794,0.7362340966921119,0.7116030534351145,0.7205095227079961,0.015175057639729445,16
73,1.6025901794433595,0.23687520025767367,0.08921871185302735,0.014713451017811364,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7278787878787879,0.7283838383838385,0.6938931297709924,0.7364376590330789,0.7157760814249364,0.7204738992983268,0.014838112666584365,17
27,2.4675591945648194,0.30633581587871034,0.10903830528259277,0.008890002338569628,True,60,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7287878787878788,0.7338383838383838,0.6944020356234097,0.7366412213740459,0.7086513994910941,0.7204641838229625,0.016301086530028087,18
35,1.6330897331237793,0.3443581575484107,0.09340534210205079,0.018951247130606474,True,80,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.7244444444444444,0.7285858585858587,0.6985750636132315,0.741323155216285,0.7092620865139949,0.720438121674763,0.01497676824054121,19
134,2.584948015213013,0.4699848886574012,0.11078038215637206,0.0012799506124374976,True,,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7256565656565657,0.7282828282828283,0.6966412213740458,0.7391857506361322,0.7124173027989823,0.7204367337497108,0.01463469275905497,20
26,2.6894328117370607,0.4040672607152912,0.1264190673828125,0.0024556475927349996,True,20,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7286868686868687,0.7296969696969697,0.6943002544529262,0.7365394402035622,0.7129262086513994,0.7204299483383453,0.015183129838697329,21
24,1.1609617233276368,0.26707879509614163,0.07103123664855956,0.014939409858644854,True,20,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7247474747474748,0.733030303030303,0.6961323155216285,0.737557251908397,0.7098727735368957,0.7202680237489398,0.015313081353264377,22
128,1.1512632846832276,0.25665742218103527,0.06470441818237305,0.014944235758855257,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7250505050505052,0.7293939393939394,0.6963358778625954,0.7366412213740459,0.7138422391857506,0.7202527565733673,0.014058970181167531,23
133,2.558086633682251,0.4729511915829178,0.11099104881286621,0.0016972340645144282,True,,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7257575757575757,0.7347474747474748,0.6966412213740458,0.7364376590330789,0.7073282442748092,0.7201824350373969,0.015664442817159376,24
136,2.577383041381836,0.46469655330850884,0.1110081672668457,0.0021443787108978633,True,,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7260606060606061,0.7305050505050505,0.6946055979643766,0.7357251908396947,0.7136386768447837,0.7201070244429023,0.01469458046189416,25
16,2.6554136753082274,0.390175493322004,0.12589378356933595,0.0009915655452868459,True,80,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7281818181818183,0.7257575757575758,0.6961323155216286,0.7385750636132317,0.7118066157760814,0.7200906777700672,0.014709735624477338,26
104,1.1474002838134765,0.26027879974694357,0.07146759033203125,0.01243698630481351,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.7278787878787879,0.7314141414141414,0.6929770992366413,0.7355216284987277,0.7126208651399492,0.7200825044336494,0.015607265205376373,27
33,2.753492832183838,0.48916254476111626,0.1360710620880127,0.02010802597854467,True,,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7251515151515152,0.7281818181818182,0.6957251908396946,0.7391857506361322,0.7120101781170484,0.7200508905852417,0.014930933988338946,28
82,3.773799753189087,0.4228139809928018,0.13730201721191407,0.0016729665892400375,True,80,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7247474747474748,0.731010101010101,0.6957251908396946,0.7383715012722647,0.710381679389313,0.7200471894517696,0.01525149315080187,29
41,1.6258906364440917,0.34302087869732084,0.08621444702148437,0.012473179062266198,True,80,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.7262626262626263,0.7313131313131315,0.689821882951654,0.7406106870229008,0.7122137404580153,0.7200444136016655,0.01768243518731634,30
51,2.4040307998657227,0.3379962994818309,0.10515961647033692,0.003906873228020874,True,40,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.7243434343434343,0.7292929292929294,0.6960305343511449,0.7353180661577609,0.7144529262086515,0.7198875780707843,0.01374852155862669,31
119,1.1914372444152832,0.26566377883707065,0.06449151039123535,0.014656561337126678,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7295959595959596,0.7285858585858587,0.693587786259542,0.738880407124682,0.7087531806615777,0.7198806384455241,0.016409106772866753,32
