,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26,1.3771069526672364,0.027065352743804557,0.08447246551513672,0.00211761007637091,True,20,sqrt,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.6480975404666807,0.6471515661130964,0.627771855010661,0.6105543710021323,0.5851279317697228,0.6237406528724586,0.023758786514629256,1
125,2.3126755237579344,0.046505867857069304,0.13590683937072753,0.0035089079194840908,True,20,auto,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6455749421904562,0.6517763296195083,0.6350213219616205,0.6026652452025586,0.5833155650319829,0.6236706808012252,0.026337520425032995,2
49,1.9991575241088868,0.05340634698155421,0.12330269813537598,0.005281774657858174,True,20,auto,4,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6579777170485601,0.6413706117300819,0.630863539445629,0.6094882729211086,0.5779850746268657,0.623537043154449,0.0276775125910336,3
27,1.5628055095672608,0.035073886628450415,0.08989992141723632,0.003845093100518424,True,20,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.6408450704225352,0.6470464578515871,0.636407249466951,0.6076759061833689,0.5813965884861407,0.6226742544821166,0.024664039255737416,4
107,1.0637803077697754,0.01596132338897684,0.06416940689086914,0.00229085278496049,True,20,sqrt,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.6595543409712004,0.641055286945554,0.6119936034115138,0.6044776119402985,0.5948294243070362,0.6223820535151205,0.024158248700617408,5
119,2.7092971324920656,0.06766185563105744,0.15833277702331544,0.007988713929987434,True,20,sqrt,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6490435148202648,0.651145680050452,0.637046908315565,0.5987206823027719,0.5742537313432835,0.6220421033664675,0.03042648763467353,6
56,1.9626033306121826,0.041257881703788295,0.12255253791809081,0.0057522781509847165,True,20,auto,4,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6452596174059281,0.6486230817742275,0.6366204690831557,0.5989339019189766,0.580223880597015,0.6219321901558605,0.02735259564801815,7
86,2.8428776264190674,0.05938058495796732,0.17763948440551758,0.012115244593286811,True,20,sqrt,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6374816060542359,0.6538784948496953,0.6340618336886994,0.6041577825159914,0.5800106609808102,0.6219180756178864,0.026392507079956,8
72,1.372126531600952,0.016543922894524728,0.08491754531860352,0.0023060595612184116,True,20,sqrt,4,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 750)])",0.6392684464998949,0.6567164179104479,0.6328891257995735,0.5989339019189766,0.581503198294243,0.6218622180846272,0.027546117285488024,9
88,2.9277546882629393,0.03533851542233879,0.17826600074768068,0.004346195645869362,True,20,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6509354635274333,0.6491486230817742,0.6285181236673774,0.6008528784648188,0.5797974413646055,0.6218505060212018,0.027730631739201456,10
