,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46,1.6767262458801269,0.48552340256880455,0.1319566249847412,0.03857758176848576,True,,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7666666666666667,0.8,0.6666666666666667,0.6944444444444444,0.7407407407407407,0.7337037037037037,0.04809683875777164,1
104,1.660602045059204,0.42797422024274623,0.145186185836792,0.03457346194926111,True,120,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7666666666666667,0.8333333333333334,0.6666666666666667,0.6944444444444444,0.7037037037037037,0.732962962962963,0.059908480727691116,2
138,1.379181718826294,0.25915357277726414,0.10870480537414551,0.02298963053071404,True,120,auto,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7666666666666667,0.8333333333333334,0.6944444444444444,0.6666666666666667,0.7037037037037037,0.732962962962963,0.059908480727691116,2
43,1.767489242553711,0.5119380010140893,0.10664277076721192,0.008385811561051807,True,20,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7666666666666667,0.8333333333333334,0.6944444444444444,0.6666666666666666,0.7037037037037037,0.7329629629629629,0.05990848072769114,4
32,1.6036553859710694,0.40356201842740214,0.13457436561584474,0.03900507903612968,True,20,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7999999999999999,0.8,0.6944444444444444,0.6666666666666666,0.7037037037037037,0.7329629629629629,0.05607656924826709,4
18,1.3890853881835938,0.4439219594191869,0.10119423866271973,0.031223289508751657,True,40,auto,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.7666666666666666,0.8,0.6666666666666667,0.7222222222222222,0.7037037037037037,0.7318518518518519,0.04688368118058268,6
78,0.46355495452880857,0.021543547240393396,0.047585153579711915,0.012209484731644779,True,20,auto,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.7333333333333334,0.8,0.6944444444444444,0.7222222222222222,0.7037037037037037,0.7307407407407408,0.03721439018394215,7
122,1.429640293121338,0.4051019061984115,0.11482253074645996,0.033821803940186065,True,60,auto,2,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7999999999999999,0.8333333333333334,0.6666666666666667,0.6388888888888888,0.7037037037037037,0.7285185185185185,0.07559185765516398,8
76,0.4391335487365723,0.002102665377152025,0.03749804496765137,0.00022952106738295588,True,100,auto,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.7333333333333334,0.8333333333333334,0.6388888888888888,0.6944444444444444,0.7407407407407407,0.7281481481481482,0.06380052934405499,9
67,0.5985845565795899,0.15100369797446409,0.047210168838500974,0.011704279600936278,True,100,sqrt,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.7666666666666667,0.8,0.6388888888888888,0.6944444444444444,0.7407407407407407,0.7281481481481482,0.056405838843977256,9
88,1.3095691204071045,0.040063512313295954,0.10291023254394531,0.0022128279936043183,True,100,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7999999999999999,0.8,0.6388888888888888,0.6944444444444444,0.7037037037037037,0.7274074074074075,0.06328241401197052,11
100,1.7651753902435303,0.48465473617734933,0.13583135604858398,0.029450038003432495,True,20,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7666666666666667,0.8333333333333334,0.6666666666666667,0.6666666666666666,0.7037037037037037,0.7274074074074074,0.06434645594217482,12
27,2.209946346282959,0.6659736389218696,0.130454158782959,0.033945516212636674,True,20,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.7666666666666667,0.8333333333333334,0.6666666666666667,0.6666666666666666,0.7037037037037037,0.7274074074074074,0.06434645594217482,12
81,0.6440021514892578,0.12370489983116234,0.05597972869873047,0.01291143323920484,True,120,auto,2,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 6), ('n_estimators', 500)])",0.7666666666666666,0.8333333333333334,0.6944444444444444,0.6388888888888888,0.7037037037037037,0.7274074074074074,0.06670163691864607,12
