,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
67,0.9783085346221924,0.08039695399992049,0.07318701744079589,0.0009326181449576276,True,100,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.6444444444444444,0.7333333333333334,0.8666666666666667,0.6533333333333334,0.6190476190476191,0.7033650793650794,0.09016624158291849,1
69,1.0080636024475098,0.10249985002371884,0.07128067016601562,0.0007033279612579681,True,100,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.6000000000000001,0.72,0.8533333333333334,0.64,0.6190476190476191,0.6864761904761905,0.09289772007190393,2
29,1.3121103763580322,0.28604910446766196,0.09352273941040039,0.020097904696604697,True,100,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.6444444444444445,0.7066666666666667,0.8400000000000001,0.6266666666666667,0.6071428571428572,0.684984126984127,0.08438448760614284,3
113,0.9891120910644531,0.0920063696634632,0.07136716842651367,0.0001995086669921875,True,60,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.6555555555555554,0.6533333333333333,0.88,0.6266666666666667,0.6071428571428571,0.6845396825396824,0.09935613327545888,4
86,1.047765064239502,0.16315581352514025,0.07295413017272949,0.0007928607091385576,True,100,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.6444444444444444,0.7066666666666667,0.8133333333333335,0.6133333333333334,0.6428571428571429,0.6841269841269841,0.07140302894277015,5
93,1.712082290649414,0.2847389086536312,0.12511138916015624,0.03801702729738515,True,100,sqrt,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6222222222222222,0.6933333333333332,0.8666666666666667,0.6133333333333334,0.6190476190476191,0.6829206349206349,0.09641315312100414,6
53,2.5638590812683106,0.11901347909233413,0.12887983322143554,0.021813828109845244,True,,sqrt,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6444444444444444,0.6666666666666666,0.8666666666666667,0.6266666666666667,0.6071428571428572,0.6823174603174602,0.09424667034035948,7
13,0.973093318939209,0.08091187324730582,0.07010254859924317,0.0010973308032904742,True,20,auto,4,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 500)])",0.6444444444444444,0.7066666666666667,0.7866666666666667,0.6000000000000001,0.6666666666666666,0.6808888888888889,0.06312988766067451,8
74,1.0165745735168457,0.12517297001670913,0.0795790672302246,0.015591075866265078,True,100,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.6222222222222222,0.7066666666666667,0.8533333333333335,0.6133333333333333,0.6071428571428572,0.6805396825396826,0.09364291599905061,9
123,1.8681378364562988,0.08382567975841518,0.13100619316101075,0.018568223541495156,True,100,sqrt,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6777777777777778,0.6133333333333333,0.88,0.6,0.6309523809523809,0.6804126984126985,0.10320290698462961,10
