,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
57,1.3145845413208008,0.32783104627827675,0.09106240272521973,0.020638575305391284,True,20,auto,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.6444444444444444,0.6799999999999999,0.8666666666666667,0.6133333333333334,0.6190476190476191,0.6846984126984126,0.09397649041552279,1
48,1.4382041931152343,0.07822440969917292,0.10441555976867675,0.0022273541236923653,True,20,auto,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.6333333333333333,0.6533333333333333,0.88,0.6133333333333333,0.6428571428571429,0.6845714285714285,0.09859861598840997,2
39,2.0230195045471193,0.28840001876992877,0.0983311653137207,0.01641405531636232,True,40,auto,4,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6333333333333333,0.68,0.8533333333333334,0.64,0.6071428571428572,0.6827619047619049,0.08842199375490149,3
128,1.3331501483917236,0.33456882398158927,0.0821136474609375,0.02283463029791087,True,120,auto,4,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 750)])",0.6000000000000001,0.7066666666666667,0.8666666666666667,0.6133333333333334,0.6190476190476191,0.6811428571428572,0.10010860315828932,4
133,2.038819694519043,0.27905018355793676,0.10284152030944824,0.020338867529583315,True,20,auto,4,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6222222222222222,0.7200000000000001,0.8533333333333334,0.6000000000000001,0.6071428571428572,0.6805396825396827,0.0966327305093576,5
90,1.741947603225708,0.15641596483453163,0.11302409172058106,0.006229027670439759,True,20,auto,4,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6555555555555557,0.6799999999999999,0.8400000000000001,0.6133333333333333,0.6071428571428571,0.6792063492063491,0.0847903168599302,6
115,2.42098650932312,0.07737805472966636,0.13496813774108887,0.03259690933337143,True,20,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6111111111111112,0.68,0.88,0.6266666666666667,0.5952380952380952,0.6786031746031747,0.10465653190289677,7
119,1.3385136127471924,0.3379689538475516,0.08171243667602539,0.022435653739159005,True,20,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.6444444444444444,0.6933333333333334,0.8533333333333335,0.5733333333333333,0.6190476190476191,0.6766984126984127,0.09646231168811831,8
41,2.0267402648925783,0.2855280317644248,0.09793601036071778,0.016546637204597127,True,60,auto,4,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6555555555555554,0.6666666666666667,0.8400000000000001,0.6000000000000001,0.6190476190476191,0.6762539682539683,0.08534674875650285,9
94,2.394587278366089,0.4683584973644464,0.11748056411743164,0.020243003856366543,True,20,auto,4,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6111111111111112,0.6933333333333334,0.8666666666666668,0.6133333333333334,0.5952380952380952,0.675936507936508,0.10130584024539581,10
