,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,1.1235025882720948,0.0068520653509730875,0.08849635124206542,0.0017948425067400757,True,120,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8351648351648353,0.7362637362637363,0.6593406593406593,0.7023809523809523,0.7023809523809523,0.7271062271062272,0.05928806514738722,1
69,1.1030508518218993,0.00743218982621371,0.09127230644226074,0.007285933860564491,True,120,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8461538461538463,0.7142857142857143,0.6593406593406593,0.7023809523809524,0.7023809523809523,0.724908424908425,0.06344667063361961,2
19,1.3973769187927245,0.010295102997180765,0.10692358016967773,0.0012517567030230774,True,120,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.8241758241758241,0.7472527472527473,0.6593406593406593,0.7023809523809524,0.6785714285714286,0.7223443223443224,0.05877779907091512,3
25,1.3922858238220215,0.006253817841469837,0.10846600532531739,0.0008481353303893251,True,60,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.8351648351648353,0.7362637362637363,0.6703296703296704,0.7023809523809524,0.6666666666666666,0.7221611721611721,0.06184838232848919,4
147,1.3152981281280518,0.002580184965533534,0.1033862590789795,0.0016516049897227528,True,120,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.8351648351648352,0.7032967032967034,0.6483516483516484,0.7261904761904762,0.6904761904761905,0.7206959706959708,0.06258271506005898,5
26,1.3744222164154052,0.015592403876534301,0.10623836517333984,0.0015044549448555889,True,120,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.8351648351648353,0.6813186813186813,0.6703296703296704,0.75,0.6666666666666666,0.7206959706959707,0.06475854830279143,6
75,0.6909039974212646,0.01366268615497394,0.05488424301147461,0.0004999238950182767,True,,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.8461538461538461,0.7142857142857142,0.6373626373626374,0.6904761904761905,0.7023809523809523,0.718131868131868,0.06919684421808345,7
86,1.3250147342681884,0.006440802882257175,0.10444784164428711,0.0020471026391885214,True,120,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.8351648351648353,0.7142857142857144,0.6373626373626374,0.7023809523809524,0.6904761904761905,0.715934065934066,0.06515205766832691,8
66,0.6679836273193359,0.008739428642377148,0.0544471263885498,0.0003576534707124177,True,,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.8131868131868132,0.6813186813186813,0.7032967032967034,0.6904761904761906,0.6904761904761905,0.7157509157509159,0.04921801247595316,9
136,1.320906400680542,0.00915596056882869,0.10648736953735352,0.0018052548216509557,True,120,auto,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.8241758241758241,0.7362637362637363,0.6483516483516484,0.7142857142857143,0.6547619047619048,0.7155677655677656,0.06393909035183766,10
57,1.3339525222778321,0.011815083602863563,0.10552034378051758,0.0011358482068824847,True,120,auto,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.8351648351648353,0.7252747252747253,0.6703296703296704,0.6785714285714285,0.6666666666666666,0.7152014652014651,0.0635665712915518,11
70,1.1230033874511718,0.007666316761350086,0.08848237991333008,0.0008624109852162501,True,120,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8571428571428572,0.7142857142857144,0.6703296703296704,0.6666666666666666,0.6666666666666666,0.7150183150183149,0.07331133737519051,12
