,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
105,3.856487846374512,0.12815793664565506,0.26618289947509766,0.08543136004227599,True,,auto,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.8055555555555556,0.625,0.7250000000000001,0.875,0.875,0.7811111111111112,0.0956524056992263,1
120,3.9800145626068115,0.1646579058996178,0.23230347633361817,0.07186174051119555,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8055555555555556,0.625,0.75,0.875,0.84375,0.7798611111111111,0.08793981176820405,2
106,3.7857167720794678,0.19394741881141442,0.1798161029815674,0.07067258644394149,True,,auto,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7777777777777777,0.65,0.7000000000000001,0.84375,0.875,0.7693055555555556,0.08464295016329285,3
18,5.413174724578857,0.19113412449026548,0.3580422878265381,0.05347957533045897,True,,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.8055555555555556,0.625,0.7,0.84375,0.84375,0.7636111111111111,0.0870209549760187,4
119,3.1553675174713134,0.2258844367686754,0.21261672973632811,0.09358915230946951,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8055555555555556,0.6000000000000001,0.7250000000000001,0.84375,0.84375,0.7636111111111111,0.09258858787635905,4
90,4.218687534332275,0.14229739663186194,0.2348787784576416,0.07613465605821203,True,120,auto,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7777777777777777,0.625,0.675,0.875,0.84375,0.7593055555555555,0.09591944601308323,6
84,5.969438219070435,0.24088195832704376,0.38068437576293945,0.07107516295974978,True,100,sqrt,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.7777777777777777,0.625,0.675,0.84375,0.875,0.7593055555555555,0.09591944601308323,6
131,3.4935483932495117,0.0799189055101418,0.17245173454284668,0.034480197050330806,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8333333333333333,0.625,0.675,0.875,0.78125,0.7579166666666667,0.09432140678434442,8
134,3.8698870182037353,0.13233221729699032,0.23522133827209474,0.09348220721237795,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.75,0.625,0.7250000000000001,0.84375,0.84375,0.7575000000000001,0.08191077462702936,9
71,2.912674570083618,0.24698912807361414,0.1876598834991455,0.0623358898761353,True,120,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.7222222222222223,0.625,0.75,0.8125,0.875,0.7569444444444444,0.0844828129208086,10
123,2.3937719821929933,0.3334093635558861,0.18227601051330566,0.04851913977174463,True,,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7777777777777777,0.625,0.7250000000000001,0.8125,0.84375,0.7568055555555555,0.076792368769524,11
66,3.2878424644470217,0.10040030798574269,0.21130094528198243,0.07620703828701023,True,120,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.75,0.625,0.75,0.8125,0.84375,0.75625,0.075,12
28,4.8746922492980955,0.103572448936674,0.3165463924407959,0.03229940864870012,True,,auto,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.8055555555555556,0.625,0.725,0.78125,0.84375,0.7561111111111111,0.07604645469451511,13
