,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
144,0.8909208297729492,0.12246605704566774,0.034408044815063474,0.001742525688178219,True,20,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5185185185185185,0.6370370370370371,0.7481481481481481,0.525,0.6587301587301587,0.6174867724867724,0.08660732442591035,1
50,0.6572868347167968,0.10811956248457855,0.04169354438781738,0.012900634963673024,True,80,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5333333333333333,0.6370370370370371,0.7333333333333334,0.5083333333333333,0.6666666666666666,0.6157407407407407,0.0839074871052533,2
83,1.1616714954376222,0.24293532693212644,0.0537015438079834,0.003478033360852722,True,80,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5333333333333333,0.6370370370370371,0.7407407407407407,0.49166666666666664,0.6666666666666667,0.6138888888888889,0.09037720071333893,3
33,2.111007499694824,0.30035269679909526,0.11703376770019532,0.031483777945468534,True,20,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.5259259259259259,0.6296296296296297,0.7629629629629631,0.5,0.6507936507936508,0.6138624338624339,0.09438322975781673,4
143,0.9079387187957764,0.12381002462056591,0.04547410011291504,0.015015445382695504,True,20,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5481481481481482,0.6296296296296297,0.7333333333333334,0.5,0.6507936507936508,0.6123809523809525,0.08143446729964346,5
122,1.2503020763397217,0.19111710316614436,0.07430229187011719,0.020269768532993695,True,40,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.5407407407407407,0.6296296296296297,0.7481481481481482,0.49166666666666664,0.6507936507936507,0.6121957671957672,0.08934189492535123,6
44,0.7905247688293457,0.1528485492684549,0.04532046318054199,0.013874494300879777,True,60,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5185185185185186,0.6148148148148148,0.7555555555555555,0.4916666666666667,0.6746031746031746,0.611031746031746,0.09772357862465939,7
24,2.250455951690674,0.4646478519408385,0.14897971153259276,0.035954022284332074,True,100,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.5333333333333334,0.6222222222222222,0.7481481481481481,0.5083333333333333,0.6428571428571428,0.610978835978836,0.08546693358143641,8
141,0.8270905494689942,0.13730863098879928,0.04316105842590332,0.011943448322432238,True,20,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5259259259259259,0.6222222222222222,0.7555555555555556,0.5083333333333334,0.6428571428571428,0.610978835978836,0.08923582772522166,8
117,1.999168586730957,0.4503374749389852,0.1286539077758789,0.03640485911307231,True,100,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5407407407407407,0.6148148148148149,0.7407407407407409,0.49166666666666664,0.6666666666666666,0.6109259259259259,0.08845651012680442,10
