,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,0.5910150527954101,0.09417740109327036,0.03745622634887695,0.0002471116458061168,True,80,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6296296296296297,0.6370370370370371,0.7357142857142858,0.626984126984127,0.34920634920634924,0.5957142857142858,0.1297704019137029,1
32,0.5862162590026856,0.09372537107793351,0.03684911727905273,0.0002780679312145156,True,80,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6444444444444446,0.6370370370370371,0.75,0.5476190476190478,0.3888888888888888,0.5935978835978837,0.12079220230563766,2
88,0.6123863697052002,0.09097357597314869,0.03828167915344238,0.0003480674461253576,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6000000000000001,0.6444444444444445,0.7214285714285715,0.6031746031746033,0.39682539682539675,0.5931746031746032,0.1074963012131227,3
67,0.6108858108520507,0.09006577264415747,0.037847375869750975,0.0007557408442140555,True,20,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6111111111111112,0.6444444444444445,0.7357142857142858,0.6031746031746033,0.35714285714285715,0.5903174603174604,0.12572831411227042,4
95,1.2519800186157226,0.19211560692212984,0.07284421920776367,0.0016769821295455644,True,80,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6185185185185186,0.6444444444444445,0.7357142857142858,0.5555555555555556,0.3412698412698413,0.5791005291005292,0.13226433818392175,5
102,1.098476028442383,0.021903300814020275,0.07467398643493653,0.0018507289623807884,True,80,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6148148148148148,0.6370370370370371,0.7285714285714285,0.5476190476190478,0.36111111111111116,0.5778306878306879,0.12286261147475212,6
87,0.6217156887054444,0.09793135997178712,0.03888659477233887,0.0014861759996288133,True,40,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6111111111111112,0.6296296296296297,0.7214285714285715,0.5873015873015874,0.3373015873015874,0.5773544973544975,0.12833852225289458,7
96,1.253830337524414,0.19565600799013302,0.07409105300903321,0.0006728166320657538,True,80,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6148148148148149,0.6518518518518519,0.7428571428571429,0.5476190476190478,0.3293650793650794,0.5773015873015874,0.13908787962150967,8
56,0.6278738498687744,0.10261814831519576,0.03805947303771973,0.0004894166789119257,True,100,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6222222222222222,0.6148148148148148,0.7071428571428572,0.5476190476190476,0.3888888888888888,0.5761375661375661,0.10644950389075018,9
51,0.632463788986206,0.10225495408370648,0.03967518806457519,0.0008404169001038712,True,100,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6296296296296297,0.6444444444444444,0.7285714285714285,0.5,0.36904761904761907,0.5743386243386244,0.1260399199478203,10
