,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
126,2.14184684753418,0.5113956300485959,0.15021123886108398,0.029962615923217185,True,40,auto,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.562962962962963,0.7777777777777778,0.7714285714285714,0.6904761904761905,0.6666666666666667,0.693862433862434,0.0786689754868564,1
149,2.623379278182983,0.14498639870349994,0.2006354808807373,0.019729209973757933,True,60,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5777777777777778,0.7333333333333334,0.7928571428571428,0.6904761904761905,0.6746031746031746,0.6938095238095239,0.07101538341289101,2
71,2.7242898464202883,0.1698271618211195,0.18617048263549804,0.015370103140472883,True,120,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5481481481481482,0.725925925925926,0.7785714285714286,0.6904761904761905,0.7222222222222222,0.6930687830687831,0.07778036924740092,3
16,3.4681748867034914,0.2169784873673869,0.22239465713500978,0.024641063773808498,True,80,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.562962962962963,0.725925925925926,0.7928571428571429,0.6825396825396826,0.6825396825396826,0.6893650793650794,0.07499062584306591,4
51,1.2349311351776122,0.21098765860013105,0.08767743110656738,0.012808839429784351,True,120,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5555555555555556,0.7037037037037037,0.8285714285714285,0.7063492063492064,0.6507936507936508,0.688994708994709,0.08861661499946075,5
74,2.78861722946167,0.16719587762084562,0.21507468223571777,0.02590239593517784,True,120,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5851851851851853,0.7185185185185186,0.7642857142857142,0.7301587301587302,0.6428571428571429,0.6882010582010583,0.06501816712222423,6
99,1.5850116729736328,0.4051808759148305,0.1166313648223877,0.024524032248016952,True,40,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5481481481481483,0.7407407407407407,0.7714285714285714,0.7142857142857142,0.6587301587301588,0.6866666666666668,0.07853563041762579,7
144,2.7288041591644285,0.1719161700820856,0.19136686325073243,0.011639122335477061,True,60,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5555555555555556,0.7555555555555556,0.7785714285714286,0.6587301587301588,0.6825396825396826,0.6861904761904762,0.07896661879139776,8
66,2.0107072830200194,0.09931356910363681,0.14204940795898438,0.010477944359100863,True,,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5703703703703704,0.7407407407407408,0.7785714285714286,0.6825396825396826,0.6587301587301587,0.6861904761904761,0.07168216788964776,9
146,2.1636101245880126,0.5348085994150661,0.1526341915130615,0.033656546650895104,True,60,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5555555555555556,0.7407407407407407,0.7785714285714286,0.6984126984126984,0.6428571428571428,0.6832275132275132,0.07817764253395641,10
