,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
128,1.0129473209381104,0.007390810723149862,0.07672195434570313,0.0011887121938796339,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4027777777777778,0.6990740740740741,0.7777777777777778,0.43333333333333335,0.6888888888888889,0.6003703703703704,0.15231253516249701,1
67,1.2289358615875243,0.22545680408683838,0.07766389846801758,0.0023985803750492577,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.6944444444444443,0.7777777777777778,0.43333333333333335,0.6555555555555554,0.5946296296296295,0.14599641087720633,2
68,1.0487025737762452,0.03791213958883939,0.07629790306091308,0.0022140567586871433,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.7685185185185186,0.6611111111111111,0.4777777777777778,0.6444444444444444,0.5927777777777778,0.12970421134913457,3
38,2.054593086242676,0.046405478040636564,0.15471925735473632,0.013721173689204657,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.4027777777777778,0.712962962962963,0.6888888888888888,0.4777777777777778,0.6777777777777778,0.5920370370370371,0.12667208132243238,4
82,1.0926408290863037,0.07864498141421453,0.07737054824829101,0.0012768735290148378,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.7129629629629629,0.6888888888888888,0.4777777777777778,0.6666666666666665,0.5916666666666666,0.12249688554591875,5
135,0.9949017524719238,0.011780804257592193,0.07685327529907227,0.003414166696221367,True,100,sqrt,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.46759259259259256,0.6527777777777778,0.6722222222222223,0.4777777777777778,0.6777777777777778,0.5896296296296295,0.09589910965084307,6
52,1.7143075466156006,0.013199777519918911,0.13506903648376464,0.013380051788906448,True,60,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.4027777777777778,0.736111111111111,0.6611111111111111,0.4777777777777778,0.6666666666666665,0.5888888888888888,0.12643009096427385,7
140,1.0213580131530762,0.016464780059659106,0.07722687721252441,0.0015725050247605565,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.6851851851851852,0.6888888888888888,0.4777777777777778,0.6666666666666665,0.586111111111111,0.11739338624070342,8
49,1.0282720088958741,0.009516552210905487,0.07739391326904296,0.003468702362011383,True,100,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.41203703703703703,0.7314814814814814,0.6611111111111111,0.4555555555555556,0.6666666666666665,0.5853703703703703,0.12695710691365317,9
71,1.0234160900115967,0.01741203183317617,0.08393311500549316,0.011936217395938266,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4027777777777778,0.7129629629629629,0.6888888888888888,0.4555555555555556,0.6666666666666665,0.5853703703703703,0.12945808755527982,9
70,1.0328585147857665,0.012043106651371146,0.07698163986206055,0.0014868159607443626,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.7083333333333334,0.7277777777777777,0.41111111111111115,0.6666666666666665,0.5851851851851851,0.14312191317257578,11
112,2.2299739837646486,0.31429994512135545,0.14955358505249022,0.002287427660524231,True,60,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.41203703703703703,0.6805555555555555,0.6888888888888888,0.4777777777777778,0.6666666666666665,0.5851851851851851,0.11662403689118121,11
17,1.0231675624847412,0.016688961778608676,0.07655324935913085,0.0013238899389373953,True,100,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4027777777777778,0.7407407407407407,0.6888888888888888,0.43333333333333335,0.6555555555555554,0.5842592592592593,0.13873077419660954,13
23,1.0433120250701904,0.052453424300669294,0.08480768203735352,0.013442060698241803,True,100,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.6388888888888888,0.7222222222222222,0.4777777777777778,0.6666666666666665,0.5835185185185184,0.11815685559460982,14
26,1.3095183372497559,0.020792770426967994,0.1014671802520752,0.00486445113746936,True,120,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.4027777777777778,0.7175925925925927,0.6611111111111111,0.4777777777777778,0.6555555555555554,0.582962962962963,0.1208574191973099,15
56,1.0692687511444092,0.05808430756953754,0.07742729187011718,0.0032335625651841097,True,100,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.4027777777777778,0.6759259259259259,0.6888888888888888,0.4777777777777778,0.6666666666666665,0.5824074074074074,0.11865732612242699,16
104,2.127244710922241,0.17445683376799437,0.14721617698669434,0.002405428033677854,True,80,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.41203703703703703,0.6898148148148148,0.6611111111111111,0.4777777777777778,0.6666666666666665,0.5814814814814815,0.11384145353609056,17
1,0.6965456485748291,0.004736873219779007,0.05304560661315918,0.0005649772546275919,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.4027777777777778,0.712962962962963,0.6888888888888888,0.43333333333333335,0.6666666666666665,0.580925925925926,0.13413544738125746,18
90,1.7126996517181396,0.0339368109905274,0.1496300220489502,0.02885869645075188,True,100,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.41203703703703703,0.7037037037037037,0.6888888888888888,0.43333333333333335,0.6666666666666665,0.580925925925926,0.12991450179936714,18
132,1.0227481365203857,0.010054397637282254,0.07583460807800294,0.0015666264089928424,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.4027777777777778,0.6944444444444443,0.6611111111111111,0.4777777777777778,0.6666666666666665,0.5805555555555555,0.11751017817750355,20
65,1.0945526599884032,0.08287243029672978,0.0758164405822754,0.0008535475890247154,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.41203703703703703,0.6666666666666666,0.6777777777777777,0.4777777777777778,0.6666666666666665,0.5801851851851851,0.11246642541217858,21
138,0.6969635963439942,0.051223574206336074,0.051589679718017575,0.0009263882966247452,True,40,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.4027777777777778,0.7037037037037037,0.6888888888888888,0.43333333333333335,0.6666666666666665,0.5790740740740741,0.13235184019194737,22
113,1.0342588424682617,0.024082117512643483,0.0775634765625,0.002867072335607016,True,100,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4027777777777778,0.7083333333333334,0.65,0.4777777777777778,0.6555555555555554,0.5788888888888889,0.11741295699000089,23
91,1.718524408340454,0.01562466533321575,0.12881836891174317,0.005229522861888624,True,100,auto,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.4027777777777778,0.6851851851851852,0.6611111111111111,0.4777777777777778,0.6666666666666665,0.5787037037037037,0.11576073901303925,24
148,1.0315649509429932,0.016614445189233266,0.07757630348205566,0.0014174100355632735,True,100,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.4027777777777778,0.6574074074074073,0.6888888888888888,0.4777777777777778,0.6666666666666665,0.5787037037037036,0.11593834982532511,25
109,1.0724660396575927,0.05622834691944759,0.0772486686706543,0.0009193640598454046,True,80,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.4027777777777778,0.6759259259259259,0.6888888888888888,0.4555555555555556,0.6666666666666665,0.5779629629629629,0.12283572176067668,26
141,1.0402190208435058,0.017669307192399186,0.0844205379486084,0.014511292843086448,True,100,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.39351851851851855,0.6851851851851852,0.6777777777777777,0.4777777777777778,0.6555555555555554,0.5779629629629629,0.11961357534748052,26
121,1.3543503761291504,0.012158306131832605,0.10171322822570801,0.0016930100609258457,True,40,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.39351851851851855,0.7129629629629629,0.6611111111111111,0.4555555555555556,0.6666666666666665,0.5779629629629629,0.12807051812641623,26
117,1.9774563789367676,0.005677709388436882,0.14923372268676757,0.0038550367985969664,True,100,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.39351851851851855,0.6898148148148148,0.6611111111111111,0.4777777777777778,0.6666666666666665,0.5777777777777777,0.1194566459458451,29
116,1.0209346771240235,0.013673722729391321,0.07869400978088378,0.002628024186653351,True,100,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.41203703703703703,0.7083333333333333,0.6888888888888888,0.43333333333333335,0.6444444444444444,0.5774074074074073,0.12819390105953343,30
