,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
133,2.7548763275146486,0.4765951397113275,0.12823400497436524,0.001957701887595538,True,40,auto,6,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1500)])",0.40993788819875776,0.49585921325051757,0.5274327122153208,0.4666666666666667,0.6433862433862434,0.5086565447435012,0.07768774789571609,1
29,1.0694987297058105,0.20834694621155747,0.06472501754760743,0.011622888594981546,True,60,sqrt,4,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 500)])",0.3840579710144928,0.505175983436853,0.5232919254658385,0.47575757575757577,0.6465608465608466,0.5069688604471214,0.08466027460367155,2
53,1.946050262451172,0.38572229793189605,0.09469976425170898,0.010738994605794718,True,100,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.412008281573499,0.5010351966873706,0.4953416149068323,0.4575757575757575,0.6656084656084656,0.5063138632703851,0.08578108250072633,3
89,2.766220235824585,0.48941892415000837,0.1344235897064209,0.0016909013850123385,True,40,auto,6,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1500)])",0.4089026915113872,0.5072463768115942,0.4943064182194617,0.4565656565656565,0.6613756613756614,0.5056793608967521,0.08503060277015989,4
103,1.0495779514312744,0.2442419795901304,0.06304965019226075,0.012706875011054913,True,20,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.38716356107660455,0.5031055900621118,0.5232919254658386,0.4565656565656565,0.6550264550264551,0.5050306376393332,0.0884052349160431,5
95,2.8162556171417235,0.12253951415656604,0.13500542640686036,0.0008006076630960544,True,80,sqrt,6,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1500)])",0.4099378881987578,0.4927536231884059,0.5067287784679089,0.4484848484848485,0.6603174603174603,0.5036445197314763,0.08543776298168056,6
145,2.0391525745391847,0.07354287430909216,0.11681909561157226,0.00244020348310349,True,,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.3892339544513458,0.510351966873706,0.5253623188405797,0.44747474747474747,0.6444444444444445,0.5033734864169647,0.0855403120315686,7
67,1.4582706451416017,0.3248217629232368,0.08330073356628417,0.0184435615240083,True,,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.406832298136646,0.5062111801242237,0.5036231884057971,0.4363636363636364,0.6592592592592593,0.5024579124579126,0.08730958560395524,8
91,1.9670605659484863,0.3904636631924835,0.09509329795837403,0.010761460535799999,True,80,sqrt,6,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1000)])",0.3809523809523809,0.49482401656314706,0.5274327122153208,0.45353535353535357,0.6539682539682541,0.5021425434468914,0.09032598102865258,9
122,2.3630958557128907,0.4078888081458601,0.11328463554382324,0.002706008736034479,True,100,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.38509316770186336,0.4865424430641822,0.5181159420289856,0.4484848484848485,0.6677248677248677,0.5011922538009494,0.09433049140802188,10
