,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,1.3319867134094239,0.011384689315678575,0.07185173034667969,0.0003638386880658967,True,60,auto,2,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6837138508371385,0.750076103500761,0.7844748858447489,0.8231354642313546,0.7059178743961353,0.7494636357620277,0.05074045449087778,1
91,1.6679577827453613,0.0201511850719839,0.08959646224975586,0.0004940267091527125,True,120,auto,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6788432267884322,0.7570776255707763,0.7786910197869101,0.819482496194825,0.7092391304347826,0.7486666997551452,0.049833585244245394,2
52,1.0008483409881592,0.009329763086045658,0.05487942695617676,0.0003377788014687804,True,80,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6751902587519025,0.75220700152207,0.7890410958904109,0.8161339421613394,0.7107487922705314,0.7486642181192509,0.05105097346281766,3
110,1.3373366355895997,0.019458436748424346,0.07200131416320801,0.0005193140779339671,True,40,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6885844748858447,0.7546423135464231,0.7765601217656012,0.8222222222222221,0.7010869565217391,0.748619217788366,0.049189145704630295,4
25,2.0041457653045653,0.020675297177055962,0.10662374496459961,0.0004110984740034745,True,100,sqrt,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6791476407914764,0.75220700152207,0.7875190258751902,0.8170471841704718,0.706219806763285,0.7484281318244987,0.050660203988896015,5
132,2.0072212696075438,0.02395822509990826,0.10667414665222168,0.0007608848324112545,True,40,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6764079147640791,0.7512937595129376,0.7899543378995434,0.8237442922374427,0.7004830917874396,0.7483766792402885,0.05457249659879449,6
129,1.9992583751678468,0.015514406786487942,0.11079316139221192,0.0075465540128855915,True,40,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6730593607305936,0.7528158295281584,0.7823439878234398,0.8231354642313546,0.7104468599033817,0.7483603004433856,0.052675854738386645,7
75,1.0058985233306885,0.008691335325310839,0.05499277114868164,0.0002342895887539366,True,40,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.684931506849315,0.7558599695585997,0.7884322678843226,0.8051750380517504,0.7062198067632851,0.7481237178214546,0.046235646915879426,8
79,1.6635759830474854,0.013011935328465353,0.08893094062805176,0.00025215871204702274,True,80,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6767123287671233,0.756773211567732,0.7920852359208522,0.8152207001522069,0.6980676328502415,0.7477718218516312,0.05313005332015079,9
145,1.994244384765625,0.016101153378714785,0.10658025741577148,0.0004516495994593888,True,40,auto,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6840182648401826,0.7439878234398782,0.7878234398782344,0.8152207001522069,0.7065217391304348,0.7475143934881874,0.04885397822867858,10
19,1.669299268722534,0.012917156484244482,0.08925347328186035,0.00047036173946895404,True,100,sqrt,2,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6840182648401827,0.75220700152207,0.7844748858447489,0.8124809741248098,0.7038043478260869,0.7473970948315797,0.048064566606194466,11
64,1.0008527755737304,0.0056631798621866025,0.05485835075378418,0.0003472423198566145,True,40,sqrt,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6815829528158296,0.7494672754946727,0.7841704718417047,0.8225266362252663,0.6989734299516909,0.7473441532658329,0.052301727486488425,12
98,2.002071666717529,0.023216578313243395,0.1068868637084961,0.0003828232712782755,True,120,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6764079147640791,0.7531202435312023,0.7838660578386607,0.8158295281582951,0.7062198067632851,0.7470887102111045,0.05055748185740622,13
113,1.0034217834472656,0.00953939536408681,0.0550112247467041,0.00010168192109123579,True,,auto,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.6940639269406392,0.747945205479452,0.78234398782344,0.8057838660578386,0.7047101449275363,0.7469694262457812,0.043119111300191464,14
131,2.0050883293151855,0.014560065407604569,0.10724773406982421,0.0005128867345119425,True,40,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6757990867579908,0.7476407914764079,0.786605783866058,0.8200913242009131,0.7044082125603865,0.7469090397723513,0.052526106723773815,15
34,0.6717270851135254,0.00794284710188836,0.03806600570678711,0.00015733253415700903,True,80,auto,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.6858447488584475,0.7467275494672755,0.7881278538812784,0.8060882800608828,0.707427536231884,0.7468431936999537,0.045801356146979826,16
