,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,1.3395299434661865,0.08731871297321912,0.07857556343078613,0.010264503716487692,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6421789105447275,0.5650924537731135,0.6053498985801218,0.4652804032766226,0.6071833648393196,0.577017006202781,0.060969007119107826,1
120,2.8342636108398436,0.482273094206274,0.11786837577819824,0.0011444765647281804,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6270614692653673,0.5619690154922538,0.6052231237322515,0.4700693131695022,0.6185255198487712,0.5765696883016291,0.05776892011704792,2
100,3.1183096885681154,0.11357282558236222,0.12760629653930664,0.002474268180370679,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6350574712643678,0.5679660169915042,0.5991379310344828,0.4787649653434152,0.6010081915563957,0.5763869152380332,0.05322970362543911,3
26,1.3231044292449952,0.27992181951012673,0.06959877014160157,0.015024696423939344,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6419290354822588,0.570464767616192,0.5972363083164299,0.4577189666036547,0.6109640831758035,0.5756626322388678,0.06330968045516384,4
33,1.5780556201934814,0.32937093997698996,0.06996297836303711,0.011811084714303059,True,80,sqrt,2,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 500)])",0.6379310344827587,0.5838330834582709,0.5882352941176471,0.45847511027095145,0.6097038437303087,0.5756356732119874,0.06163424010839103,5
117,3.4637192249298097,0.5211110315831068,0.13610925674438476,0.0020279895135323677,True,100,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6463018490754623,0.5825837081459271,0.5772058823529412,0.46061751732829237,0.6110901071203529,0.5755598128045951,0.06249898151169941,6
3,1.0984367370605468,0.24593823319541666,0.055486631393432614,0.0047159079362555974,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.642303848075962,0.5568465767116442,0.5971095334685598,0.4800252047889099,0.6011342155009453,0.5754838757092042,0.054863876056735754,7
25,2.334964466094971,0.025599695719468928,0.09521489143371582,0.017063391615497213,True,120,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.6400549725137432,0.5913293353323338,0.5843052738336714,0.4604914933837429,0.5979836168872085,0.5748329383901399,0.060374978173205536,8
111,2.9116302967071532,0.4424521951342247,0.11956915855407715,0.0019594938068043175,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6381809095452274,0.5618440779610194,0.5997718052738337,0.46817895400126025,0.6055450535601764,0.5747041600683035,0.058518110890758715,9
145,3.474915361404419,0.5908537054457793,0.1496884822845459,0.0013174057748981487,True,120,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6256871564217892,0.5742128935532234,0.5962221095334685,0.46439823566477634,0.6128544423440454,0.5746749675034606,0.05776740628479004,10
119,2.8533488750457763,0.5142213424428191,0.11833329200744629,0.003007427786045564,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6326836581709145,0.5592203898050975,0.5983772819472617,0.4706994328922496,0.6122243226212981,0.5746410170873644,0.057247728302665016,11
84,3.7572740077972413,0.6331535917461357,0.16105995178222657,0.013279339780974574,True,20,auto,4,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6403048475762119,0.5670914542728634,0.5974898580121705,0.46074354127284184,0.6068052930056711,0.5744869988279518,0.06147822557444682,12
13,1.909463596343994,0.09488327431136172,0.09060087203979492,0.010534985806327918,True,20,auto,6,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 750)])",0.6293103448275862,0.5539730134932535,0.6053498985801218,0.4712035286704474,0.6120982986767486,0.5743870168496314,0.057377655135309596,13
12,1.8893401145935058,0.3631929964174808,0.07981038093566895,0.008400779349057764,True,100,sqrt,6,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 750)])",0.6319340329835083,0.5609695152423788,0.596602434077079,0.47334593572778827,0.6090737240075614,0.5743851284076632,0.055493568794559786,14
56,2.882707452774048,0.5124967937273578,0.1242225170135498,0.010975031796618524,True,20,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6366816591704149,0.5734632683658171,0.5982505070993915,0.46754883427851296,0.5952110901071204,0.5742310718042514,0.05709441238489648,15
50,3.0184038162231444,0.5405265764942098,0.12993431091308594,0.0011949844767445163,True,20,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6328085957021491,0.5658420789605197,0.6028144016227182,0.4675488342785129,0.6006301197227474,0.5739288060573295,0.0572647552374836,16
78,3.1008208751678468,0.5109802272552482,0.13789010047912598,0.012069683663259728,True,20,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6325587206396801,0.5627186406796603,0.600659229208925,0.4722117202268431,0.6012602394454946,0.5738817100401206,0.05544549021212786,17
106,2.851014566421509,0.3165786733114992,0.11852684020996093,0.0016675728088309714,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6355572213893054,0.5563468265867066,0.6061105476673427,0.4712035286704474,0.6001260239445495,0.5738688296516703,0.057239166529371735,18
75,3.3653321266174316,0.5676234102791309,0.1422192096710205,0.0011278456301268096,True,40,sqrt,6,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6376811594202898,0.5594702648675662,0.5950811359026369,0.4674228103339635,0.6090737240075614,0.5737458189064035,0.05882067322260719,19
104,2.8325619220733644,0.5106180683551109,0.11844868659973144,0.0004067453214331902,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6324337831084458,0.5592203898050974,0.6016734279918865,0.46502835538752363,0.6094517958412099,0.5735615504268325,0.05921055728579812,20
90,2.8671263217926026,0.5455845285876184,0.12110733985900879,0.0038356895680163655,True,20,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6336831584207897,0.5689655172413792,0.5969827586206897,0.46591052299936986,0.602142407057341,0.5735368728679139,0.05760189283190835,21
2,2.57356219291687,0.2579905306823356,0.10855932235717773,0.0027099816111042408,True,,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6268115942028984,0.5758370814592704,0.5983772819472617,0.4557025834908633,0.6094517958412098,0.5732360673883007,0.06104896697177243,22
147,3.4972350120544435,0.5542513029825377,0.14741978645324708,0.0028380048365423947,True,120,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6298100949525237,0.5590954522738631,0.5943204868154157,0.47221172022684305,0.6103339634530561,0.5731543435443405,0.05554686228965122,23
31,1.3606968879699708,0.30818572742585576,0.06902990341186524,0.014743166126881676,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.653048475762119,0.5605947026486755,0.600786004056795,0.46616257088846885,0.5846250787649653,0.5730433664242047,0.061454180017110165,24
0,2.5017857551574707,0.2893617126659746,0.10975289344787598,0.003065317276095355,True,100,sqrt,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6434282858570715,0.5710894552723639,0.592292089249493,0.45784499054820416,0.5998739760554506,0.5729057593965166,0.062159183910259735,25
97,2.697811508178711,0.06258214004537355,0.10151071548461914,0.0011096407666055614,True,120,sqrt,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6285607196401799,0.5748375812093953,0.5921653144016227,0.46036546943919343,0.6085696282293637,0.572899742583951,0.05900739820908882,26
23,1.3253787517547608,0.30446103406035446,0.06987190246582031,0.016575054328332305,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6360569715142429,0.563968015992004,0.6028144016227179,0.46994328922495276,0.5914303717706364,0.5728426100249109,0.05640371852483448,27
77,3.2479528903961183,0.5360813378972875,0.1383061408996582,0.0022620456002878544,True,100,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6236881559220391,0.552848575712144,0.6048427991886409,0.4751102709514808,0.606805293005671,0.5726590189559951,0.054247485581921995,28
124,2.847979688644409,0.5094223574981663,0.12033419609069824,0.002652708443182724,True,100,sqrt,6,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6298100949525237,0.566216891554223,0.5982505070993915,0.46679269061121614,0.6015122873345935,0.5725164943103895,0.05657342090659571,29
103,2.8962679386138914,0.48619722107409163,0.1248842716217041,0.0017235302308352281,True,80,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6305597201399301,0.5527236381809095,0.6110547667342798,0.4714555765595463,0.5965973534971644,0.572478211022366,0.0566377280752761,30
122,3.0495235919952393,0.5099961855953508,0.12336888313293456,0.002037664097817984,True,,auto,4,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6316841579210395,0.5714642678660671,0.5973630831643002,0.45986137366099555,0.6017643352236927,0.572427443567219,0.05944046657245137,31
81,2.3926917552947997,0.41227303271694143,0.08590083122253418,0.001036103433598018,True,80,auto,2,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 750)])",0.6346826586706646,0.5909545227386307,0.5818965517241379,0.45419029615626966,0.6002520478890988,0.5723952154357603,0.061746019984729256,32
51,3.113626575469971,0.5018998964929726,0.12587194442749022,0.0029335238083265363,True,100,sqrt,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6331834082958521,0.5790854572713643,0.5916582150101419,0.4611216131064903,0.5968494013862634,0.5723796190140225,0.058465113442478935,33
60,2.890550708770752,0.4967596251586098,0.1205963134765625,0.0033427149772335923,True,20,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6305597201399301,0.5555972013993005,0.6006592292089249,0.47284183994959045,0.6020163831127914,0.5723348747621075,0.05523116384411388,34
45,1.450518798828125,0.08997620049368515,0.08058571815490723,0.0061137986043847195,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6281859070464769,0.5703398300849575,0.602687626774848,0.4715816005040958,0.5887838689350977,0.5723157666690952,0.053789213458940846,35
128,2.3333415031433105,0.43676962542620024,0.09597988128662109,0.0012067993574523682,True,80,sqrt,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6231884057971016,0.5462268865567217,0.6037018255578094,0.4771266540642723,0.6110901071203529,0.5722667758192516,0.05443922189991119,36
8,1.690108346939087,0.348693683659334,0.07750244140625,0.0014776489832998862,True,100,sqrt,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.6424287856071964,0.5614692653673163,0.5882352941176471,0.4646502835538753,0.6045368620037807,0.5722640981299632,0.05986143209128919,37
70,2.959788179397583,0.1026403138784156,0.11858677864074707,0.0009884208377834883,True,20,sqrt,6,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6246876561719141,0.5608445777111444,0.5966024340770791,0.47107750472589793,0.6076874606175172,0.5721799266607106,0.05470739502391132,38
125,2.113555383682251,0.09988900379910114,0.1063915729522705,0.01452241835380048,True,40,sqrt,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.6410544727636182,0.5702148925537232,0.5886156186612576,0.4541902961562697,0.606805293005671,0.5721761146281079,0.06346363566626048,39
146,3.49430193901062,0.5670581990392203,0.1491459846496582,0.003473050597759539,True,60,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6319340329835083,0.5700899550224888,0.596602434077079,0.4646502835538753,0.5973534971644613,0.5721260405602825,0.05721485533044532,40
126,3.5342945098876952,0.5998827098246198,0.15628890991210936,0.020016282863481945,True,40,auto,4,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6310594702648676,0.5685907046476761,0.5908975659229209,0.46452425960932575,0.6055450535601764,0.5721234108009934,0.057503028720802186,41
144,2.9840444564819335,0.5003421853592016,0.1240664005279541,0.0019266367334793695,True,20,auto,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6268115942028987,0.5573463268365817,0.6016734279918864,0.46918714555765595,0.6055450535601764,0.5721127096298398,0.05620541515666906,42
58,3.1861484050750732,0.5761529523568929,0.1389829158782959,0.0017521418628401275,True,120,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.624687656171914,0.5588455772113944,0.6059837728194726,0.4747321991178324,0.5962192816635161,0.5720936973968259,0.05320052549284757,43
143,3.592229890823364,0.596218828797112,0.15191264152526857,0.002727218439939824,True,120,auto,4,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6293103448275861,0.5722138930534731,0.5878549695740366,0.46439823566477634,0.6066792690611217,0.5720913424361987,0.057125565394404984,44
44,2.2977343559265138,0.4343049827599357,0.10089364051818847,0.017151939092824517,True,20,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.6343078460769616,0.5585957021489255,0.6009127789046652,0.46981726528040324,0.5962192816635161,0.5719705748148944,0.05643717253280028,45
127,2.434939813613892,0.45129637547125684,0.09920859336853027,0.0027500632860379516,True,100,auto,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.625312343828086,0.5529735132433784,0.6052231237322515,0.47611846250787654,0.6001260239445495,0.5719506934512284,0.05346460408976492,46
136,3.0916358470916747,0.5163138539675767,0.12510261535644532,0.0012465946959703152,True,40,sqrt,4,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6405547226386806,0.5702148925537233,0.5919117647058824,0.46263390044108377,0.594328922495274,0.5719288405669288,0.05926029728674969,47
