,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
63,1.5213799953460694,0.2647614491093283,0.0684992790222168,0.011938850084620534,True,80,sqrt,4,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 500)])",0.646551724137931,0.5832083958020989,0.5940669371196755,0.4636420919974795,0.6123503465658473,0.5799638991246064,0.062004847666243854,1
22,1.4516645908355712,0.3086930070142056,0.06451239585876464,0.013148442312852837,True,60,auto,6,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 500)])",0.6348075962018991,0.5605947026486756,0.5995182555780932,0.4709514807813485,0.6236925015752993,0.577912907357063,0.05922876822410312,2
4,3.311068820953369,0.35794076596240954,0.13341617584228516,0.024501512618443008,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6343078460769617,0.5650924537731135,0.6035750507099392,0.4720856962822937,0.6119722747321991,0.5774066643149014,0.05720394469711416,3
43,3.238161897659302,0.3721578541892316,0.1314836025238037,0.020740269842780483,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.6379310344827587,0.5645927036481759,0.6049695740365112,0.4698172652804033,0.6036546943919344,0.5761930543679566,0.058041682585050006,4
3,1.3955450057983398,0.19940521184695667,0.07919745445251465,0.01629452866293734,True,40,sqrt,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.6346826586706646,0.5632183908045977,0.5934330628803245,0.47725267800882165,0.6102079395085066,0.575758945974583,0.05446441376587528,5
125,2.2270599842071532,0.3081151145314299,0.09211859703063965,0.01435728781500916,True,40,sqrt,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.6389305347326336,0.5748375812093953,0.5915314401622719,0.4685570258349086,0.6039067422810335,0.5755526648440485,0.05748844661523906,6
25,2.4223552703857423,0.5351041615813944,0.08352551460266114,0.0020004833332327447,True,120,auto,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.6388055972013993,0.5772113943028486,0.5839249492900609,0.4627599243856333,0.613862633900441,0.5753128998160766,0.060437320547727796,7
111,3.203842353820801,0.65592515478882,0.11703767776489257,0.0008101348331661485,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.632808595702149,0.5540979510244878,0.6047160243407708,0.4714555765595463,0.6128544423440453,0.5751865179941998,0.05799310989597702,8
52,2.196166229248047,0.4997957061407202,0.07684445381164551,0.0009525190150539898,True,120,sqrt,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.6316841579210396,0.5722138930534733,0.5971095334685599,0.4589792060491493,0.6158790170132326,0.5751731615010909,0.06138640950203687,9
92,2.6601758003234863,0.574276187090032,0.09592180252075196,0.0006254701813525826,True,40,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.631184407796102,0.564967516241879,0.5943204868154157,0.47662255828607436,0.6083175803402646,0.5750825098959471,0.05370059176402523,10
