,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
121,1.1376155853271483,0.18000088998023409,0.04870219230651855,0.0007447203504048942,True,80,sqrt,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.6506746626686657,0.5968265867066467,0.579107505070994,0.4505356017643352,0.6151228733459356,0.5784534459113154,0.06820780894527487,1
83,3.3290256023406983,0.5195941579939242,0.1344674587249756,0.0020585716249031053,True,100,sqrt,2,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6453023488255872,0.5835832083958022,0.5908975659229209,0.4598613736609956,0.6063011972274732,0.5771891388065559,0.06242039874683298,2
34,1.0132360458374023,0.16943354335356484,0.04645352363586426,0.0007267323121247666,True,20,sqrt,4,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 500)])",0.6308095952023989,0.5809595202398801,0.5917849898580122,0.46817895400126025,0.61411468178954,0.5771695482182183,0.057182378728214356,3
91,0.9432064533233643,0.16084262045135303,0.04464459419250488,0.0004884533979148398,True,60,auto,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.6375562218890556,0.554472763618191,0.6120689655172413,0.4706994328922496,0.6057971014492753,0.5761188970732025,0.05921075348008848,4
1,0.6334254264831543,0.009932395521105551,0.04535665512084961,0.0004326868456362519,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6388055972013994,0.5705897051474262,0.6023073022312373,0.47334593572778827,0.5950850661625708,0.5760267212940844,0.05579960855202691,5
148,1.3300285816192627,0.22853821680482214,0.06316046714782715,0.0005120265415012066,True,60,sqrt,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.631184407796102,0.5529735132433784,0.5966024340770791,0.4831758034026465,0.6161310649023314,0.5760134446843075,0.05334197444114968,6
15,2.4979076862335203,0.411473357278386,0.10724787712097168,0.0013860546509870185,True,,auto,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6401799100449775,0.5765867066466768,0.5917849898580122,0.4709514807813485,0.6005040957781979,0.5760014366218426,0.056575989735058604,7
56,2.479713535308838,0.40100404380906685,0.10796732902526855,0.0005647971668964626,True,,auto,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6414292853573212,0.5727136431784108,0.5983772819472617,0.4596093257718967,0.6078134845620669,0.5759886041633916,0.06221160738769525,8
46,2.6610782146453857,0.4480475299966124,0.12888588905334472,0.007592142555837603,True,,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6326836581709145,0.5572213893053473,0.6057302231237323,0.4758664146187776,0.6050409577819785,0.57530852860015,0.05534849767961996,9
117,2.800062131881714,0.42399306879571513,0.11248645782470704,0.001487660181626092,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6400549725137431,0.5947026486756622,0.5773326572008113,0.46137366099558913,0.6028985507246376,0.5752724980220887,0.060522207288626235,10
