,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
114,1.1551621437072754,0.24774836776003092,0.06117682456970215,0.01352731727986956,True,,sqrt,2,4,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 500)])",0.5014792899408284,0.562,0.5,0.4764102564102564,0.556923076923077,0.5193625246548323,0.0339657597668725,1
69,1.7437721729278564,0.2802557799700269,0.09302344322204589,0.014569323793060552,True,20,sqrt,6,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 750)])",0.49852071005917165,0.592,0.4887179487179487,0.4753846153846154,0.5364102564102564,0.5182067061143985,0.04211336171288973,2
24,1.7137925148010253,0.27663767181041815,0.09188370704650879,0.015329945572731108,True,120,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.5113412228796844,0.572,0.5092307692307693,0.4733333333333334,0.5158974358974359,0.5163605522682446,0.031696471928631946,3
104,1.4602078914642334,0.3239173628574841,0.08441648483276368,0.019668213349564888,True,40,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5133136094674555,0.6010000000000001,0.4917948717948718,0.47230769230769226,0.5015384615384615,0.5159909270216962,0.0445786010549439,4
102,2.9327630043029784,0.5018646056393489,0.1292893886566162,0.0017999111202163982,True,,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.4837278106508875,0.545,0.5112820512820513,0.4825641025641025,0.5528205128205128,0.5150788954635108,0.02957776353737337,5
53,1.7150144100189209,0.28129817986602046,0.09466567039489746,0.01542506369835642,True,100,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.507396449704142,0.5760000000000001,0.504102564102564,0.46205128205128204,0.522051282051282,0.514320315581854,0.036738387397050085,6
43,2.182562780380249,0.27712066650219735,0.09954066276550293,0.015138723050605232,True,100,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.4995069033530572,0.596,0.48974358974358967,0.455897435897436,0.5302564102564102,0.5142808678500986,0.04724871995073749,7
42,2.2047407150268556,0.2664137051714652,0.10477156639099121,0.022562274964251047,True,100,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.5004930966469427,0.586,0.498974358974359,0.47128205128205125,0.5138461538461538,0.5141191321499013,0.038514885889439944,8
12,1.9083472728729247,0.2341941536840428,0.09195175170898437,0.01700471575106631,True,40,sqrt,2,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 750)])",0.5133136094674556,0.529,0.5082051282051282,0.45897435897435895,0.561025641025641,0.5141037475345167,0.03316091053479303,9
91,2.9046061992645265,0.3225789482652292,0.13009181022644042,0.016142600408880152,True,20,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.48570019723865876,0.593,0.5030769230769231,0.4774358974358975,0.5097435897435897,0.5137913214990137,0.041269905104818164,10
