,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,1.4868027210235595,0.22945728161138795,0.08109874725341797,0.005998758315379306,True,100,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5612244897959184,0.5182201764480245,0.5064569748114052,0.4752647894600878,0.5379746835443039,0.519828222811948,0.02901799660770994,1
108,2.1351338386535645,0.2671475578452494,0.08911948204040528,0.017058519142548707,True,120,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5427295918367347,0.5241017772663342,0.5072241401355325,0.4805605786618445,0.5402996641694653,0.5189831504139822,0.023061031731309824,2
110,2.1367136001586915,0.2592913830028454,0.09098777770996094,0.017326372248091085,True,60,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5498724489795919,0.5256361079145889,0.5099092187699783,0.466481529320589,0.537845517954017,0.517948964587753,0.028939966378328883,3
144,1.224834680557251,0.09302163549583785,0.0799492359161377,0.018602298061165794,True,120,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5540816326530611,0.531134126070835,0.5078634445723054,0.4667398605011625,0.529191423404805,0.5178020974404338,0.029427175435791455,4
53,2.1271152973175047,0.24794192089482692,0.08694210052490234,0.011893455835689237,True,20,auto,8,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 750)])",0.5485969387755102,0.5243574990410433,0.49852959979542255,0.47397313355722037,0.5381038491345906,0.5167122040607575,0.027165877742148084,5
29,3.4644891262054442,0.408572644284121,0.13658642768859863,0.0029645498641276383,True,120,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.542219387755102,0.5229510292801431,0.507096279248178,0.4686773443554637,0.539395505037458,0.516067909135269,0.026839559163622823,6
85,3.5196420192718505,0.4104149501488078,0.13771581649780273,0.0029210145810712293,True,20,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5431122448979592,0.5177087328986063,0.5010868175425137,0.47552312064066127,0.5427538103849135,0.5160369452729309,0.02574697617411559,7
131,1.7841729164123534,0.3674299641184665,0.0827183723449707,0.013387418195776626,True,,sqrt,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.5326530612244897,0.5307505434087713,0.5119549929676511,0.4693231723068974,0.5352622061482821,0.5159887952112182,0.024742769700849782,8
119,1.8039891242980957,0.3696471727264538,0.08302073478698731,0.014743486512478995,True,60,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.5428571428571428,0.5155350978135789,0.5088863316711418,0.4738439679669337,0.538362180315164,0.5158969441247921,0.02469522859274101,9
23,2.622589921951294,0.2678690431657915,0.09189677238464355,0.0020849768565992465,True,120,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.5427295918367347,0.5115714103055876,0.5081191663470145,0.4760397830018083,0.5402996641694653,0.5157519231321221,0.024426116908487124,10
67,3.479188108444214,0.3621123979690661,0.14895615577697754,0.022737839280568006,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.549234693877551,0.524485359928398,0.5014704002045773,0.47242314647377937,0.5309997416688194,0.515722668430625,0.026499831432838496,11
72,3.507268524169922,0.4162078216064629,0.14407997131347655,0.008354434765229485,True,40,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.5442602040816327,0.5143843498273879,0.5129778800664877,0.46854817876517696,0.5381038491345905,0.5156548923750551,0.02664598528037831,12
