,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,0.7590226173400879,0.026301092090240265,0.0457552433013916,0.0013690616097963224,True,100,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5487244897959184,0.5335634829305715,0.5170694284618336,0.4679023508137432,0.539912167398605,0.5214343838801343,0.02869851845810317,1
32,0.816954517364502,0.03705631327206767,0.044742488861083986,0.0025430849162442776,True,20,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5454081632653061,0.5243574990410433,0.5119549929676512,0.47371480237664687,0.540945492120899,0.5192761899543092,0.025720413491497243,2
65,1.4936550617218018,0.02397610852701387,0.08478288650512696,0.0014427503471854998,True,100,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.5526785714285715,0.5319012913949623,0.4967395473724588,0.4753939550503746,0.533324722293981,0.5180076175080697,0.02792123906350542,3
112,0.7129181861877442,0.0064451369471844044,0.041866397857666014,0.00016887439569453924,True,80,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5548469387755102,0.5252525252525253,0.5001917913310319,0.4725523120640661,0.5364246964608628,0.5178536527767992,0.028748158224521064,4
113,0.7800887107849122,0.008382003353020355,0.05055913925170898,0.012292287825154343,True,80,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5266581632653061,0.5197545070962792,0.5118271320802966,0.4969646086282614,0.5326788943425471,0.5175766610825381,0.012435497052553873,5
7,0.785745096206665,0.007836857578017492,0.045767354965209964,0.00012214176128458754,True,,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5538265306122448,0.5060733921493415,0.5137450453906149,0.47061482820976486,0.5431413071557738,0.517480220703548,0.029393801685958863,6
29,0.716986894607544,0.00833945310056308,0.042269325256347655,0.0009495507450482295,True,20,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5488520408163265,0.5237181946042706,0.5067126965861144,0.45963575303539134,0.5430121415654869,0.5163861653215179,0.03203410566259697,7
117,0.7470006465911865,0.007265467372031999,0.041675376892089847,0.00016006574673576798,True,80,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5336734693877552,0.5295997954225803,0.5010868175425137,0.47513562386980107,0.5401704985791785,0.5159332409603657,0.024387689193426303,8
144,2.174566650390625,0.02281466029658383,0.12368769645690918,0.0010350822759191644,True,60,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5443877551020408,0.524485359928398,0.503899757064314,0.47035649702919147,0.5352622061482821,0.5156783150544453,0.026374709079247372,9
1,0.7095252513885498,0.010446107247197352,0.043735504150390625,0.0008639535071019268,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5558673469387755,0.5272982994501982,0.49098580744150366,0.4679023508137432,0.5351330405579953,0.5154373690404432,0.03168798220780691,10
101,1.412673568725586,0.013180061619368395,0.07784862518310547,0.0010210274622862007,True,100,auto,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.554719387755102,0.5012146784298683,0.5114435494182329,0.4689356755360372,0.5377163523637303,0.5148059287005942,0.029725677552785115,11
138,2.2323208808898927,0.01622243169572645,0.11571941375732422,0.0019308758915037932,True,60,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5455357142857142,0.5128500191791331,0.499552486894259,0.47216481529320586,0.5437871351072074,0.5147780341519039,0.027709145703099864,12
