,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
103,0.6149289608001709,0.010150499475141987,0.044026422500610354,0.0005271796421567236,True,100,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.546045918367347,0.5362485615650173,0.5122107147423604,0.47552312064066127,0.5418496512529062,0.5223755933136585,0.026193363361030387,1
130,0.6114655017852784,0.007372300304754209,0.04400343894958496,0.0005321665346059204,True,40,auto,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.5482142857142858,0.5058176703746324,0.5088863316711418,0.48094807543270474,0.5502454146215449,0.5188223555628619,0.02665933870759386,2
107,0.6179028034210206,0.008917048816050403,0.04817075729370117,0.007201513503867065,True,100,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5479591836734694,0.5152793760388698,0.5219281421813068,0.47242314647377937,0.5337122190648411,0.5182604134864534,0.02547221667420253,3
111,0.618904972076416,0.01006202941464721,0.044462394714355466,0.0008814963480084281,True,100,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.535969387755102,0.5299833780846439,0.491752972765631,0.47965641952983723,0.5497287522603979,0.5174181820791224,0.026946829156925745,4
114,0.6209613800048828,0.008420395770363336,0.04408450126647949,0.0004637799290727256,True,80,sqrt,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.5389030612244898,0.5197545070962792,0.5241017772663342,0.4673856884525962,0.5369413588220098,0.5174172785723419,0.026061978956495757,5
101,0.6186102867126465,0.009852633037313794,0.04496774673461914,0.001199940349308369,True,100,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5448979591836735,0.5202659506456975,0.5113156885308785,0.4689356755360372,0.5414621544820459,0.5173754856756665,0.02730987110086551,6
1,0.6309540748596192,0.01586318664632349,0.04571003913879394,0.0012667293797567376,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.5375,0.5170694284618336,0.527937603886971,0.46803151640402996,0.5356497029191424,0.5172376503343953,0.02563328857307801,7
68,1.839974308013916,0.02787873826056794,0.1225675106048584,0.001361590871928849,True,,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.5466836734693877,0.5243574990410433,0.5096534969952692,0.46751485404288295,0.5350038749677086,0.5166426797032584,0.027428106622413625,8
146,0.6256856918334961,0.010337390486736644,0.04407215118408203,0.000416518117470337,True,80,sqrt,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5371173469387754,0.5269147167881346,0.5014704002045773,0.47190648411263236,0.5446912942392147,0.5164200484566669,0.026618523473002545,9
93,0.6127070426940918,0.006808909374705171,0.0441185474395752,0.0002223486402318429,True,100,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.5493622448979592,0.5100370796573328,0.5014704002045774,0.4817230689744252,0.5393955050374579,0.5163976597543505,0.024824069223026754,10
