,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27,2.263627767562866,0.4375270504513098,0.1053438663482666,0.022526813720803694,True,120,sqrt,8,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1250)])",0.37628560126582283,0.42464398734177217,0.5185404339250493,0.4979289940828402,0.42258382642998027,0.447996568609093,0.052541978268092544,1
20,1.4943571090698242,0.17490638726684687,0.08747396469116211,0.005918942948598468,True,60,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.37341772151898733,0.4442246835443038,0.5143984220907298,0.47958579881656804,0.4225838264299803,0.4468420904801139,0.04821298689656047,2
89,2.1920772075653074,0.25282545466949513,0.09325141906738281,0.013545122907429314,True,80,sqrt,8,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1000)])",0.37232990506329117,0.4440268987341772,0.5071005917159763,0.4839250493096647,0.42021696252465485,0.4455198814695529,0.04746868471363089,3
122,1.773922061920166,0.24228432631052638,0.10109119415283203,0.027000862779817295,True,40,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.38083465189873417,0.4440268987341772,0.5063116370808678,0.48984220907297826,0.40641025641025647,0.4454851306394027,0.04769920529892844,4
10,0.9527193546295166,0.07668824711259381,0.06484403610229492,0.004912672736991259,True,100,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.37984572784810133,0.4345332278481012,0.49092702169625246,0.49575936883629196,0.4215976331360947,0.44453259587296834,0.04378816229807594,5
118,2.1802842140197756,0.24143897755844743,0.10736722946166992,0.021485644364906707,True,,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.3707476265822786,0.4360166139240506,0.5181459566074951,0.48806706114398424,0.4091715976331361,0.44442977117818894,0.05306838516249634,6
144,2.182422924041748,0.2388803733978044,0.09228324890136719,0.014289782902966957,True,60,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.3741099683544304,0.4380933544303798,0.5125246548323471,0.4893491124260355,0.40700197238658775,0.4442158124859561,0.05106916187908844,7
103,2.1647027492523194,0.23993451326815554,0.09491915702819824,0.014417667683496144,True,80,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.3703520569620253,0.44106012658227844,0.5084812623274162,0.4856015779092702,0.41489151873767266,0.44407730850373256,0.04933246526110499,8
134,2.16888108253479,0.24487475503194614,0.0960479736328125,0.01535979357198773,True,60,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.37025316455696206,0.43433544303797467,0.5088757396449705,0.48540433925049314,0.42080867850098613,0.4439354729982773,0.04897549770362223,9
60,2.1476211547851562,0.33059545440874044,0.10236296653747559,0.0015806247906855616,True,,sqrt,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.3693631329113924,0.4341376582278481,0.5069033530571992,0.4881656804733728,0.41962524654832345,0.44363901424362717,0.04933324218779144,10
