,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
114,1.0114341735839845,0.018683514832044282,0.0046252250671386715,0.00011827220723440776,1.0,0.075,20,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
147,0.1126622200012207,0.0013698501212904863,0.004872560501098633,0.00023321700321720382,1.0,0.075,8,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
146,1.0044586181640625,0.006964962975034471,0.00469059944152832,0.00018365241854541493,1.0,0.075,20,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
143,1.0156448841094972,0.026410700229398107,0.00472102165222168,0.00012813516797289192,1.0,0.075,20,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
141,0.11762523651123047,0.001032163952981251,0.0047779083251953125,0.00017353937927993928,1.0,0.075,6,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
98,0.1292560577392578,0.003562468195025651,0.005485391616821289,0.00011174753832621145,1.0,0.075,12,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
138,1.0162707805633544,0.015983417429200977,0.004750394821166992,0.0002613432451522844,1.0,0.075,20,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
134,0.125313663482666,0.001028530726985801,0.005557918548583984,0.00026016248461085175,1.0,0.075,8,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
116,0.1262497901916504,0.0016622394237188866,0.0056210517883300785,0.0002160586786374052,1.0,0.075,6,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
130,0.11981511116027832,0.00108361489177129,0.00464482307434082,8.652136324863512e-05,1.0,0.075,12,2,100,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.658641975308642,0.6160493827160494,0.6145320197044335,0.5905172413793104,0.6883780332056193,0.633623730462811,0.03508693991652354,1
