,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
138,0.17982883453369142,0.006359854294785211,0.012382984161376953,2.2823520553158418e-05,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
139,0.17792372703552245,0.005621723202275477,0.012384510040283203,2.9284790149320945e-05,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
140,0.17802152633666993,0.005351655028528155,0.012731599807739257,0.0002920289273032164,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
141,0.17799530029296876,0.00515917065780022,0.012590456008911132,0.0002446738023923499,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
136,0.18577890396118163,0.0065691028352645895,0.013165903091430665,0.0005833824140934987,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
143,0.1774672508239746,0.004724250746031056,0.012549257278442383,0.00018844865109884774,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
144,0.17758307456970215,0.0050282137979519494,0.012494850158691406,0.00012544999313717745,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
142,0.179664945602417,0.006412602024436039,0.012349319458007813,0.0002051475930027066,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
145,0.17855138778686525,0.004664645756516755,0.01260838508605957,0.0002413083707673771,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
146,0.18644604682922364,0.005761275056761112,0.013441991806030274,0.00021992344901421414,0.8,0.03,8,2,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 1.0)])",0.6125760649087221,0.6160714285714286,0.6680672268907564,0.7100840336134453,0.754201680672269,0.6722000869313243,0.05455636647691504,1
