,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
66,0.4663055896759033,0.034841151916401254,0.006901454925537109,0.00013266518134601388,1.0,0.5,6,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4604938271604938,0.6839506172839506,0.6871921182266011,0.5320197044334976,0.5351213282247765,0.5797555190658639,0.09043617802482291,1
75,0.4623893737792969,0.042700766178324905,0.007110118865966797,0.00032104490119468055,1.0,0.5,8,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4604938271604938,0.6839506172839506,0.6871921182266011,0.5320197044334976,0.5351213282247765,0.5797555190658639,0.09043617802482291,1
99,0.4491750240325928,0.038860770698894626,0.007290458679199219,0.00037097289195063495,0.8,0.5,6,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4679012345679012,0.6296296296296297,0.7093596059113301,0.5517241379310344,0.5363984674329503,0.5790026150945691,0.0830166069227119,3
62,0.2900559425354004,0.027467436149952337,0.007839679718017578,0.00019627170026690474,1.0,0.5,12,4,200,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.45679012345679015,0.5876543209876544,0.6527093596059115,0.5572660098522166,0.6257982120051087,0.5760436051815362,0.06791459123484933,4
64,0.2572887420654297,0.02304011211059664,0.0070571422576904295,0.00020886814169820603,1.0,0.5,8,4,200,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.45679012345679015,0.5876543209876544,0.6527093596059115,0.5572660098522166,0.6257982120051087,0.5760436051815362,0.06791459123484933,4
15,0.2751476764678955,0.016478469560824303,0.007573843002319336,0.0010341841677516544,1.0,0.3,8,4,200,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4679012345679012,0.6012345679012345,0.6810344827586208,0.5677339901477833,0.5402298850574713,0.5716268320866023,0.07015208354334422,6
70,0.5490951538085938,0.040007734565562725,0.006893682479858399,0.00014152149300795917,1.0,0.3,12,4,400,0.0,1.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.48086419753086423,0.604320987654321,0.6810344827586207,0.5474137931034483,0.5338441890166028,0.5694955300127715,0.06821713098168258,7
91,0.5528939723968506,0.04234484727891525,0.007128095626831055,6.532522882092837e-05,1.0,0.3,12,4,400,0.0,1.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.48086419753086423,0.604320987654321,0.6810344827586207,0.5474137931034483,0.5338441890166028,0.5694955300127715,0.06821713098168258,7
60,5.290104722976684,0.3254957117556333,0.007864904403686524,0.00017678260314475493,0.8,0.3,20,4,400,0.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49320987654320986,0.6481481481481483,0.6422413793103448,0.5166256157635468,0.5402298850574713,0.5680909809645442,0.06471404155525809,9
25,0.2619518280029297,0.020632068392107537,0.00750880241394043,0.0008237850723999811,0.8,0.3,12,4,200,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4790123456790124,0.5962962962962962,0.6674876847290641,0.5603448275862069,0.5351213282247765,0.5676524965030711,0.06285902854383753,10
