,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.15943431854248047,0.0054547074974512395,0.013521623611450196,0.0005238965046358457,0.8,0.03,8,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
131,0.1318385124206543,0.005134340095164178,0.010571479797363281,0.0003410175538768918,0.8,0.03,8,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
102,0.1396925449371338,0.0027769489316227876,0.011706018447875976,0.0001849659634281673,0.8,0.03,6,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
101,0.14541234970092773,0.0029516089697936513,0.011810731887817384,0.0004091748073228249,0.8,0.03,8,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
132,0.14216165542602538,0.00328658314217277,0.011878252029418945,0.00039592475809353464,0.8,0.03,12,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
97,0.384047269821167,0.0038174381006091463,0.012091970443725586,0.00026575926007261163,0.8,0.03,20,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
96,0.1400825023651123,0.002895457397261458,0.011999368667602539,0.00039491298202283965,0.8,0.03,12,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
95,0.3436537742614746,0.028217098448267773,0.010682249069213867,0.0004998415027537283,0.8,0.03,20,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
94,0.1276467800140381,0.0031105886666404274,0.010488557815551757,0.00042273848668744314,0.8,0.03,8,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
93,0.12667632102966309,0.002458433115116645,0.010474634170532227,0.0003280973140266861,0.8,0.03,12,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
92,0.1396106719970703,0.002603476438197582,0.011987733840942382,0.0006365023507772218,0.8,0.03,6,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
88,0.13722949028015136,0.002254951029927874,0.011826372146606446,0.0007263177677110057,0.8,0.03,8,6,20,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('subsample', 1.0)])",0.5045045045045045,0.7182432432432434,0.5148648648648648,0.525,0.5747354497354499,0.5674696124696125,0.07914671490690285,1
