,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
144,0.8443451881408691,0.08894820565651934,0.012064361572265625,0.00020918801022635965,0.6,0.05,6,6,400,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5985221674876847,0.5338669950738916,0.7369093231162197,0.6137362403454357,0.06745815342597689,1
107,0.8325975418090821,0.10864841241989631,0.01182560920715332,0.0003547932309931813,0.6,0.05,8,6,400,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5985221674876847,0.5338669950738916,0.7369093231162197,0.6137362403454357,0.06745815342597689,1
120,0.5168316841125489,0.05239811093853467,0.010895633697509765,0.00026707178859862815,0.6,0.05,12,6,200,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5886699507389163,0.5338669950738916,0.7369093231162197,0.6117657969956821,0.06801536583001991,3
129,0.5441982746124268,0.06244494310680418,0.011923599243164062,0.00026659356988584574,0.6,0.05,6,6,200,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5886699507389163,0.5338669950738916,0.7369093231162197,0.6117657969956821,0.06801536583001991,3
101,2.5859947681427,0.27528569075969717,0.010980892181396484,0.0004004872771215856,0.6,0.05,20,6,200,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5886699507389163,0.5338669950738916,0.7369093231162197,0.6117657969956821,0.06801536583001991,3
141,0.5487685203552246,0.05620626864579312,0.011870670318603515,0.00022276275519969184,0.6,0.05,8,6,200,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5886699507389163,0.5338669950738916,0.7369093231162197,0.6117657969956821,0.06801536583001991,3
113,0.5035396575927734,0.04882488040383902,0.010862016677856445,0.0004124525818279772,0.6,0.05,8,6,200,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6166666666666667,0.5827160493827162,0.5886699507389163,0.5338669950738916,0.7369093231162197,0.6117657969956821,0.06801536583001991,3
119,0.7165308952331543,0.057571550479946366,0.010739803314208984,0.0003465555561812442,0.6,0.05,8,6,400,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6141975308641976,0.5740740740740741,0.6009852216748769,0.5326354679802956,0.7318007662835249,0.6107386121753937,0.06664462077226584,8
131,0.7244179725646973,0.055390386292015925,0.010736751556396484,0.0002475616374183744,0.6,0.05,12,6,400,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6141975308641976,0.5740740740740741,0.6009852216748769,0.5326354679802956,0.7318007662835249,0.6107386121753937,0.06664462077226584,8
117,4.451666927337646,0.15274607273890248,0.011023330688476562,0.0001293749284121833,0.6,0.05,20,6,400,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6141975308641976,0.5740740740740741,0.6009852216748769,0.5326354679802956,0.7318007662835249,0.6107386121753937,0.06664462077226584,8
