,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.06020817756652832,0.0005668327705108687,0.007666397094726563,0.00017610090126406788,0.6,0.1,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
113,0.060616683959960935,0.0011305697141694698,0.007766151428222656,0.0003115997698332582,0.6,0.1,12,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
112,0.061361837387084964,0.0012118491497334395,0.007732534408569336,0.0003264951970219241,0.6,0.1,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
111,0.06052908897399902,0.0013702093058192664,0.007650041580200195,0.0003163696716632712,0.6,0.1,12,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
110,0.2489549160003662,0.006619749390290024,0.007845926284790038,0.0001943960121488871,0.6,0.1,20,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
109,0.0593055248260498,0.0010765626938518704,0.007410764694213867,0.0001069481010535789,0.6,0.1,6,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
108,0.06064796447753906,0.0008049175353433463,0.007719659805297851,0.00018561682472723295,0.6,0.1,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
107,0.0655557632446289,0.0025057377271902282,0.008665227890014648,0.00016252983170760398,0.6,0.1,12,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
106,0.31277952194213865,0.007616553707127903,0.008688402175903321,0.00024511639610458184,0.6,0.1,20,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
105,0.07049193382263183,0.012242793818272306,0.008491086959838866,7.23455475840752e-05,0.6,0.1,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5714285714285714,0.6128378378378379,0.4554054054054055,0.5608108108108109,0.6197089947089947,0.564038324038324,0.058901204960204914,1
