,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.11962685585021973,0.0014088775198534827,0.007912826538085938,0.0003352961913568851,0.6,0.3,8,6,100,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5511083743842364,0.4519704433497536,0.5593869731800766,0.5459499483062701,0.04876478978767878,1
54,1.1712382316589356,0.1456104418722627,0.008219146728515625,0.00034549307291680426,0.6,0.3,20,6,100,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5511083743842364,0.4519704433497536,0.5593869731800766,0.5459499483062701,0.04876478978767878,1
141,0.13129148483276368,0.0028807463473172284,0.008736228942871094,0.00045233994310017365,0.6,0.3,6,6,100,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5511083743842364,0.4519704433497536,0.5593869731800766,0.5459499483062701,0.04876478978767878,1
140,0.1269763469696045,0.0024925063089683928,0.007991790771484375,0.000329421320963164,0.6,0.3,12,6,100,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5511083743842364,0.4519704433497536,0.5593869731800766,0.5459499483062701,0.04876478978767878,1
139,0.12355895042419433,0.0017004207646341824,0.007983016967773437,0.00023025505071920622,0.6,0.3,8,6,100,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5511083743842364,0.4519704433497536,0.5593869731800766,0.5459499483062701,0.04876478978767878,1
101,4.0039777755737305,0.05438611094442701,0.007962799072265625,0.00031057933132486355,0.6,0.3,20,6,400,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5363300492610837,0.4519704433497536,0.5721583652618135,0.5455485616979869,0.049922897830614786,6
43,5.646347713470459,1.1182648839581169,0.009402322769165038,0.0008882313573924521,0.8,0.3,20,6,400,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5363300492610837,0.4519704433497536,0.5721583652618135,0.5455485616979869,0.049922897830614786,6
57,0.3856387138366699,0.008140120990287885,0.007909154891967774,5.4560173558107975e-05,0.8,0.075,8,6,400,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5363300492610837,0.4519704433497536,0.5721583652618135,0.5455485616979869,0.049922897830614786,6
58,3.967765045166016,0.03560171789736803,0.00809011459350586,0.00042770022073629284,0.8,0.1,20,6,400,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5363300492610837,0.4519704433497536,0.5721583652618135,0.5455485616979869,0.049922897830614786,6
126,0.13482069969177246,0.0051062120923518976,0.008228445053100586,0.00024167472353689754,1.0,0.05,12,6,100,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5814814814814815,0.5858024691358025,0.5363300492610837,0.4519704433497536,0.5721583652618135,0.5455485616979869,0.049922897830614786,6
