,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
140,0.04978270530700683,0.0014357580247009358,0.0050089359283447266,0.00035783462905378705,1.0,0.03,8,6,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.4736842105263158,0.7350427350427351,0.5687134502923977,0.6011944503634254,0.08725338766249213,1
145,0.05322775840759277,0.0005461912407181359,0.005812549591064453,0.00014568694815043473,1.0,0.03,8,6,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.4736842105263158,0.7350427350427351,0.5687134502923977,0.6011944503634254,0.08725338766249213,1
96,0.05429296493530274,0.0023284425082384856,0.005650043487548828,0.0004286540887963749,1.0,0.03,8,6,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.4736842105263158,0.7350427350427351,0.5687134502923977,0.6011944503634254,0.08725338766249213,1
121,0.05148205757141113,0.001372648514347912,0.005241918563842774,0.0003792804660714303,0.8,0.03,12,6,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.45914127423822715,0.7336182336182336,0.5687134502923977,0.5980009628209075,0.09116547057230262,4
134,0.054325103759765625,0.0008577750465610682,0.005946826934814453,0.00031606015029367974,0.8,0.03,12,6,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.45914127423822715,0.7336182336182336,0.5687134502923977,0.5980009628209075,0.09116547057230262,4
122,0.050506877899169925,0.0008816051277343118,0.004897451400756836,0.0001473298422147932,0.6,0.03,12,4,20,5.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.6087257617728532,0.652354570637119,0.45360110803324105,0.6801994301994301,0.5701754385964913,0.5930112618478269,0.07915430034639323,6
126,0.04895262718200684,0.001276750269697413,0.004802846908569336,0.00011967212473514053,0.6,0.03,6,4,20,5.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.6087257617728532,0.652354570637119,0.45360110803324105,0.6801994301994301,0.5701754385964913,0.5930112618478269,0.07915430034639323,6
133,0.049755430221557616,0.0007886288740153404,0.005306148529052734,0.0004115564800189183,0.6,0.03,8,4,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6087257617728532,0.667590027700831,0.4148199445983379,0.6801994301994302,0.5701754385964913,0.5883021205735888,0.0954708906772415,8
138,0.051334714889526366,0.0014685551077540059,0.005121564865112305,4.13350987560348e-05,1.0,0.03,8,6,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.5789473684210527,0.6495844875346262,0.4709141274238227,0.6680911680911681,0.5687134502923977,0.5872501203526135,0.0698103937945278,9
147,0.05242733955383301,0.0019107645643357339,0.005088186264038086,0.0002818213539907945,0.8,0.03,6,2,20,5.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5934903047091412,0.628808864265928,0.4480609418282548,0.6823361823361823,0.5833333333333334,0.5872059252945679,0.07771278807612479,10
