,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.07470545768737794,0.0036710814828329378,0.007642221450805664,0.0003332622847095246,1.0,0.3,12,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
96,0.0660750389099121,0.003051634224981993,0.006480884552001953,2.9500924986744618e-05,1.0,0.3,8,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
97,0.0697199821472168,0.003513792520370877,0.006672573089599609,0.00012198193524860601,1.0,0.3,6,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
98,0.06735219955444335,0.0032520324869225316,0.006568384170532226,0.00012125767358506305,1.0,0.3,12,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
99,0.24116911888122558,0.002883520883629327,0.0066887855529785155,0.00010745326191199202,1.0,0.3,20,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
100,0.06921849250793458,0.003956755239469288,0.0067881584167480465,0.0003125123435638299,1.0,0.3,6,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
101,0.07090282440185547,0.00825158340700512,0.006636905670166016,0.00021354178816069066,1.0,0.3,8,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
93,0.24926276206970216,0.002666819718624167,0.006684160232543946,0.0001645172227565372,1.0,0.3,20,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
102,0.0701103687286377,0.003578600935047364,0.006748485565185547,0.00031460855674031874,1.0,0.3,12,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
104,0.06968708038330078,0.00351635990808781,0.006585073471069336,8.990706135315058e-05,1.0,0.3,6,4,20,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.6)])",0.5381773399014779,0.7653940886699506,0.42793367346938777,0.5325255102040816,0.5433673469387754,0.5614795918367346,0.11056674141441439,1
