,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
145,0.09316091537475586,0.0025187733080954703,0.00667867660522461,0.0007252250277898622,1.0,0.1,8,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6952067669172933,0.5069548872180452,0.6553333333333334,0.6027619047619047,0.7261904761904762,0.6372894736842106,0.07715262719842288,1
85,0.2727219104766846,0.002751562296312553,0.004968118667602539,0.00016697993058367673,1.0,0.1,20,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6952067669172933,0.5069548872180452,0.6553333333333334,0.6027619047619047,0.7261904761904762,0.6372894736842106,0.07715262719842288,1
43,0.6230692386627197,0.005426315035738651,0.004939889907836914,0.00013085532418451507,1.0,0.1,20,2,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6669172932330827,0.5525375939849624,0.6411428571428572,0.5882857142857143,0.7305714285714286,0.6358909774436091,0.061917121948533035,3
120,0.6141098022460938,0.0026185041558139683,0.005166149139404297,0.00033282699416718064,1.0,0.1,20,2,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6669172932330827,0.5525375939849624,0.6411428571428572,0.5882857142857143,0.7305714285714286,0.6358909774436091,0.061917121948533035,3
96,0.0678713321685791,0.003245225210782257,0.005074644088745117,0.00033649055961766666,1.0,0.5,6,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6733082706766919,0.5561090225563909,0.6205714285714286,0.608,0.7174285714285714,0.6350834586466166,0.055539046010428986,5
110,0.07707366943359376,0.0020942198583915775,0.005006074905395508,0.00015297609359591352,1.0,0.5,6,2,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6733082706766919,0.5561090225563909,0.6205714285714286,0.608,0.7174285714285714,0.6350834586466166,0.055539046010428986,5
134,1.2801854133605957,0.0704305973945384,0.006482648849487305,0.0023228762238298294,1.0,0.03,20,2,100,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6789473684210526,0.530827067669173,0.6394285714285715,0.5937142857142856,0.7288571428571429,0.6343548872180451,0.06828554149059274,7
122,1.1688543796539306,0.02097768115517698,0.005198764801025391,0.00015588122499148765,1.0,0.1,20,2,100,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6584586466165413,0.5556390977443609,0.6401904761904762,0.5892380952380952,0.7280952380952381,0.6343243107769423,0.059386857897701074,8
77,0.1317063808441162,0.0024921602399617863,0.004899454116821289,8.51297099430135e-05,1.0,0.075,8,2,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6672932330827068,0.5390037593984962,0.6424761904761904,0.5942857142857143,0.7283809523809524,0.6342879699248121,0.06432595888325401,9
140,0.14363389015197753,0.003495002291812108,0.005894660949707031,0.00012084976591234954,1.0,0.075,8,2,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6672932330827068,0.5390037593984962,0.6424761904761904,0.5942857142857143,0.7283809523809524,0.6342879699248121,0.06432595888325401,9
