,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
100,0.6371761798858643,0.02068706960994543,0.012620687484741211,0.0005445733582241961,0.8,0.05,6,2,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.75,0.5265977443609022,0.635047619047619,0.6048571428571429,0.7393333333333334,0.6511671679197996,0.08421781401065,1
110,0.4678164005279541,0.029991003722543864,0.012471246719360351,0.0009688626497477128,1.0,0.1,6,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7255639097744361,0.5386278195488723,0.6226666666666666,0.616857142857143,0.7393333333333334,0.6486097744360902,0.07473955838562646,2
120,2.1893240451812743,0.04238890489435805,0.011843729019165038,0.00032856642148432696,0.8,0.03,20,2,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.706390977443609,0.5405075187969924,0.6493333333333333,0.6084761904761905,0.7342857142857143,0.6477987468671679,0.0692431527802276,3
136,1.557758092880249,0.05470621287703872,0.013034582138061523,0.0006812011762826505,1.0,0.03,12,2,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7086466165413534,0.5380639097744361,0.6371428571428571,0.611904761904762,0.7379047619047618,0.646732581453634,0.07107676731599881,4
79,0.45581798553466796,0.015128447147929658,0.013042259216308593,0.0005077868741918808,0.8,0.05,8,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7268796992481202,0.5269736842105264,0.6373333333333333,0.6054285714285714,0.734,0.6461230576441103,0.07768380244607064,5
135,0.4558000087738037,0.013351058257457533,0.012689208984375,0.0004615833591554006,0.8,0.05,6,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7268796992481202,0.5269736842105264,0.6373333333333333,0.6054285714285714,0.734,0.6461230576441103,0.07768380244607064,5
126,1.3550414562225341,0.016495839435599922,0.011424732208251954,0.00020130133434553835,0.8,0.05,20,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7259398496240602,0.5209586466165413,0.6401904761904762,0.6086666666666667,0.7347619047619047,0.6461035087719298,0.07916043219334729,7
145,0.4323470115661621,0.012895558560791408,0.012797784805297852,0.0004066424790065515,0.8,0.05,6,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7259398496240602,0.5209586466165413,0.6401904761904762,0.6086666666666667,0.7347619047619047,0.6461035087719298,0.07916043219334729,7
97,0.41496915817260743,0.008325933912762571,0.012365007400512695,0.00089764472307828,0.8,0.05,12,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7259398496240602,0.5209586466165413,0.6401904761904762,0.6086666666666667,0.7347619047619047,0.6461035087719298,0.07916043219334729,7
131,0.44010205268859864,0.01485326107917625,0.01338787078857422,0.0004702544120413581,0.8,0.05,6,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7259398496240602,0.5209586466165413,0.6401904761904762,0.6086666666666667,0.7347619047619047,0.6461035087719298,0.07916043219334729,7
24,0.6040071010589599,0.02141489542863358,0.011676359176635741,0.0003980118770852179,0.8,0.05,8,2,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7304511278195489,0.530921052631579,0.6272380952380953,0.6048571428571429,0.7347619047619047,0.6456458646616542,0.07784336780916157,11
124,0.9260768890380859,0.03473494670890565,0.011900663375854492,0.000637351826110314,0.8,0.03,6,2,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6994360902255639,0.5382518796992481,0.6491428571428571,0.5984761904761905,0.7410476190476191,0.6452709273182957,0.07178419790087637,12
42,0.43080840110778806,0.006194587419676052,0.01190338134765625,0.0008201619164863756,0.8,0.03,8,6,100,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7156015037593986,0.519266917293233,0.6411428571428571,0.6166666666666667,0.7330476190476191,0.6451451127819549,0.07663330043811303,13
101,0.6126003265380859,0.02589303294666861,0.011999225616455078,0.0003919173191742646,0.8,0.05,8,2,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7338345864661655,0.5282894736842105,0.6266666666666667,0.6021904761904762,0.7315238095238096,0.6445010025062656,0.07895165833274338,14
128,0.39659876823425294,0.006266905862182251,0.011610794067382812,0.0006974574618242837,0.8,0.1,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7313909774436089,0.5452067669172933,0.6140952380952381,0.5936190476190476,0.7362857142857143,0.6441195488721805,0.07661122971266805,15
134,1.3466136932373047,0.09162829641309708,0.01339864730834961,0.00046562856730901096,1.0,0.05,8,2,100,5.0,0.5,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.7107142857142857,0.5427631578947368,0.6182857142857143,0.6058095238095239,0.7421904761904762,0.6439526315789474,0.07274721915639178,16
88,0.7315732479095459,0.021253174950538637,0.011804914474487305,0.00036608206945215567,0.8,0.05,8,6,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7163533834586466,0.5446428571428572,0.6255238095238096,0.5941904761904762,0.7370476190476191,0.6435516290726817,0.07291922440520217,17
103,0.2900439739227295,0.00988619317353684,0.01129612922668457,0.00041526690007614097,0.8,0.5,6,2,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7037593984962407,0.5863721804511278,0.6368571428571429,0.5723809523809523,0.7183809523809525,0.6435501253132833,0.05933628540032031,18
19,0.826543664932251,0.01866680738440022,0.011534738540649413,0.00019406765033736718,1.0,0.05,6,6,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7208646616541353,0.5196428571428571,0.636,0.6006666666666667,0.7402857142857143,0.6434919799498747,0.08072707268596811,19
130,0.8514930248260498,0.03384350065988075,0.011434984207153321,0.00010593325704191003,0.8,0.05,6,2,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6930451127819549,0.5589285714285714,0.6327619047619047,0.5932380952380953,0.7391428571428572,0.6434233082706768,0.06541580421452955,20
46,0.5975749015808105,0.012247044232645804,0.011475944519042968,0.00037037660112704306,0.8,0.075,8,2,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7426691729323308,0.5320488721804512,0.6148571428571429,0.5934285714285714,0.734,0.6434007518796993,0.08218715316383068,21
117,0.39458799362182617,0.01164945968415473,0.011492633819580078,0.0003058543558642563,0.8,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7238721804511278,0.5155075187969925,0.633904761904762,0.6079047619047618,0.7351428571428572,0.6432664160401003,0.08074526941202982,22
21,1.8716207504272462,0.1477425623769022,0.012090682983398438,0.0005769078753938424,1.0,0.05,20,2,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7345864661654136,0.5243421052631578,0.6127619047619047,0.6006666666666667,0.7414285714285714,0.6427571428571428,0.08350104078189373,23
67,0.266979455947876,0.003818043001547225,0.012780380249023438,0.0001554399470218129,0.8,0.05,8,6,50,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7319548872180451,0.5012218045112782,0.6458095238095238,0.6065714285714285,0.7280952380952381,0.6427305764411028,0.08554507527332124,24
22,0.7177396774291992,0.008585696837446928,0.01150655746459961,0.0003811553315157924,0.8,0.05,20,6,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7389097744360902,0.47772556390977444,0.6573333333333333,0.6082857142857143,0.730952380952381,0.6426413533834586,0.09556131886138472,25
28,1.372605323791504,0.03749048421619065,0.012158203125,9.096603358041156e-05,1.0,0.03,8,2,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7218045112781954,0.5243421052631579,0.6194285714285714,0.6105714285714287,0.7364761904761905,0.6425245614035088,0.07827354527248209,26
75,0.8193992137908935,0.04556417096824485,0.01190338134765625,0.0009212684012360662,1.0,0.03,12,2,50,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7104323308270678,0.5018796992481203,0.6424761904761905,0.6118095238095238,0.7459047619047621,0.642500501253133,0.08488029363069283,27
71,0.450970458984375,0.011600045958850455,0.011921453475952148,0.0004651701893793495,0.8,0.05,8,6,100,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7338345864661655,0.5408834586466166,0.6247619047619047,0.5896190476190477,0.7233333333333334,0.6424864661654135,0.07525023610715918,28
77,0.4049626350402832,0.013751376002870939,0.011503505706787109,0.0005037000295392066,0.8,0.03,8,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7246240601503758,0.4982142857142857,0.6415238095238096,0.6132380952380952,0.7317142857142857,0.6418629072681704,0.08529607254783465,29
137,0.5380510330200196,0.012948416973643436,0.012739324569702148,0.00023285944113978697,1.0,0.03,12,6,100,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7125939849624061,0.506672932330827,0.6371428571428571,0.6166666666666667,0.7357142857142858,0.6417581453634085,0.08092511408695623,30
133,0.3865757942199707,0.011677497326930544,0.011274480819702148,0.0003249996492373118,0.8,0.1,6,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7171052631578948,0.5452067669172932,0.6084761904761905,0.5959047619047619,0.7410476190476191,0.6415481203007519,0.07492363734810863,31
13,0.5444771766662597,0.022644809001194185,0.011775398254394531,0.0006265009633499531,1.0,0.05,12,4,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7298872180451127,0.5102443609022556,0.636,0.6023809523809524,0.7282857142857143,0.641359649122807,0.08262270233727646,32
17,0.5372774600982666,0.01779677362720183,0.011269044876098634,0.0003805598016317328,1.0,0.05,12,4,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7261278195488722,0.5087406015037594,0.6348571428571428,0.6033333333333334,0.7334285714285715,0.6412974937343359,0.08335275031707681,33
