,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17,0.5840192635854086,0.005327022162618356,0.02188253402709961,0.0005570176823380353,0.6,0.3,6,4,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6490514905149051,0.6368108218897315,0.6896516393442622,0.6585046505829663,0.02258406036374696,1
9,0.8390702406565348,0.024181687938755934,0.022731304168701172,0.0006820765950511226,1.0,0.05,8,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.6377710027100272,0.6325066612010658,0.6701161202185791,0.646797928043224,0.01662792606081382,2
11,0.5873268445332845,0.012959262902147006,0.023346662521362305,0.0012387284102581301,0.6,0.03,8,6,50,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6202913279132791,0.6356493817039011,0.6792349726775956,0.6450585607649253,0.024966481563318647,3
0,0.7382791042327881,0.011755230720711074,0.02458985646565755,0.00209986207032381,0.6,0.075,20,2,50,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.6294376693766937,0.6399535423925669,0.6645833333333334,0.6446581817008646,0.014728762043569656,4
1,1.4821678797403972,0.016612434147335504,0.026348272959391277,0.0014527598538541329,0.6,0.075,20,4,100,0.5,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6379065040650407,0.6156999385119901,0.6465505464480874,0.6333856630083727,0.012994062885319025,5
8,0.6114412943522135,0.0028337407312447995,0.024367014567057293,0.0005239738998437695,0.8,0.3,6,4,50,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.6198848238482385,0.6155632984901278,0.6608948087431694,0.6321143103605119,0.020427215681059943,6
4,3.986002047856649,0.002914395016261303,0.026914437611897785,0.0003886663734321744,0.8,0.075,6,4,400,0.5,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.6377710027100271,0.6180911388945822,0.6398565573770492,0.6319062329938862,0.0098057807201246,7
6,1.633115291595459,0.013255048690530125,0.025149106979370117,0.00037732515313372366,0.8,0.05,20,6,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6236111111111111,0.6093461774953883,0.6619193989071038,0.6316255625045345,0.022198490575629594,8
14,0.630988597869873,0.015108311416486575,0.024246056874593098,0.0007150866343906058,0.8,0.3,20,6,50,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.6228658536585365,0.6145384983261597,0.6547472677595628,0.6307172065814197,0.017328571625630174,9
15,2.641326824824015,0.02775873500025949,0.026116053263346355,0.0002263128910185785,0.6,0.075,12,2,200,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.6133130081300815,0.6238300198128032,0.6505806010928961,0.6292412096785935,0.015688193079154165,10
