,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
147,0.2670262813568115,0.009373269229707297,0.010329723358154297,0.0006258517946442682,0.8,0.05,12,4,50,0.5,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5329970575872215,0.5622110130306852,0.5927215189873418,0.5862179487179487,0.6639957264957265,0.5876286529637847,0.04356724669701619,1
138,0.7988629341125488,0.03328730804629538,0.00932483673095703,0.0005776865030657646,0.8,0.1,20,4,50,0.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5094577553593946,0.5508617065994116,0.5560126582278481,0.5892094017094017,0.7104700854700854,0.5832023214732283,0.06849324485648908,2
148,0.7628185272216796,0.0075634694609726435,0.008825540542602539,0.00033336156015921617,0.8,0.05,20,4,50,0.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5373055905842791,0.5620008406893653,0.5765822784810126,0.5741452991452991,0.6622863247863248,0.5824640667372561,0.04226918924261135,3
124,0.6438398361206055,0.008129921981651654,0.008603429794311524,0.0005391019477409615,0.8,0.1,20,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4919083648591845,0.552017654476671,0.5544303797468355,0.603525641025641,0.7006410256410256,0.5805046131498715,0.0697185671165026,4
72,0.17616820335388184,0.00564291270894768,0.008540487289428711,0.00027316771010319385,0.8,0.03,6,4,50,0.5,0.5,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.5300546448087432,0.5393022278268179,0.5901898734177214,0.5607905982905982,0.6747863247863248,0.579024733826041,0.0521600871266368,5
143,0.16687250137329102,0.0021300794770267007,0.008359003067016601,0.00024906229545490613,0.8,0.1,6,4,50,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5113493064312736,0.5474989491382933,0.5527426160337553,0.5823717948717948,0.6989316239316239,0.5785788580813482,0.06426890286200325,6
135,0.8026793479919434,0.06240602442757504,0.009396553039550781,0.0008902327284973194,0.8,0.05,20,4,50,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5021017234131988,0.537410676754939,0.5604430379746835,0.5790598290598291,0.7133547008547008,0.5784739936114703,0.0721625711810216,7
91,0.14132318496704102,0.005079812054631705,0.008709478378295898,0.0004925616919495478,0.8,0.1,6,4,50,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.49001681378730555,0.5587431693989071,0.5563291139240506,0.5943376068376068,0.6895299145299145,0.577791323695557,0.06524893161958088,8
52,0.14243826866149903,0.006007996229111871,0.00841989517211914,0.000295138188619462,0.8,0.1,8,4,50,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.4893862967633459,0.5543295502311896,0.5552742616033756,0.6022435897435898,0.6854700854700855,0.5773407567623174,0.0649069113201579,9
70,0.16819005012512206,0.002015651585091769,0.0083251953125,0.00027925289830231926,1.0,0.03,6,4,50,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5074611181168558,0.5400378310214375,0.5475738396624472,0.6009615384615385,0.6891025641025641,0.5770273782729687,0.06357498469890997,10
