,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
145,2.6023880004882813,0.034562344770681534,0.017240619659423827,0.0010180697405133602,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
142,2.601444673538208,0.03414712771106647,0.016694974899291993,0.0004892037708930194,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
148,2.583344316482544,0.030359030435750636,0.01655445098876953,0.0002769035953570818,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
117,4.240106010437012,0.06800624387314654,0.018821096420288085,0.0009726126497474174,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
106,4.195100212097168,0.0641810456299013,0.017926979064941406,0.00011434535168908067,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
116,4.2209264755249025,0.03702269097093718,0.018909740447998046,0.0010408230549116577,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
119,4.211424446105957,0.055693296228187604,0.019147682189941406,0.0008068542433666963,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
120,4.195477485656738,0.04149594731329551,0.01849026679992676,0.0007954266750172992,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
121,4.192499828338623,0.06072090183866066,0.01838688850402832,0.00024097976222734656,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
124,4.203902292251587,0.05799253092516542,0.01893315315246582,0.0008094897845836084,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
125,4.201147603988647,0.0667902385059561,0.019408369064331056,0.0013781815247050487,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
126,4.190549850463867,0.046167647655308716,0.01827974319458008,0.0008763747879612242,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
128,4.209004211425781,0.054460348330779555,0.018144655227661132,0.0006522945037462081,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
129,4.1938549995422365,0.05970523690736399,0.01830883026123047,0.0006825848454742108,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
130,4.207826280593872,0.06094501719906699,0.01893296241760254,0.0010212633784231848,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
131,4.203940105438233,0.05553909310943302,0.018455028533935547,0.0006290854636151787,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
132,4.224463605880738,0.05530276556427049,0.018661022186279297,0.0006759279660554545,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
134,4.225845527648926,0.05594666335836581,0.01900005340576172,0.000844690949373709,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
135,4.216613149642944,0.04687011553889311,0.019029903411865234,0.0017979709891812743,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
89,4.193836307525634,0.05800417287013259,0.018162059783935546,0.00035903455014326644,1.0,0.075,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7476372924648786,0.8021711366538952,0.8237547892720305,0.80727969348659,0.7554278416347381,0.7872541507024264,0.030127213130827515,4
92,4.134808540344238,0.03654294049284333,0.017799186706542968,0.00040827774872872867,0.6,0.03,20,2,200,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 1.0)])",0.7440613026819922,0.8100893997445721,0.8321839080459771,0.7980842911877395,0.7491698595146871,0.7867177522349936,0.03456015154917091,21
66,7.1517664909362795,0.07241641963178916,0.02146291732788086,0.001384164993962126,0.6,0.03,20,2,400,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 1.0)])",0.7408684546615582,0.810344827586207,0.830779054916986,0.7955300127713921,0.7558109833971902,0.7866666666666667,0.033569826984188714,22
109,5.466849851608276,0.07908830826379737,0.019486141204833985,0.0006622294539100835,1.0,0.03,12,2,400,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.7365261813537675,0.7993614303959131,0.834227330779055,0.8029374201787994,0.7567049808429118,0.7859514687100894,0.034920265064957295,23
