,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,1.0387348175048827,0.006984665414516539,0.005078458786010742,0.00023544095315577114,0.6,0.075,20,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7456565656565657,0.7414141414141415,0.7193384223918576,0.7358269720101781,0.7067175572519084,0.7297907317449303,0.014593743087963941,1
62,0.12029838562011719,0.001313914081963865,0.0049893856048583984,0.000125334358974512,0.6,0.075,12,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.742929292929293,0.7433333333333333,0.721882951653944,0.7341984732824428,0.7059033078880407,0.7296494718174107,0.014202072143806727,2
138,1.0134590148925782,0.021677697198937557,0.005377197265625,0.0005115297056737408,0.6,0.075,20,6,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.742929292929293,0.7433333333333333,0.721882951653944,0.7341984732824428,0.7059033078880407,0.7296494718174107,0.014202072143806727,2
78,0.0815056324005127,0.0021846092130138207,0.0056952953338623045,0.00020785311488653432,0.6,0.1,8,6,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7492424242424243,0.7271717171717171,0.7174045801526717,0.7361323155216285,0.7178117048346055,0.7295525483846095,0.01201726627455407,4
130,0.0807795524597168,0.0013825234209789345,0.005524206161499024,9.846951709735316e-05,0.6,0.075,8,6,50,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7490404040404041,0.7306060606060607,0.7189312977099237,0.7367430025445293,0.710381679389313,0.729140488858046,0.013506096814031185,5
136,0.11994009017944336,0.0019248057148803567,0.005002355575561524,0.00019124211571247278,0.6,0.075,12,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7417171717171717,0.7431313131313131,0.719440203562341,0.7354198473282442,0.7054961832061069,0.7290409437890354,0.014466828518084299,6
132,0.07888679504394532,0.0007271329428863694,0.004824018478393555,0.00022651454460982114,0.6,0.075,12,6,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7487878787878788,0.7301010101010101,0.7160814249363868,0.7352162849872774,0.7093638676844783,0.7279100932994063,0.013985294849349777,7
99,0.0769284725189209,0.0008307547454376245,0.0053102970123291016,0.00027959898847013825,0.6,0.075,12,6,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7487878787878788,0.7301010101010101,0.7160814249363868,0.7352162849872774,0.7093638676844783,0.7279100932994063,0.013985294849349777,7
137,0.1272042751312256,0.0011618506073262707,0.005590963363647461,0.0002964349538729897,0.6,0.03,12,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7395959595959595,0.7388888888888889,0.7137404580152671,0.732264631043257,0.7107888040712469,0.7270557483229239,0.012380008116998853,9
70,0.23653125762939453,0.004848391597648348,0.004733133316040039,0.00014805078873137583,0.6,0.05,20,6,20,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7285858585858586,0.7250000000000001,0.7122137404580153,0.7378625954198472,0.7298727735368956,0.7267069936001234,0.008378161636003495,10
120,0.2469428539276123,0.00750843214827224,0.004822254180908203,0.00012057626883313717,0.6,0.1,20,6,20,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7295959595959597,0.7383838383838384,0.7014758269720102,0.735470737913486,0.7279898218829517,0.7265832369496492,0.013112428320446387,11
