,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,2.637932825088501,0.020309734674072207,0.015999603271484374,0.000483893666813859,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
119,2.6223416328430176,0.034415722286738365,0.01569056510925293,0.00016003361176016107,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
118,2.6282844066619875,0.02294243556446741,0.015704870223999023,0.0005771743210245122,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
116,2.6269857406616213,0.03239968959815925,0.016013908386230468,0.00025530292505922286,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
114,2.6332942962646486,0.028878759991863092,0.016252517700195312,0.00030430359929801867,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
113,2.629966163635254,0.03270995460370788,0.01624917984008789,0.0009054520537254187,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
112,2.6220947265625,0.015144574216054904,0.01601238250732422,0.0007053919530564234,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
111,2.628290367126465,0.030357694573238506,0.015883684158325195,0.0002021515688251971,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
109,2.6341292381286623,0.024743562686674925,0.017021751403808592,0.001011433082431937,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
107,2.6268590927124023,0.0300617033241988,0.01570239067077637,9.728139499538725e-05,1.0,0.075,12,2,200,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('subsample', 0.6)])",0.7432950191570881,0.8060025542784164,0.8399744572158365,0.8020434227330779,0.7542784163473819,0.7891187739463602,0.03564288463628737,1
