,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
106,0.8443528175354004,0.012262795931251659,0.013088464736938477,0.00034938015097278846,0.6,0.05,12,6,200,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7814056447149973,0.7954067515218595,0.8055893746541228,0.7128897672375933,0.7119286510590859,0.7614440378375319,0.04076771554525838,1
98,0.3294492721557617,0.0069782018146273715,0.011499881744384766,0.00043254431911659213,0.6,0.1,20,6,20,0.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7743220807969009,0.7908688433868291,0.7835639180962922,0.7301273605621431,0.7267558528428094,0.761127611136995,0.027219317034981153,2
80,0.851291275024414,0.019567246614395142,0.014541816711425782,0.00035259786133488684,0.6,0.075,8,4,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7835085777531821,0.8092418372993911,0.8074709463198672,0.7038866930171278,0.7007803790412487,0.7609776866861634,0.04874790228075778,3
33,0.2274916172027588,0.005241960590503711,0.01183786392211914,0.0002723737340334108,0.6,0.05,12,6,50,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7659103486441616,0.7906474820143884,0.7992805755395683,0.7401185770750989,0.7088071348940914,0.7609528236334618,0.033252383495098986,4
88,0.12095890045166016,0.0005902334683994912,0.011002302169799805,0.00026730284934130987,0.6,0.1,12,6,20,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7625345877144438,0.7992805755395683,0.7852794687327062,0.7394598155467721,0.7181716833890748,0.760945226184513,0.029514333040700055,5
139,3.3399940967559814,0.03859575533737751,0.013551807403564453,0.00045010757063988457,0.6,0.03,20,6,200,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7685666851134477,0.7959601549529607,0.8045932484781406,0.7239789196310935,0.7094760312151617,0.7605150078781608,0.03795771893844202,6
148,1.2525309085845948,0.04312357078120434,0.013712787628173828,0.0008750262190318371,0.8,0.03,8,4,200,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7764250138350859,0.7989485334809077,0.8020475926950748,0.7128897672375933,0.7101449275362319,0.7600911669569788,0.04064389281422863,7
87,0.2636703968048096,0.01037923101509164,0.013201236724853516,0.0007628258680192035,0.6,0.075,8,4,50,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.763918096292197,0.7916436081903708,0.8033757609297179,0.7231005709266579,0.7175027870680044,0.7599081646813897,0.03483005845068286,8
142,0.14404220581054689,0.0033390186526715006,0.01313319206237793,0.0006435525896493778,0.6,0.1,8,6,20,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7574432761483122,0.8010514665190924,0.782180409518539,0.7429732103645147,0.7158305462653289,0.7598957817631574,0.029747363607344816,9
138,0.7135237693786621,0.018873336824125262,0.012853431701660156,0.00032971382430749133,0.6,0.05,6,6,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7729939125622578,0.7971776425013835,0.8100166021029331,0.7192577953447519,0.7000000000000001,0.7598891905022652,0.04315679598395966,10
97,0.40243258476257326,0.009877664298314486,0.01274728775024414,0.00025835295098905806,0.6,0.075,20,4,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7599335915882677,0.796956281128943,0.7905368013281683,0.735122968818621,0.7162764771460424,0.7597652240020085,0.031076051527272025,11
118,0.37336244583129885,0.007328077524783389,0.011978721618652344,0.00034313440454575154,0.8,0.05,8,6,50,1.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.7666851134477034,0.7970669618151633,0.8010514665190925,0.7276021080368906,0.7054626532887402,0.759573660621518,0.037754231728411206,12
126,0.7991550922393799,0.016041442767152393,0.012184333801269532,0.0005569774066762255,0.8,0.05,6,6,200,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7737686773657997,0.800830105146652,0.8104593248478141,0.7202459376372421,0.6900780379041249,0.7590764165803267,0.04662192328250934,13
117,0.14062108993530273,0.002108355209528457,0.012438583374023437,0.00036055414805063514,0.6,0.1,6,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7548422800221362,0.8007747648035418,0.7846707249584948,0.7361660079051383,0.7177814938684504,0.7588470543115523,0.03046848604866011,14
77,1.066127634048462,0.018374654868092956,0.011572933197021485,0.00046555298457505933,1.0,0.05,8,4,200,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7707802988378528,0.8014941892639733,0.8094631986718318,0.7086078173034694,0.7035674470457078,0.7587825902245671,0.04495101700963598,15
149,1.318488359451294,0.02161719346074773,0.011782646179199219,0.0004477838598970668,0.6,0.05,20,6,100,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.769120088544549,0.8022689540675153,0.7982844493635861,0.7224418093983311,0.7016722408026755,0.7587575084353314,0.04034988427221599,16
96,0.21124567985534667,0.0016357880510187467,0.012762498855590821,0.0005852005544332666,0.6,0.075,8,6,20,1.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.76956281128943,0.7912008854454897,0.7908135030437189,0.7311703996486605,0.7104793756967671,0.7586453950248133,0.0325228470364173,17
56,2.277836561203003,0.031083466326649916,0.013717126846313477,0.0005576103920528259,0.8,0.03,8,4,400,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7757609297177642,0.8039291643608191,0.803043718871057,0.7021299956082565,0.7079152731326643,0.7585558163381123,0.0449049395282029,18
53,0.3155075550079346,0.0034334210553202222,0.012903404235839844,0.00029715083802627477,1.0,0.05,8,6,50,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7638074156059768,0.7923076923076923,0.796513558384062,0.7368247694334652,0.7031215161649945,0.7585149903792382,0.0350791969948678,19
24,0.8652148246765137,0.010647330621902333,0.01362624168395996,0.0006597118959713084,0.6,0.075,20,6,50,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7734366353071389,0.7836745987825124,0.7962921970116215,0.7284804567413263,0.7105908584169454,0.758494949251909,0.03311063983150561,20
81,0.8820554256439209,0.020136382620831658,0.015032100677490234,0.0014195314812977613,0.6,0.03,12,4,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7734366353071389,0.7966242390702822,0.7999446596568899,0.719806763285024,0.7022296544035675,0.7584083903445805,0.040143983091965894,21
134,0.9500629901885986,0.07031273874882561,0.013554811477661133,0.0005394192400485799,0.6,0.1,20,4,50,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7665744327614832,0.793082457111234,0.8020475926950748,0.7257356170399648,0.7041248606465997,0.7583129920508712,0.037914433516523856,22
143,1.6623013019561768,0.11205618530961778,0.012845945358276368,0.0008834470190869708,0.6,0.03,20,6,100,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7653569452130603,0.7966242390702822,0.7919756502490316,0.7302371541501975,0.7072463768115942,0.7582880730988331,0.0347752562674958,23
130,0.2588479995727539,0.0030230724215565556,0.011733341217041015,0.000554961050837201,0.8,0.05,8,6,50,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7624792473713338,0.7893193137797455,0.7941892639734366,0.7407773386034257,0.703901895206243,0.7581334117868369,0.03326788816237022,24
141,0.247617769241333,0.008597601686022853,0.011294078826904298,0.0002625198988141282,0.6,0.1,8,6,50,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7805201992252353,0.7862202545655784,0.7914222468179303,0.7214536671058409,0.7109253065774805,0.758108334858413,0.03456064597161385,25
71,0.6208638668060302,0.006594599848717254,0.011723041534423828,0.0002428438533898163,0.6,0.03,12,4,100,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.764803541781959,0.799612617598229,0.7924183729939126,0.7258454106280193,0.7076923076923076,0.7580744501388855,0.036131084491317536,26
13,0.32919750213623045,0.0040809906303658355,0.011694622039794923,0.00040351997343003956,0.6,0.1,12,6,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.7727725511898174,0.7961815163254012,0.7972883231876038,0.715469916556873,0.7081382385730212,0.7579701091665434,0.038767583312419515,27
129,0.25016260147094727,0.015804926964530036,0.01173853874206543,0.0004855351602406767,0.8,0.1,8,6,50,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7638074156059768,0.7936358605423353,0.8022689540675153,0.7265590689503733,0.7031772575250838,0.7578897113382569,0.03809825546304951,28
111,0.9586972236633301,0.02705795590026049,0.012584543228149414,0.0006394053385785427,0.6,0.05,12,4,200,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7862755949086885,0.7958494742667405,0.7942999446596568,0.705862977602108,0.7068004459308806,0.7578176874736149,0.042164618352622675,29
102,0.3150464057922363,0.0063117577531073546,0.011463689804077148,0.00030340220991581176,0.6,0.075,20,4,20,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7511344770337577,0.7937465412285556,0.7728278915329275,0.7381971892841458,0.7322185061315496,0.7576249210421871,0.022807675462137807,30
124,0.24495139122009277,0.004495254247971252,0.011954784393310547,0.0007891005521022076,0.8,0.075,8,6,50,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7657996679579412,0.7924183729939124,0.7991698948533481,0.728151075977163,0.7014492753623189,0.7573976574289366,0.037490126971087466,31
114,1.0119336128234864,0.019452573583850396,0.012750911712646484,0.0008080491881205814,0.6,0.03,8,6,200,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7766463752075263,0.7989485334809076,0.7980630879911456,0.7112428634167764,0.7018952062430324,0.7573592132678777,0.0423354352470762,32
52,0.5230343818664551,0.012316377092511467,0.013247299194335937,0.000314848083142351,0.8,0.1,12,4,50,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.7572772551189817,0.8076923076923077,0.7951853901494189,0.7212889767237592,0.70479375696767,0.7572475373304275,0.04007087114544199,33
44,0.3087510585784912,0.010037466858245652,0.012125778198242187,0.00021499943950952635,0.6,0.1,8,2,50,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7683453237410073,0.7875484228002214,0.8097952407304926,0.7215634606938955,0.6987736900780378,0.757205227608731,0.04121917234352133,34
119,0.7046753883361816,0.01624269129057297,0.01340174674987793,0.00034933237960173887,0.6,0.075,6,6,200,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.770448256779192,0.8059214167127835,0.8061427780852242,0.7044356609574001,0.6989966555183946,0.7571889536105989,0.04715165416869459,35
47,0.33845181465148927,0.007911558582514747,0.011651563644409179,0.0004444224996976799,0.8,0.05,20,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7616491422246817,0.776923076923077,0.7873270614277809,0.7443456302151955,0.7145484949832775,0.7569586811548026,0.02569252416152644,36
144,0.6427178859710694,0.016891085152919542,0.011759424209594726,0.00022288598070370168,0.6,0.03,8,6,200,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7665744327614832,0.7916436081903707,0.7979524073049253,0.726504172156346,0.7018952062430324,0.7569139653312316,0.0372436459446901,37
147,0.6685273170471191,0.03498838050307257,0.01208028793334961,0.0008527146870986539,0.6,0.075,8,6,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.771776425013835,0.8047039291643607,0.8066961815163254,0.7041062801932366,0.6972129319955407,0.7568991495766597,0.04761492684597592,38
