,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.42174105644226073,0.005237982791096513,0.010957098007202149,0.00021238000496391293,0.6,0.03,12,6,100,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7790441176470588,0.7248933901918977,0.7847547974413647,0.722228144989339,0.7448827292110873,0.7511606358961496,0.02635346498578836,1
129,0.42871789932250975,0.004065705063777408,0.011123895645141602,0.00013222248160656212,0.6,0.03,8,6,100,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7761029411764706,0.7244669509594882,0.7830490405117271,0.719776119402985,0.7436034115138592,0.749399692712906,0.025992832352485937,2
44,0.14440054893493653,0.007418545268107691,0.01219034194946289,0.0004707399362841993,0.6,0.03,8,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7680672268907562,0.7167377398720683,0.7811833688699359,0.7326226012793177,0.7452025586353944,0.7487626991094944,0.023334695167903593,3
130,0.4190065860748291,0.007286280994444767,0.01106882095336914,0.00036467884244968,0.6,0.03,6,6,100,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.769485294117647,0.7264925373134329,0.7808102345415778,0.722547974413646,0.7429637526652452,0.7484599586103098,0.02312060504942927,4
139,0.4503770351409912,0.014129433366979928,0.011256980895996093,0.0004330129169635,0.6,0.03,12,6,100,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7789390756302522,0.7278784648187635,0.7779317697228144,0.7156183368869936,0.7408315565031982,0.7482398407124043,0.025914028972501515,5
118,0.24933505058288574,0.0066280396670738715,0.010784196853637695,0.00013583779229882535,0.6,0.03,12,6,50,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7859768907563025,0.7176439232409382,0.7696695095948828,0.7297974413646056,0.7380597014925373,0.7482294932898532,0.025546751704445342,6
142,0.42403559684753417,0.00516541606392348,0.011183404922485351,0.0001996252209992396,0.6,0.03,8,6,100,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7795693277310923,0.7245735607675906,0.7792110874200426,0.7167910447761193,0.7408315565031982,0.7481953154396086,0.02662610453736224,7
72,0.667320442199707,0.004534595698852409,0.011026430130004882,0.0002266529153397511,0.6,0.03,20,6,50,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7783088235294117,0.7279850746268657,0.7707356076759062,0.727771855010661,0.7360341151385928,0.7481670951962875,0.021855665279395826,8
67,0.2448493480682373,0.011574676354076276,0.01083369255065918,0.0002889334707299444,0.8,0.075,12,6,50,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7722163865546219,0.7334221748400853,0.7695095948827292,0.7240405117270788,0.7409914712153518,0.7480360278439735,0.01941535011362311,9
115,0.15053086280822753,0.001989172379182869,0.012520980834960938,0.0002408049082896708,0.6,0.075,12,6,20,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.775577731092437,0.7214818763326226,0.7788379530916845,0.7228678038379531,0.7402452025586355,0.7478021133826666,0.02492504707176144,10
