,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.541707181930542,0.011193169763091614,0.009509134292602538,0.0004319209667105579,0.8,0.075,12,6,200,0.5,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.6309905921416713,0.6266187050359713,0.6410071942446043,0.4800175669740887,0.6424191750278707,0.6042106466848413,0.06238122338690988,1
128,0.39897956848144533,0.007833867819624472,0.008934259414672852,0.00010925410096243939,0.6,0.05,8,4,200,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6210293303818484,0.6094631986718317,0.653458771444383,0.4735946420729029,0.6491638795986623,0.6013419644339256,0.06599397296255764,2
111,0.5788623809814453,0.014409474993910317,0.009289169311523437,0.00015711249630385562,0.8,0.03,12,4,200,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.6219147758716104,0.6200885445489762,0.6293303818483675,0.48226833552920506,0.6453734671125976,0.5997951009821514,0.05943629319164243,3
129,0.6928972721099853,0.007019391685160342,0.010616731643676759,0.0010490744477290785,1.0,0.03,12,6,200,0.5,1.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.6179856115107913,0.614775871610404,0.6319867183176536,0.49028326745718054,0.6437569676700111,0.5997576873132082,0.055708345504696596,4
47,2.38655686378479,0.10658048905269218,0.009264230728149414,0.00017753096310218903,0.8,0.03,20,6,200,0.5,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.618262313226342,0.6079136690647483,0.6408411732152739,0.4867698726394379,0.6439799331103679,0.599553392251234,0.057997307934280276,5
143,0.22172951698303223,0.003481897279792313,0.008590364456176757,0.00028010693190699815,1.0,0.05,8,4,50,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6178749308245712,0.603929164360819,0.6431654676258992,0.48858146684233633,0.6418060200668896,0.599071409944103,0.05719393416665636,6
77,0.49531898498535154,0.004055669012927884,0.009277629852294921,0.00025499878092441464,0.8,0.05,6,6,200,0.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.6210846707249584,0.6110127282789153,0.6377421140011068,0.4846837944664032,0.6403010033444816,0.5989648621631731,0.05814972273455857,7
130,0.5837687492370606,0.012890055757076515,0.00983891487121582,0.00032126974218994964,0.8,0.03,12,6,200,0.5,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.617819590481461,0.6080243497509684,0.6414499169894853,0.4854523495827844,0.6414715719063546,0.5988435557422107,0.05819689388304117,8
51,0.3529820919036865,0.004815554147555651,0.008707189559936523,0.00015179567018736863,1.0,0.03,8,6,100,0.5,0.5,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.6107913669064748,0.6006087437742114,0.6358052019922523,0.49994510320597274,0.6461538461538461,0.5986608524065514,0.05202120714529784,9
80,0.6069345474243164,0.00524276922672945,0.008650875091552735,0.0003454766196860853,0.6,0.05,20,6,50,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6189263973436635,0.5921970116214722,0.6409518539014942,0.5116930171277998,0.628428093645485,0.598439274727983,0.04623905253667935,10
72,2.2134372711181642,0.012431294369720416,0.009366798400878906,0.000769242526764498,0.6,0.05,20,4,200,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6159933591588268,0.5975096845600443,0.6506917542888766,0.47529644268774707,0.6513377926421404,0.598165806667527,0.06480951781158516,11
37,0.10309295654296875,0.0027738260211223314,0.008831453323364259,0.00033465770250036314,0.8,0.05,6,4,20,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.595185390149419,0.6066961815163253,0.6366353071389043,0.5259661835748792,0.6262541806020068,0.598147448596307,0.03889291268112838,12
75,0.40451722145080565,0.007655039912584614,0.008970689773559571,0.00024060568912661817,0.6,0.05,8,4,200,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.6085777531820696,0.6059214167127837,0.6470946319867183,0.4805116381203338,0.6482162764771461,0.5980643432958103,0.06149811297125734,13
136,0.5775274276733399,0.005421472496152201,0.009585428237915038,0.00044532096133649226,0.8,0.05,8,4,200,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6287216380741562,0.6267847260653017,0.6216934144991699,0.46563460693895475,0.6465997770345596,0.5978868325224284,0.06665767617441729,14
24,0.9436302185058594,0.008875458809948512,0.009825515747070312,0.00013914312540271473,0.8,0.03,12,4,400,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.6199778638627559,0.620420586607637,0.6282789153292752,0.4758454106280193,0.6442028985507247,0.5977451349956825,0.06157702278543749,15
125,0.5242842674255371,0.021641437091520867,0.009726905822753906,0.0006178635320834568,0.8,0.1,12,4,200,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6241837299391257,0.6126175982291091,0.6292750415052571,0.4705204216073781,0.6514492753623189,0.5976092133286377,0.06478347703770357,16
76,2.217153310775757,0.0859191126790045,0.008737468719482422,0.0002563763039056102,0.6,0.05,20,6,200,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6135583840619813,0.5852794687327061,0.6566131710016602,0.5088383838383839,0.6234671125975474,0.5975513040464558,0.04987331957174309,17
133,0.49120101928710935,0.004355371597292113,0.00892791748046875,0.00022023959830864298,0.8,0.075,8,4,200,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6311012728278915,0.6215273934698397,0.6257332595462094,0.4620663153271849,0.647045707915273,0.5974947898172797,0.06826498091754449,18
68,0.2641120433807373,0.002874525855021877,0.00862574577331543,0.0002768162298321599,1.0,0.03,8,6,100,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5923630326508024,0.6010514665190924,0.658273381294964,0.5164141414141414,0.6186733556298774,0.5973550755017756,0.046380012198554296,19
57,4.78381757736206,0.08851684447962711,0.011027717590332031,0.0007426554599518169,0.8,0.03,20,4,400,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.6363586054233535,0.6231876037631433,0.6222468179302711,0.4579490557751427,0.6466555183946489,0.597279520257312,0.07024633394893336,20
41,0.7321347713470459,0.008950015555194937,0.009586095809936523,0.00028870755386856047,0.6,0.05,6,4,400,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.6276148312119534,0.6140011068068623,0.6361925843940233,0.4610781730346948,0.6468784838350057,0.5971530358565079,0.06888374741501188,21
96,0.31058878898620607,0.006148384687465709,0.008946943283081054,0.00013918258330466318,0.8,0.03,12,6,100,0.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.6109573879358052,0.6025456557830658,0.6375207526286664,0.48473869126043034,0.6495540691192866,0.5970633113454509,0.05870605752208507,22
82,0.14880099296569824,0.008036781451363018,0.008623695373535157,0.0007488573191769121,1.0,0.05,12,6,50,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.6138904261206419,0.6081903707802988,0.6289429994465966,0.5127909530083443,0.6208472686733557,0.5969324036058475,0.042639650745385504,23
