,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,0.9072144508361817,0.02590033820703174,0.011635398864746094,0.00079172696288478,1.0,0.05,12,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.584221748400853,0.561415573423614,0.6103296467303768,0.5256630516482337,0.5661977880382261,0.5695655616482607,0.027862910954032278,1
59,0.7539747714996338,0.026198959051256566,0.011132764816284179,0.00024402471301595628,0.8,0.075,12,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5815565031982942,0.5785548032162505,0.5985718887576507,0.5214753570278106,0.5660904112530871,0.5692497926906186,0.026039209112927047,2
141,0.7492114543914795,0.026721383304385986,0.011026763916015625,0.00021172464411969117,0.8,0.075,8,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5815565031982942,0.5785548032162505,0.5985718887576507,0.5214753570278106,0.5660904112530871,0.5692497926906186,0.026039209112927047,2
124,2.475909423828125,0.02308099316225092,0.01118936538696289,0.0002671214181525454,0.8,0.075,20,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5815565031982942,0.5785548032162505,0.5985718887576507,0.5214753570278106,0.5660904112530871,0.5692497926906186,0.026039209112927047,2
130,0.3797271728515625,0.011235711053155715,0.010680007934570312,0.00024893545872420195,0.6,0.05,8,6,100,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5731343283582089,0.5777084214980955,0.601256308386127,0.5099323526253624,0.583217008482766,0.569049683870112,0.031062828785549248,5
81,0.7533292770385742,0.025451337817882294,0.010945940017700195,0.0003337729519605614,0.8,0.1,12,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5858208955223879,0.5815171392297926,0.5910018254053474,0.5211532266723935,0.5646945130462794,0.5688375199752402,0.025422118553811678,6
91,0.7533230781555176,0.02636603023947384,0.011122941970825195,0.00020229430776639128,0.8,0.1,12,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5858208955223879,0.5815171392297926,0.5910018254053474,0.5211532266723935,0.5646945130462794,0.5688375199752402,0.025422118553811678,6
129,0.9098728179931641,0.02130934208981636,0.01096487045288086,0.00021326367983633991,1.0,0.075,12,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5880063965884862,0.5709373677528566,0.5963169762697305,0.5159991409857189,0.572210888006013,0.5686941539205611,0.028036215317075053,8
121,0.37152533531188964,0.011226918035017675,0.010878610610961913,0.00017091585234484398,0.6,0.05,6,6,100,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5676972281449894,0.5676576385950063,0.6009878664232794,0.522334371308923,0.583431762053044,0.5684217733050485,0.02611898801062846,9
149,0.7359798908233642,0.02546257119683435,0.011123371124267579,0.0001634957314057998,0.8,0.075,6,6,200,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5821961620469084,0.5784490055014812,0.599430903038763,0.5147106195640503,0.5670568023193385,0.5683686984941082,0.02877006219971929,10
