,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
127,0.5901414394378662,0.005721879981734932,0.005101251602172852,0.00012917380439579726,0.6,0.075,20,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.6017219387755103,0.600356170123612,0.5771473493545752,0.042021163530825204,1
146,0.5850849628448487,0.00569172947923782,0.0052124977111816405,0.00016019339894303918,0.6,0.075,20,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.6017219387755103,0.600356170123612,0.5771473493545752,0.042021163530825204,1
145,0.09124574661254883,0.0011838194959158976,0.005292034149169922,0.0003494582242284874,0.6,0.075,12,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.6017219387755103,0.600356170123612,0.5771473493545752,0.042021163530825204,1
123,0.09831409454345703,0.0072730842481652505,0.005065774917602539,0.00010042077341917827,0.6,0.075,12,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.6017219387755103,0.600356170123612,0.5771473493545752,0.042021163530825204,1
118,0.09928426742553711,0.0031810580096812294,0.00551915168762207,0.0002824779864018681,0.6,0.075,12,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.6017219387755103,0.600356170123612,0.5771473493545752,0.042021163530825204,1
90,0.08923215866088867,0.0016635147206187036,0.005113077163696289,8.579563378697363e-05,0.6,0.075,8,4,50,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4939784053156147,0.6033014950166113,0.5863787375415282,0.599170918367347,0.600356170123612,0.5766371452729426,0.041734198274915944,6
111,0.0996396541595459,0.001285952409077351,0.005692148208618164,0.00014286701749906714,0.6,0.1,12,4,50,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5056063122923589,0.6257267441860466,0.5701827242524917,0.594281462585034,0.5858998533417138,0.576339419331529,0.03973286799759195,7
106,0.09025454521179199,0.0012059713068896447,0.005055904388427734,0.0001704975918294424,0.6,0.1,8,4,50,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5056063122923589,0.6257267441860466,0.5701827242524917,0.594281462585034,0.5858998533417138,0.576339419331529,0.03973286799759195,7
115,0.5802284240722656,0.009600234338831457,0.005290317535400391,8.613036081523852e-05,0.6,0.1,20,4,50,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5056063122923589,0.6257267441860466,0.5701827242524917,0.594281462585034,0.5858998533417138,0.576339419331529,0.03973286799759195,7
139,0.7101494312286377,0.01909150535034869,0.005930423736572266,0.00014128814546040722,0.6,0.1,20,4,50,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5270971760797342,0.5887666112956811,0.59281561461794,0.5902423469387754,0.5664152524617642,0.5730674002787789,0.02485537596739284,10
125,0.09484472274780273,0.002341473965821242,0.005224990844726563,0.00018271983038381937,0.6,0.1,12,4,50,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5270971760797342,0.5887666112956811,0.59281561461794,0.5902423469387754,0.5664152524617642,0.5730674002787789,0.02485537596739284,10
