,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
133,2.0246723651885987,0.010594927126983955,0.0073531150817871095,0.0001717149730301154,1.0,0.1,20,2,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4722222222222222,0.5347222222222221,0.6515151515151515,0.6249999999999999,0.6439393939393939,0.5854797979797979,0.07034720834160367,1
135,0.21312804222106935,0.002573687445297566,0.007188653945922852,0.0001570761673084806,1.0,0.1,8,2,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4722222222222222,0.5347222222222221,0.6515151515151515,0.6249999999999999,0.6439393939393939,0.5854797979797979,0.07034720834160367,1
139,0.21562371253967286,0.002789438216894426,0.0073225975036621095,0.0002985002286136632,1.0,0.1,8,2,200,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.4722222222222222,0.5347222222222221,0.6515151515151515,0.6249999999999999,0.6439393939393939,0.5854797979797979,0.07034720834160367,1
149,0.21118264198303222,0.0028164541707798936,0.0070192813873291016,0.0002840224805224528,1.0,0.1,8,2,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.47916666666666663,0.5347222222222221,0.6439393939393939,0.6249999999999999,0.6363636363636364,0.5838383838383838,0.06547347236953353,4
143,2.2201191902160646,0.19913819792165202,0.007351493835449219,0.0004376382135628555,1.0,0.1,20,2,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.47916666666666663,0.5347222222222221,0.6439393939393939,0.6249999999999999,0.6363636363636364,0.5838383838383838,0.06547347236953353,4
141,0.2385328769683838,0.00518998179106601,0.008165264129638672,0.0002381018251087164,1.0,0.1,12,2,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.47916666666666663,0.5347222222222221,0.6439393939393939,0.6249999999999999,0.6363636363636364,0.5838383838383838,0.06547347236953353,4
145,0.21825046539306642,0.002865378027103597,0.007532167434692383,8.803147505491207e-05,1.0,0.1,6,2,200,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.4722222222222222,0.5347222222222221,0.6401515151515151,0.6249999999999999,0.6439393939393939,0.5832070707070707,0.06833176553107505,7
136,0.21671714782714843,0.0038105357018689808,0.007267427444458008,0.00030430559429815945,1.0,0.1,8,2,200,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.47916666666666663,0.5277777777777777,0.6439393939393939,0.6249999999999999,0.6363636363636364,0.5824494949494949,0.06656519673052805,8
125,0.21283130645751952,0.0024347555407275333,0.007222414016723633,0.00031556137799386956,1.0,0.03,8,2,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4722222222222222,0.5486111111111112,0.5568181818181817,0.6666666666666666,0.6439393939393939,0.5776515151515151,0.07030005508623766,9
131,0.21326756477355957,0.0014471521872167846,0.007134056091308594,0.00018347269972516386,1.0,0.03,6,2,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.4722222222222222,0.5486111111111112,0.5568181818181817,0.6666666666666666,0.6439393939393939,0.5776515151515151,0.07030005508623766,9
