,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
146,2.1533570766448973,0.021474004062221597,0.010539865493774414,0.00021782720972006082,1.0,0.5,20,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
142,0.3200516700744629,0.006009898069035368,0.010951757431030273,0.0004889723610462037,1.0,0.5,8,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
141,0.32041153907775877,0.008802260655838423,0.01049180030822754,0.00029203912678297725,1.0,0.5,6,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
139,0.32950406074523925,0.005274776237778309,0.01049647331237793,0.0002256454497580798,1.0,0.5,12,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
137,2.1497559547424316,0.019805230454458724,0.010740375518798828,0.00041989421879030264,1.0,0.5,20,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
132,0.3752786636352539,0.015388824075545593,0.01181483268737793,0.00019009584431567734,1.0,0.5,8,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
94,0.3193580150604248,0.00866529229492227,0.010320758819580078,0.0002534084041486538,1.0,0.5,8,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
128,0.3234529972076416,0.010805068324578806,0.010689830780029297,0.0003105701433926734,1.0,0.5,8,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
126,2.897072982788086,0.03860048227556584,0.011980819702148437,0.00038033266476504416,1.0,0.5,20,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
120,0.33277091979980467,0.004236998591935841,0.010542488098144532,0.0002893119069115057,1.0,0.5,6,4,200,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.6293706293706294,0.7395833333333334,0.7196969696969697,0.803030303030303,0.7424242424242424,0.7268210955710955,0.05614538758997013,1
