,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
99,2.522300863265991,0.1607201691850722,0.008317995071411132,0.0006124993139006897,1.0,0.075,20,6,200,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.4405594405594405,0.625,0.6250000000000001,0.6174242424242424,0.6893939393939394,0.5994755244755245,0.08362391672992339,1
59,2.7812845706939697,0.033918663855001585,0.008933115005493163,0.0005305356180088578,1.0,0.03,20,4,200,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6325757575757576,0.7083333333333333,0.5964889277389277,0.1118248071145768,2
18,0.2029552936553955,0.0037127587714976444,0.007601690292358398,0.0002648998610532517,0.8,0.03,6,4,200,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6325757575757576,0.7083333333333333,0.5964889277389277,0.1118248071145768,2
144,0.3280004978179932,0.0157683724882775,0.009612321853637695,0.0028025273380116685,0.6,0.5,20,2,20,1.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.5804195804195804,0.4930555555555556,0.6287878787878789,0.7083333333333334,0.5606060606060606,0.5942404817404817,0.07179328981563336,4
72,0.3779753684997559,0.011254573185101523,0.007988643646240235,0.00044202304063615627,1.0,0.075,8,4,400,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
79,0.3671971321105957,0.0052832900131010415,0.007499074935913086,0.00032856151504444123,0.8,0.075,6,4,400,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
81,0.4056800365447998,0.018646471717721585,0.008882284164428711,0.0003903830314811238,0.8,0.03,12,4,400,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
89,0.4064459323883057,0.01769733861633933,0.008497858047485351,0.00017902365783471552,1.0,0.03,6,4,400,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
71,0.38419399261474607,0.013896515003063499,0.007342815399169922,0.00010065545621926033,1.0,0.075,12,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
112,4.30631537437439,0.21313104327652935,0.007876968383789063,0.00022395689547676068,1.0,0.1,20,4,400,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
118,5.121114444732666,0.3252290740719481,0.00813913345336914,0.0006349517834132639,0.8,0.05,20,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
135,4.290565824508667,0.1322181200147307,0.007731246948242188,0.0002628647777001339,0.8,0.1,20,4,400,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
69,4.730106782913208,0.5810541078536072,0.007935810089111327,0.00036151283909621556,0.8,0.03,20,4,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
133,4.229422235488892,0.016683310034828088,0.007582855224609375,0.0002692660800433114,0.8,0.075,20,4,400,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
125,4.4708192348480225,0.4345746142410166,0.008142471313476562,0.00030446734006300813,0.8,0.05,20,4,400,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6856060606060607,0.5934586247086246,0.1081802923904036,5
63,0.3689265727996826,0.011668629252178604,0.007818174362182618,0.00044320718244604453,1.0,0.03,6,4,400,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6818181818181819,0.592701048951049,0.10754373072694547,16
84,0.36731724739074706,0.00738156497124923,0.0076882362365722655,0.0005461566626182015,0.8,0.075,8,4,400,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6818181818181819,0.592701048951049,0.10754373072694547,16
102,4.516529273986817,0.41667930460067687,0.007637119293212891,0.00048632288646557637,0.8,0.03,20,4,400,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.38111888111888115,0.6354166666666666,0.6250000000000001,0.6401515151515151,0.6818181818181819,0.592701048951049,0.10754373072694547,16
