,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
125,0.16744723320007324,0.004455981054122095,0.004841852188110352,0.00021823990242636007,1.0,0.3,12,2,200,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6666666666666666,0.7606837606837606,0.8034188034188035,0.6538461538461539,0.7416666666666667,0.7252564102564103,0.05686112231237728,1
126,0.16628904342651368,0.003947188334024291,0.004632425308227539,0.00012472836918606746,1.0,0.3,12,2,200,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6666666666666666,0.7606837606837606,0.8034188034188035,0.6538461538461539,0.7416666666666667,0.7252564102564103,0.05686112231237728,1
139,0.16969900131225585,0.002735388098766101,0.005666112899780274,0.00028061575470792415,1.0,0.3,12,2,200,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6666666666666666,0.7606837606837606,0.8034188034188035,0.6538461538461539,0.7416666666666667,0.7252564102564103,0.05686112231237728,1
117,0.16162166595458985,0.005165261374565966,0.00468287467956543,0.00022013426910265924,1.0,0.3,8,2,200,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6666666666666666,0.7606837606837606,0.8034188034188035,0.6538461538461539,0.7416666666666667,0.7252564102564103,0.05686112231237728,1
135,0.9961235046386718,0.014619758105161064,0.004700422286987305,0.0002430259882475475,0.8,0.3,20,2,100,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7008547008547009,0.7692307692307693,0.7606837606837608,0.6196581196581198,0.7666666666666666,0.7234188034188034,0.05767704768108304,5
129,1.3355275630950927,0.027976186383417208,0.005618667602539063,0.000593867067452448,0.8,0.3,20,2,100,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7008547008547009,0.7692307692307693,0.7606837606837608,0.6196581196581198,0.7666666666666666,0.7234188034188034,0.05767704768108304,5
148,0.10821871757507324,0.001350930140946421,0.00474081039428711,0.0001404894177108741,0.8,0.3,12,2,100,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7008547008547009,0.7692307692307693,0.7606837606837608,0.6196581196581198,0.7666666666666666,0.7234188034188034,0.05767704768108304,5
138,0.10033507347106933,0.00040956360445392533,0.004558277130126953,0.0001489887906718845,0.8,0.3,8,2,100,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7008547008547009,0.7692307692307693,0.7606837606837608,0.6196581196581198,0.7666666666666666,0.7234188034188034,0.05767704768108304,5
113,0.977070426940918,0.012690103033480813,0.004782676696777344,0.0004509202714051018,0.8,0.3,20,2,100,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7008547008547009,0.7692307692307693,0.7606837606837608,0.6196581196581198,0.7666666666666666,0.7234188034188034,0.05767704768108304,5
144,0.07307372093200684,0.0012318162336986901,0.004618597030639648,0.00016780077783452074,1.0,0.3,12,2,50,0.0,0.0,1.0,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6837606837606838,0.7521367521367522,0.7692307692307693,0.670940170940171,0.7333333333333334,0.721880341880342,0.038305857765276737,10
