,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
109,0.10116391181945801,0.007352037749658864,0.010698843002319335,0.0002258036370843245,0.8,0.03,8,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6696428571428571,0.7455357142857142,0.6026785714285714,0.6282051282051282,0.6730769230769231,0.6638278388278387,0.04858754433981372,1
80,0.09849157333374023,0.0059575540467429085,0.010667848587036132,0.0003318611022534962,0.8,0.03,6,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6696428571428571,0.7455357142857142,0.6026785714285714,0.6282051282051282,0.6730769230769231,0.6638278388278387,0.04858754433981372,1
147,0.10377612113952636,0.006345883331259435,0.010728025436401367,0.00030946461921775006,0.8,0.03,12,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6696428571428571,0.7455357142857142,0.6026785714285714,0.6282051282051282,0.6730769230769231,0.6638278388278387,0.04858754433981372,1
131,0.10211334228515626,0.006531227890162461,0.010404682159423828,0.0002444741180444952,0.8,0.03,12,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6696428571428571,0.7455357142857142,0.6026785714285714,0.6282051282051282,0.6730769230769231,0.6638278388278387,0.04858754433981372,1
122,0.09757513999938965,0.006259219022256616,0.01070718765258789,0.00024562499002103244,0.8,0.03,6,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6696428571428571,0.7455357142857142,0.6026785714285714,0.6282051282051282,0.6730769230769231,0.6638278388278387,0.04858754433981372,1
92,0.11412234306335449,0.009216550149015868,0.011599874496459961,0.0004801196982253524,0.8,0.05,6,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6339285714285714,0.7321428571428571,0.625,0.6282051282051282,0.6971153846153846,0.6632783882783883,0.04346041353593103,6
82,0.10367698669433593,0.00822411563451275,0.010666656494140624,0.0004005246612248958,0.8,0.05,8,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6339285714285714,0.7321428571428571,0.625,0.6282051282051282,0.6971153846153846,0.6632783882783883,0.04346041353593103,6
138,0.10497460365295411,0.006448358979639921,0.010905265808105469,0.00013859524446488763,0.8,0.05,8,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6339285714285714,0.7321428571428571,0.625,0.6282051282051282,0.6971153846153846,0.6632783882783883,0.04346041353593103,6
139,0.3678791046142578,0.005717252773027704,0.012047767639160156,0.0004370984453083872,0.8,0.05,20,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6339285714285714,0.7321428571428571,0.625,0.6282051282051282,0.6971153846153846,0.6632783882783883,0.04346041353593103,6
112,0.09295511245727539,0.004191969234869973,0.010988712310791016,0.0007055906230572104,0.6,0.03,12,2,20,5.0,5.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 1.0)])",0.6339285714285715,0.7455357142857143,0.5848214285714286,0.6239316239316239,0.7019230769230769,0.6580280830280831,0.0577701051692839,10
