,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
87,0.19583635330200194,0.007753063214809562,0.007200431823730469,6.349215235826665e-05,0.8,0.05,6,4,200,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5598290598290598,0.5683760683760684,0.43162393162393164,0.5085470085470086,0.675,0.5486752136752138,0.07972673212496655,1
137,2.0694185733795165,0.01568035170766481,0.007535409927368164,0.0005037808474634321,0.8,0.05,20,4,200,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5598290598290598,0.5683760683760684,0.43162393162393164,0.5085470085470086,0.675,0.5486752136752138,0.07972673212496655,1
74,0.33876838684082033,0.01113072347327672,0.007449436187744141,0.0003028920675275153,0.6,0.3,12,6,400,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
91,2.078356218338013,0.017888897776687746,0.0075378894805908205,0.0004980262096190101,0.8,0.075,20,6,200,1.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
84,0.33511967658996583,0.005588554716306097,0.0073201656341552734,0.00017967329156572644,0.6,0.075,12,6,400,0.5,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
82,0.3315485954284668,0.001949595413707848,0.007429981231689453,0.0003890845878074743,0.6,0.5,12,6,400,0.5,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
78,0.18777112960815429,0.004263615641212551,0.007189559936523438,0.00015354018773474176,0.6,0.075,12,6,200,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
77,0.33397774696350097,0.003825855866669936,0.007340621948242187,6.564653715435173e-05,0.6,0.075,12,6,400,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
75,0.3339273929595947,0.003675110380944678,0.0073489189147949215,0.0002739336968396403,0.6,0.5,12,6,400,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
71,0.18674101829528808,0.0013597993390512702,0.0071637630462646484,5.8332602614173293e-05,0.6,0.5,12,6,200,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
70,0.19809532165527344,0.007866250088076194,0.007388401031494141,0.0004006776811042968,0.8,0.05,12,6,200,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
69,0.20482454299926758,0.0026462421536160956,0.008730888366699219,0.0004641312550255648,0.8,0.5,12,6,200,0.5,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
68,0.19966907501220704,0.00441088031969655,0.007743310928344726,0.0005661102518137173,0.8,0.3,12,6,200,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.5598290598290598,0.5085470085470086,0.43162393162393164,0.5641025641025642,0.675,0.5478205128205129,0.07953362304602982,3
