,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
147,0.05807371139526367,0.0017015519543988678,0.004746341705322265,7.537249588193502e-05,0.8,0.1,8,6,20,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.7887759170653907,0.760948171956609,0.7724487746082764,0.7960024106066693,0.7295600642828446,0.769547067703958,0.023456151301938653,1
128,0.05853562355041504,0.0006978244779643414,0.004846000671386718,0.00012194028649784411,0.8,0.1,12,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7896730462519936,0.761149055845721,0.7701386098834873,0.7950482121333868,0.7280534351145038,0.7688124718458186,0.023854824648873302,2
121,0.05890445709228516,0.0010006207113080476,0.0048615455627441405,9.975376366038611e-05,0.8,0.1,12,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7896730462519936,0.761149055845721,0.7701386098834873,0.7950482121333868,0.7280534351145038,0.7688124718458186,0.023854824648873302,2
122,0.05908293724060058,0.0015422577479225095,0.005086278915405274,0.00028610406716115736,0.8,0.1,6,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7896730462519936,0.761149055845721,0.7701386098834873,0.7950482121333868,0.7280534351145038,0.7688124718458186,0.023854824648873302,2
127,0.057794189453125,0.0010658859357994565,0.00483236312866211,0.0002336554429382457,0.8,0.1,8,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7896730462519936,0.761149055845721,0.7701386098834873,0.7950482121333868,0.7280534351145038,0.7688124718458186,0.023854824648873302,2
125,0.05658092498779297,0.0006875102505466668,0.004807329177856446,0.0001149655871744358,0.6,0.1,8,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.8016347687400319,0.743621936520691,0.7702390518280433,0.7883688228204097,0.734783045399759,0.767729525061787,0.025489175086016485,6
134,0.05917549133300781,0.0024707519649504574,0.004942989349365235,0.00015694098149022942,1.0,0.1,8,6,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7847388357256777,0.7626054640417838,0.7684310968260346,0.7924367215749296,0.7278023302531136,0.7672028896843079,0.022446846434466438,7
102,0.06102080345153808,0.001232422994894962,0.0049229621887207035,6.209046029005344e-05,0.6,0.05,12,6,20,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7948066188197768,0.7562274005624748,0.7711932503013258,0.7869124146243471,0.726697468862997,0.7671674306341844,0.024197100669518204,8
109,0.059250259399414064,0.0013639240109242958,0.004889774322509766,0.0001345403794782258,0.6,0.05,8,6,20,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7948066188197768,0.7562274005624748,0.7711932503013258,0.7869124146243471,0.726697468862997,0.7671674306341844,0.024197100669518204,8
84,0.059096574783325195,0.00040919610630311525,0.004908323287963867,0.00018721843782922755,0.6,0.05,12,6,20,1.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.7948066188197768,0.7562274005624748,0.7711932503013258,0.7869124146243471,0.726697468862997,0.7671674306341844,0.024197100669518204,8
