,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
125,0.39027109146118166,0.015022215445000504,0.009288692474365234,0.00021387135813445398,1.0,0.05,6,4,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7618246794198025,0.7699180155560226,0.7506396588486139,0.7930170575692964,0.7063965884861407,0.7563591999759753,0.02858841431912084,1
148,0.32423911094665525,0.007071854653285924,0.008569812774658203,0.00022274423895403614,1.0,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
123,0.3318459510803223,0.005594348281561441,0.00888214111328125,0.0004188267250925205,1.0,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
146,0.3467671871185303,0.0048587421456163645,0.0096588134765625,7.205938775388419e-05,1.0,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
143,0.3254835605621338,0.00589724700608735,0.008520030975341797,0.00015225930896469746,1.0,0.05,6,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
128,1.272364091873169,0.02799995926124405,0.008868122100830078,0.00030983283171202023,1.0,0.05,20,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
140,0.32853116989135744,0.006485461905794745,0.008683204650878906,0.00035559000504975144,1.0,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7622976665965945,0.7659239016186672,0.7526652452025586,0.7957889125799574,0.7051172707889125,0.7563585993573381,0.02939670643533673,2
149,0.5941369533538818,0.014159151836772486,0.008889341354370117,7.45262461280758e-05,1.0,0.03,8,6,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.764347277696027,0.7677107420643263,0.7598081023454157,0.7905650319829425,0.6979744136460554,0.7560811135469534,0.030928942363968266,8
138,0.3236362457275391,0.005832119524771482,0.008626174926757813,0.0002682555663702519,1.0,0.05,8,6,100,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7604582720201809,0.7684464998948918,0.7524520255863539,0.7932302771855011,0.703411513859275,0.7555997177092405,0.029455800636887613,9
127,0.39302525520324705,0.009638110698153696,0.009234094619750976,0.00046733869668287456,1.0,0.05,8,4,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7618246794198025,0.7680260668488543,0.7485074626865671,0.7910980810234541,0.7063965884861407,0.7551705756929638,0.02801294447760347,10
97,0.3218250274658203,0.007402430283159223,0.008856821060180663,0.0002890775630957313,1.0,0.075,8,6,100,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7634538574731974,0.7642421694345175,0.7539445628997867,0.7855543710021322,0.7043710021321962,0.7543131925883662,0.02702778511027723,11
131,0.3511019229888916,0.003645403487727251,0.009110593795776367,0.00016863409302737454,1.0,0.05,6,6,100,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7666596594492326,0.7686567164179104,0.7522388059701494,0.7905650319829424,0.6931769722814499,0.754259437220337,0.032906819488808095,12
120,1.2420054435729981,0.010779787762924587,0.008733606338500977,0.0002096048148137378,1.0,0.03,20,6,100,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7579356737439563,0.7593020811435779,0.7551705756929636,0.7960021321961621,0.7028784648187634,0.7542577855190846,0.029739636988927596,13
91,0.34996609687805175,0.005984189635350948,0.008691167831420899,0.00019217321933608818,1.0,0.03,8,6,100,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7540466680681102,0.7698129072945133,0.7597014925373133,0.7902452025586354,0.6968017057569296,0.7541215952431004,0.031202060438324086,14
142,0.313601016998291,0.0065726019314106265,0.008505296707153321,5.7277531771321815e-05,1.0,0.05,6,6,100,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.760248055497162,0.7557284002522597,0.7551172707889126,0.7923773987206822,0.7033049040511727,0.7533552058620379,0.028579756987660545,15
137,0.8408134460449219,0.030286372636868036,0.009763431549072266,0.0002318484258193099,1.0,0.05,20,4,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.750157662392264,0.7624553289888586,0.7490938166311301,0.7977078891257995,0.7056503198294243,0.7530130033934953,0.02950771802350875,16
124,0.29150919914245604,0.007562973017415948,0.009029626846313477,0.0001711563124269533,0.8,0.05,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7558860626445238,0.7659239016186673,0.7651385927505331,0.786407249466951,0.6897654584221748,0.75262425298057,0.03297468016825073,17
101,0.3507887363433838,0.005341953616383919,0.008868646621704102,0.00040522800032500233,1.0,0.03,6,6,100,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7529955854530166,0.7672903090182889,0.7549040511727079,0.7907782515991472,0.6966950959488273,0.7525326586383975,0.030997370328960532,18
133,0.711339807510376,0.019464585734500148,0.00956730842590332,0.00044138792594690363,1.0,0.05,8,4,200,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.767920958587345,0.7694975825099853,0.7462686567164178,0.7818230277185502,0.694456289978678,0.7519933031021953,0.03096185373308634,19
61,1.3007521629333496,0.012676500479493863,0.008832120895385742,0.0002742927407990652,1.0,0.03,20,4,100,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7447971410552869,0.7621400042043304,0.7550639658848615,0.798773987206823,0.6991471215351812,0.7519844439772967,0.03207902797927831,20
106,0.28418288230895994,0.006822576162559299,0.008648443222045898,0.00028273481789656534,0.8,0.075,12,6,100,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7524700441454698,0.7660290098801765,0.7587420042643924,0.7858742004264392,0.6959488272921108,0.7518128172017178,0.03010484648915585,21
17,1.020868682861328,0.07501504827978228,0.009474658966064453,0.0005470936976671066,1.0,0.03,20,2,50,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.7547824258986756,0.7786420012612992,0.7357142857142858,0.7951492537313433,0.6937100213219618,0.7515995975855132,0.035331404490268885,22
119,0.2152092456817627,0.0072543987109698485,0.009589290618896485,0.00042916238563543864,1.0,0.05,12,6,50,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7441139373554763,0.7618246794198023,0.7424840085287847,0.8004797441364606,0.7062366737739871,0.7510278086429022,0.030623880361726096,23
92,0.29082255363464354,0.00582093827632978,0.008828353881835938,0.00024689246677199705,0.8,0.1,8,6,100,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7623502207273491,0.7712844229556444,0.7521321961620469,0.7739339019189766,0.694456289978678,0.750831406348539,0.02920472589996486,24
113,0.440994119644165,0.01390816781402311,0.009148168563842773,0.0003346592311954969,1.0,0.03,8,4,100,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7488963632541518,0.7663443346647048,0.7466950959488273,0.7951492537313433,0.6970149253731343,0.7508199945944323,0.03200559004462617,25
136,0.10712213516235351,0.002024930375602801,0.008286237716674805,0.00014922877699677478,1.0,0.05,8,6,20,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7490014715156612,0.7435358419171747,0.7541044776119402,0.7988805970149255,0.7085287846481876,0.7508102345415779,0.028863545182637663,26
96,0.2330235481262207,0.007477446313421362,0.009035253524780273,0.0011121769401985868,1.0,0.05,12,6,50,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.7527328147992433,0.7575152406979189,0.7506929637526651,0.7921108742004264,0.7007462686567164,0.7507596324213941,0.02919177243101026,27
