,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
112,1.2424661636352539,0.019648575203234736,0.012721061706542969,0.0007711795974871185,0.6,0.075,6,2,400,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6820673843700159,0.5983326637203696,0.6473985536359983,0.5258135797509039,0.5985335476094817,0.610429145817354,0.05281363175162433,1
81,1.2207618713378907,0.021924566830776225,0.01199169158935547,0.0003237099720708474,0.6,0.05,6,2,400,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6813696172248804,0.6188228204098032,0.6340899959823222,0.5266171153073523,0.5851747689835275,0.6092148635815772,0.05160951014677203,2
134,1.2029954433441161,0.029664433786124635,0.01191258430480957,0.00032837303567680344,0.6,0.05,6,2,400,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6813696172248804,0.6188228204098032,0.6340899959823222,0.5266171153073523,0.5851747689835275,0.6092148635815772,0.05160951014677203,2
61,1.245611572265625,0.014418119825957714,0.011760997772216796,0.00028860276613483683,0.6,0.03,6,2,400,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.665420653907496,0.6177179590196866,0.6428786661309763,0.5404781036560867,0.577390518280434,0.6087771801989359,0.04494712089880594,4
91,0.7305851459503174,0.017703326911047333,0.010273981094360351,7.809588259440155e-05,0.8,0.075,6,2,200,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.678877591706539,0.6214343109682603,0.6265568501406187,0.5421353957412616,0.5740759341100844,0.6086160165333528,0.046979913501982724,5
135,1.4392278671264649,0.07617766790574282,0.012804317474365234,0.0011855759288028906,0.8,0.05,6,2,400,0.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.6651216108452951,0.6167135395741261,0.6344415427882684,0.5228003214142226,0.6027018883085576,0.608355780586094,0.04759071695610939,6
45,1.42239408493042,0.051601914795482345,0.012290525436401366,0.0014926166412911426,0.8,0.03,6,2,400,0.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.6357157097288677,0.6089795098433105,0.6452892728003213,0.5669947770188831,0.5834672559260747,0.6080893050634916,0.02980890416583871,7
51,1.4071698665618897,0.03233372167409777,0.011679267883300782,0.0003709191663380477,0.8,0.05,6,2,400,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.6668161881977671,0.6107874648453194,0.6287163519485737,0.5337987143431098,0.5986842105263158,0.6077605859722172,0.04356284959390548,8
80,1.4200568675994873,0.034339202901641365,0.011919593811035157,0.00020365304726174406,0.8,0.05,6,2,400,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.6668161881977671,0.6107874648453194,0.6287163519485737,0.5337987143431098,0.5986842105263158,0.6077605859722172,0.04356284959390548,8
71,1.415356206893921,0.033619364486378055,0.01238856315612793,0.0008633070918888065,0.8,0.075,6,2,400,0.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.6853568580542265,0.6057653676175171,0.6429791080755323,0.5132583366813981,0.5903475291281639,0.6075414399113676,0.057444157546522115,10
