,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.07658629417419434,0.001704748548917905,0.013815975189208985,0.0003724986628553233,0.8,0.05,8,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
97,0.07573947906494141,0.0026269729235623273,0.013480663299560547,0.0001732905878893482,0.8,0.05,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
98,0.18539028167724608,0.009713044457623221,0.01362614631652832,0.0004574248778785734,0.8,0.05,20,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
99,0.07422347068786621,0.0006308144060754738,0.013294076919555664,0.0004604016379979492,0.8,0.05,8,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
100,0.0765683650970459,0.0021543982119672078,0.013490533828735352,0.00027744644560910776,0.8,0.05,6,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
101,0.17183160781860352,0.00387481814246369,0.013087940216064454,0.00014667323412644533,0.8,0.05,20,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
102,0.07952237129211426,0.0013556082310770437,0.01417231559753418,0.00026841294513138666,0.8,0.05,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
96,0.07932209968566895,0.0028856649353227568,0.014028263092041016,0.0003521489515615862,0.8,0.05,6,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
103,0.07302136421203613,0.0006731779110432107,0.013012075424194336,0.00021358848402869282,0.8,0.05,8,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
105,0.07477636337280273,0.002907280061640028,0.013436269760131837,0.0005032831633168294,0.8,0.05,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
106,0.1756514072418213,0.006385385322384267,0.013286018371582031,0.00018579185061683826,0.8,0.05,20,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
107,0.07399630546569824,0.00039800069710396453,0.013114547729492188,0.00023440621158592472,0.8,0.05,8,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
108,0.07312970161437989,0.0005738586004653096,0.013780498504638672,0.0017133302518070725,0.8,0.05,6,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
109,0.07451691627502441,0.0015789345569726877,0.01393747329711914,0.0016620036194362532,0.8,0.05,12,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
110,0.1724494457244873,0.0033571420701000634,0.013378000259399414,0.0004721581634529782,0.8,0.05,20,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
104,0.07404632568359375,0.001861911635508092,0.012937211990356445,9.095780970630365e-05,0.8,0.05,6,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
95,0.08038606643676757,0.0016879700439168528,0.014042234420776368,0.00023213751276669937,0.8,0.05,8,2,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.4)])",0.6666666666666666,1.0,0.5833333333333334,0.7361111111111112,0.6481481481481481,0.7268518518518519,0.14498947504491394,1
