,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,2.5495269775390623,0.06307794654806284,0.012984275817871094,0.00035971502973169837,0.6,0.3,20,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
95,0.666520643234253,0.02508286534732402,0.012780904769897461,0.0004146068516948127,0.6,0.3,12,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
96,0.6517446517944336,0.004292507059821994,0.01329035758972168,0.0006645842072777124,0.6,0.3,6,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
97,2.529107856750488,0.012527496230986434,0.012682104110717773,0.00032913615676740884,0.6,0.3,20,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
98,0.662860918045044,0.025054035037231526,0.012703275680541993,0.00046963087733174226,0.6,0.3,8,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
99,0.6520388126373291,0.00500375113444182,0.012753438949584962,0.0001183969860134339,0.6,0.3,12,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
100,0.6521324634552002,0.002204608024081804,0.012486124038696289,0.0003290627144606649,0.6,0.3,6,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
94,0.6548276424407959,0.0029798418186040873,0.012804269790649414,0.0006079372697743228,0.6,0.3,8,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
101,2.534261417388916,0.008273882341184233,0.01274113655090332,0.0005212299407815293,0.6,0.3,20,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
103,0.6172216892242431,0.003226592384687219,0.011840200424194336,0.00018873902617221551,0.6,0.3,8,2,400,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 400), ('subsample', 0.6)])",0.888888888888889,0.5555555555555556,0.5833333333333334,1.0,1.0,0.8055555555555557,0.19720265943665385,1
