,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,1.3304719924926758,0.006453791070245379,0.01282963752746582,0.0006550601827994519,0.8,0.03,20,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
96,0.35068421363830565,0.003598037004390877,0.012389326095581054,0.00023932126820672286,0.8,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
97,1.319876003265381,0.012835157315399115,0.012415170669555664,0.0001266654882867991,0.8,0.03,20,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
98,0.34419903755187986,0.00483942515462915,0.012358999252319336,0.00027341248053747174,0.8,0.03,8,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
99,0.34549102783203123,0.003678469920101479,0.012388992309570312,8.606090400893345e-05,0.8,0.03,12,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
100,0.3493617534637451,0.004349864842639657,0.012527179718017579,0.0004717053931691053,0.8,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
101,1.324931001663208,0.01849152570626924,0.01251049041748047,0.00016567366533818808,0.8,0.03,20,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
95,0.3547013282775879,0.003904476098266509,0.012576484680175781,0.00028988156447281606,0.8,0.03,12,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
102,0.3425755977630615,0.006072433838367395,0.012402486801147462,0.0002655236962982863,0.8,0.03,8,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
104,0.37189059257507323,0.005486208255261951,0.013536691665649414,0.000206951556623975,0.8,0.03,6,4,200,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('subsample', 0.6)])",0.9305555555555556,0.625,0.7124999999999999,1.0,0.71875,0.7973611111111112,0.14275345664016706,1
