,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
136,0.045815324783325194,0.0005000667143124649,0.00455164909362793,0.00014607881242790593,0.8,0.3,6,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
147,0.05149545669555664,0.0009944458723448674,0.005423402786254883,0.0001289893077140576,0.8,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
145,0.05060811042785644,0.0018290063296015086,0.00517582893371582,0.00020504646512792239,0.8,0.3,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
144,0.047179031372070315,0.0010973492320494442,0.00472111701965332,0.0005216055698851098,0.8,0.3,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
127,0.046852922439575194,0.0005102676427611494,0.004608821868896484,0.00012121950872145604,0.8,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
141,0.04979867935180664,0.000794842423552689,0.005291986465454102,0.00018281997587035742,0.8,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
130,0.3041816711425781,0.010762234018905867,0.005347156524658203,0.00011663056739357387,0.8,0.3,20,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
137,0.04694104194641113,0.0006194939275803773,0.0046292304992675785,0.00011924138590739972,0.8,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
131,0.04996170997619629,0.0003210696033116513,0.005209207534790039,0.00015262595834327172,0.8,0.3,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
135,0.047875595092773435,0.0018452233959024827,0.004559373855590821,0.0001326441159517766,0.8,0.3,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
116,0.04867820739746094,0.0009026961963508817,0.0051133155822753905,0.0003529974435820827,0.8,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
132,0.04740991592407227,0.0007465726502912403,0.004735326766967774,0.00019994894784158008,0.8,0.3,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.49609375,0.86328125,0.5481481481481482,0.7375,0.8458333333333333,0.6981712962962963,0.150966486762058,1
124,0.04716558456420898,0.0010621778130306216,0.004667043685913086,0.00018818902672077914,0.8,0.3,8,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
126,0.24789462089538575,0.006400757952608,0.0048335552215576175,0.000570678396180265,0.8,0.3,20,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
118,0.047342967987060544,0.0016508608404809074,0.004612922668457031,0.00021915339302866507,0.8,0.3,12,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
149,0.04943251609802246,0.00121979209125959,0.00476527214050293,0.00023590609406225056,0.8,0.3,12,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
119,0.04667153358459473,0.00031755774547452656,0.004696893692016602,0.0004089935016131818,0.8,0.3,12,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
139,0.04895319938659668,0.0004598291953975169,0.004733419418334961,7.534594454106014e-05,0.8,0.3,12,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
140,0.05486297607421875,0.0016406712529847566,0.006187582015991211,0.0004383511269604082,0.8,0.3,6,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
142,0.04752931594848633,0.0012265109930222427,0.004644203186035156,0.00013660360134786173,0.8,0.3,8,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
143,0.24486126899719238,0.004408492126038605,0.00468297004699707,0.00018182016561985747,0.8,0.3,20,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
148,0.046421051025390625,0.0010555817203206188,0.004452657699584961,0.00015252927309889272,0.8,0.3,6,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
122,0.05123286247253418,0.0007758757965852387,0.005594301223754883,0.0002355756733371269,0.8,0.3,12,2,20,5.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.4921875,0.7578125,0.6,0.7791666666666667,0.8541666666666667,0.6966666666666667,0.13153515650134506,13
115,0.045478439331054686,0.000729901393249298,0.004510307312011718,7.073129875237666e-05,0.8,0.3,8,2,20,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.4921875,0.75,0.562962962962963,0.7875,0.8625,0.6910300925925925,0.14008953457103993,24
113,0.24275083541870118,0.003911443767769722,0.004526519775390625,0.00018294158197530787,0.8,0.3,20,2,20,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.4921875,0.75,0.562962962962963,0.7875,0.8625,0.6910300925925925,0.14008953457103993,24
121,0.04972848892211914,0.0005621226667969425,0.005373573303222657,0.00014105989243251807,0.8,0.3,8,2,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.4921875,0.75,0.562962962962963,0.7791666666666667,0.8625,0.689363425925926,0.13897705727715282,26
112,0.04701704978942871,0.0012543117236137676,0.004599332809448242,0.0002783757605370464,0.8,0.3,12,2,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.4921875,0.75,0.562962962962963,0.7791666666666667,0.8625,0.689363425925926,0.13897705727715282,26
93,0.24295291900634766,0.0032706466132738222,0.00450592041015625,8.478365810999185e-05,0.8,0.5,20,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.50390625,0.7578125,0.5444444444444445,0.7708333333333334,0.8541666666666667,0.6862326388888889,0.1369887556494427,28
110,0.047507715225219724,0.0015548691358245814,0.004581642150878906,0.00027866387187731005,0.8,0.5,12,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.50390625,0.7578125,0.5444444444444445,0.7708333333333334,0.8541666666666667,0.6862326388888889,0.1369887556494427,28
117,0.04721455574035645,0.0008404282630712376,0.004650402069091797,0.0001561404275682693,1.0,0.3,8,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.3), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.4765625,0.80078125,0.5407407407407407,0.7541666666666667,0.8583333333333334,0.6861168981481482,0.14998963834525253,30
96,0.2565126419067383,0.023053291569754025,0.0068604469299316405,0.004450405984101731,0.8,0.5,20,2,20,5.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.46875,0.73828125,0.6,0.7583333333333333,0.8458333333333334,0.6822395833333333,0.13269136632771808,31
111,0.04778757095336914,0.000909366411838414,0.00458836555480957,0.00024023636216157336,0.8,0.1,12,2,20,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.48828125,0.86328125,0.5111111111111111,0.7208333333333333,0.8083333333333333,0.6783680555555556,0.15296734411988414,32
108,0.0492396354675293,0.0007138893745867286,0.005380105972290039,0.00024468574351725023,0.8,0.5,6,2,20,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.46875,0.73828125,0.5925925925925926,0.7791666666666667,0.8,0.6757581018518518,0.12633873574603197,33
90,0.33961896896362304,0.03360614715414343,0.005745697021484375,0.000528964411230709,0.8,0.1,20,2,20,5.0,5.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.6)])",0.48046875,0.85546875,0.5074074074074074,0.6875,0.8416666666666667,0.6745023148148148,0.1590166301806775,34
114,0.06515936851501465,0.0015476161486746636,0.0058558940887451175,0.0006171176614266433,0.8,0.3,12,2,50,5.0,0.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.6)])",0.4921875,0.71875,0.5296296296296297,0.7916666666666667,0.8375,0.6739467592592592,0.13890920183248479,35
