,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
140,0.16428894996643068,0.0034433059233285957,0.010998010635375977,0.00010420359414321732,0.6,0.05,12,4,50,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6074074074074075,0.6,0.7851851851851852,0.6333333333333333,0.6587301587301587,0.6569312169312169,0.06738389695736659,1
112,0.35150723457336425,0.008574765656067542,0.01067667007446289,0.00016636112472379899,0.6,0.1,12,6,200,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6222222222222222,0.6,0.7555555555555555,0.5583333333333333,0.7182539682539683,0.6508730158730159,0.07412307525127701,2
128,0.3958290100097656,0.012028112658110575,0.011399364471435547,0.0006026932062059622,0.6,0.1,12,6,200,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 200), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.6222222222222222,0.6,0.7555555555555555,0.5583333333333333,0.7182539682539683,0.6508730158730159,0.07412307525127701,2
131,0.17002367973327637,0.0036134414320444655,0.010648012161254883,0.00029459758333838656,0.6,0.075,8,4,50,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5851851851851853,0.6,0.7777777777777778,0.6,0.6825396825396826,0.6491005291005291,0.07291489067891996,4
141,0.1623767852783203,0.003397283835697124,0.010654115676879882,0.00029960159429650787,0.6,0.075,12,4,50,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.5851851851851853,0.6,0.7777777777777778,0.6,0.6825396825396826,0.6491005291005291,0.07291489067891996,4
145,0.6143674850463867,0.007928655603753122,0.010783529281616211,0.00039390589755417606,0.6,0.05,20,4,50,1.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.6000000000000001,0.5925925925925926,0.7851851851851852,0.6083333333333333,0.6587301587301587,0.648968253968254,0.07194115512276353,6
136,0.6818804740905762,0.06806100623375519,0.011011266708374023,0.0003294305214871616,0.6,0.05,20,4,50,1.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.6000000000000001,0.5925925925925926,0.7851851851851852,0.6083333333333333,0.6587301587301587,0.648968253968254,0.07194115512276353,6
90,0.6211575508117676,0.007624320003489303,0.010734939575195312,0.0001339733885685576,0.6,0.075,20,2,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.5703703703703704,0.6222222222222222,0.8296296296296296,0.5916666666666667,0.626984126984127,0.6481746031746032,0.09305389246529262,8
21,0.09989752769470214,0.0036953278556097835,0.011313247680664062,0.0006108073938943364,0.6,0.075,6,4,20,0.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.6222222222222222,0.5703703703703703,0.7851851851851852,0.6416666666666667,0.6190476190476191,0.6476984126984127,0.07264781477416653,9
25,0.166471529006958,0.004490647324462515,0.010947990417480468,0.0005037662014461049,0.6,0.075,12,4,50,1.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.562962962962963,0.6074074074074074,0.7925925925925926,0.5833333333333334,0.6825396825396826,0.6457671957671959,0.08382829408747831,10
