,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.0452817440032959,0.00047000575341306047,0.004792642593383789,0.00012171210317818408,1.0,0.05,12,4,20,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5694444444444444,0.5555555555555556,0.47058823529411764,0.7156862745098039,0.35294117647058826,0.5328431372549021,0.11960561089384532,1
27,0.1255664348602295,0.002733639221864283,0.005780696868896484,0.00010156060592296225,0.8,0.5,6,4,200,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.42592592592592593,0.4722222222222222,0.357843137254902,0.7843137254901961,0.4950980392156863,0.5070806100217865,0.14633850863253597,2
42,0.046227884292602536,0.0008747319802272997,0.004994392395019531,0.0001124457444952464,0.6,0.05,8,4,20,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7083333333333334,0.4675925925925926,0.3480392156862745,0.5588235294117647,0.4509803921568627,0.5067538126361656,0.12097946721805287,3
146,0.042406463623046876,0.0005468813457623757,0.0044231414794921875,3.0711792813855064e-05,1.0,0.5,6,4,20,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5462962962962964,0.3564814814814815,0.4068627450980392,0.6911764705882353,0.5245098039215687,0.5050653594771243,0.11699260192068839,4
21,0.11598916053771972,0.0011687411272907659,0.004833841323852539,0.00012772246840930294,0.8,0.5,6,4,200,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.3935185185185185,0.6111111111111112,0.2647058823529412,0.7254901960784313,0.5098039215686275,0.500925925925926,0.16123583064669988,5
10,0.12496099472045899,0.0028886257499108757,0.005165958404541015,0.0004346772210413004,0.8,0.5,12,4,200,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.3935185185185185,0.6111111111111112,0.2647058823529412,0.7254901960784313,0.5098039215686275,0.500925925925926,0.16123583064669988,5
92,0.04623866081237793,0.0006103799113008176,0.004868364334106446,0.00018093030361572698,0.8,0.5,12,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
93,0.1966113567352295,0.003025336914611644,0.004985523223876953,0.00017891578316894664,1.0,0.1,12,6,400,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
94,0.07641983032226562,0.00045521368633381334,0.0049153327941894535,0.00022592218476402383,0.8,0.3,6,6,100,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
96,0.045764923095703125,0.0006780024628061807,0.004947948455810547,0.00025943961778601487,1.0,0.05,6,6,20,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
74,0.07775683403015136,0.0018221772296489688,0.0049320697784423825,0.0002682762555118507,0.8,0.05,6,6,100,5.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
91,0.6965497016906739,0.00935793807569924,0.00561976432800293,0.0001813962129650871,0.6,0.075,20,6,50,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
100,0.05712594985961914,0.00021971343045927726,0.0047171592712402345,8.496903670863482e-05,0.6,0.3,6,6,50,5.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.3), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 5.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
101,0.0837033748626709,0.0017196402996382436,0.005724859237670898,0.00021122946406144574,1.0,0.03,12,6,100,1.0,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 1.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
103,0.06166219711303711,0.0008508735348515065,0.005642318725585937,0.00010250685851710682,1.0,0.05,12,6,50,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 50), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
104,0.04375777244567871,0.00039403001097095285,0.004577255249023438,8.474210668874568e-05,1.0,0.03,8,6,20,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
97,0.1950664520263672,0.002045801595797712,0.004779911041259766,0.00010604987040775473,0.6,0.075,8,6,400,5.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 5.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
90,1.0431167602539062,0.011433045574969868,0.005245494842529297,0.0007739535586077832,0.8,0.5,20,6,100,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
88,0.047545862197875974,0.0009006032685193116,0.005454540252685547,0.0001975226775103988,1.0,0.075,6,6,20,5.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
